year,pourrais_VERB appeler_VERB,pourrais_VERB rappeler_VERB
1800,9.432493897065797e-09,6.288328968651058e-09
1801,2.1430643926123594e-08,5.2386017301842e-08
1802,0.0,3.1329761895904085e-08
1803,1.755305234496518e-08,1.1702034896643454e-08
1804,3.460591457837836e-08,4.2021465418429216e-08
1805,0.0,3.4114531644036106e-08
1806,2.5935023018064385e-08,2.881669125542885e-09
1807,1.9928686256776018e-08,8.540865792383556e-09
1808,0.0,4.5321479902327155e-09
1809,1.3554183553310395e-08,5.873479480555943e-08
1810,7.020380277111826e-09,4.680253518074551e-09
1811,1.0028307073639553e-08,0.0
1812,1.3336041604361526e-08,8.00162425207418e-09
1813,1.4378708002027452e-08,1.7254450312975678e-08
1814,8.181360300341112e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,2.1796227045456362e-08,1.8682481339737933e-08
1818,2.8610825708597076e-08,4.2916237674717195e-08
1819,9.315945348475907e-09,4.7614829412623294e-08
1820,2.4919611263385377e-08,3.559944161679596e-08
1821,2.7612166775270452e-08,5.1279737789400315e-08
1822,4.0102463572111446e-08,6.115625694746996e-08
1823,6.917880934764753e-09,4.0519015698237126e-08
1824,1.6000115010683658e-08,1.8526447931321854e-08
1825,2.553578504205234e-08,2.6416328680056722e-08
1826,5.460950447400137e-08,2.7304752237000685e-08
1827,1.935627302884768e-08,8.295545583791863e-09
1828,6.328887991458032e-08,2.2013523448549677e-08
1829,8.573176302206775e-08,3.943661042171698e-08
1830,4.905312778191728e-08,2.817945699007396e-08
1831,3.4300654760954785e-08,3.4300654760954785e-08
1832,5.817886972181441e-08,5.0060886991332154e-08
1833,4.6334513115198206e-08,4.9809603552830595e-08
1834,4.2005389389032644e-08,3.827157613045529e-08
1835,8.924443761770817e-08,4.0084366048631637e-08
1836,6.787957573806125e-08,1.8146025126952736e-08
1837,3.826840000442644e-08,6.192522761239161e-08
1838,5.3653376852480505e-08,2.3354999711955315e-08
1839,9.997809513606626e-08,4.61437359433603e-08
1840,5.86011346115356e-08,3.885510224677091e-08
1841,5.6500827128047604e-08,2.760835826620678e-08
1842,4.494537719779146e-08,2.6162233268678392e-08
1843,4.784597962270709e-08,3.603215859016018e-08
1844,6.202074587235984e-08,2.5796238034558883e-08
1845,7.365900955846882e-08,2.511102614732863e-08
1846,4.859236213405893e-08,3.922516000898213e-08
1847,5.2314270249098627e-08,4.853901458545806e-08
1848,4.585776380849893e-08,4.907585093860689e-08
1849,6.116972883773997e-08,4.608678239037545e-08
1850,7.603675555856171e-08,3.1229383523623255e-08
1851,4.450112811582585e-08,2.96674187438839e-08
1852,5.1433307390880145e-08,2.929745512858517e-08
1853,7.464915086075052e-08,3.1054046445433414e-08
1854,3.585008556683533e-08,2.286092382064453e-08
1855,2.2819829581521844e-08,2.7596072982305486e-08
1856,6.678573782892272e-08,4.038207634948776e-08
1857,3.661131842136456e-08,1.8061584228235006e-08
1858,6.997957058274551e-08,2.1532175153993194e-08
1859,8.300242626546606e-08,1.884104072757964e-08
1860,6.04188272745887e-08,3.295572525985335e-08
1861,5.0932406736592384e-08,6.225072013421595e-08
1862,5.963742211179124e-08,5.46676339752139e-08
1863,7.741662244598047e-08,2.8469338886338846e-08
1864,1.0356612278883404e-07,3.691940619887646e-08
1865,5.601144792422019e-08,3.388927893865912e-08
1866,4.81695678899996e-08,3.989802621617855e-08
1867,7.958610837022206e-08,5.095451882652924e-08
1868,6.86642493974432e-08,2.9639243948054173e-08
1869,9.474027251599182e-08,3.5161338729494673e-08
1870,1.0894692792362548e-07,3.4404294524392753e-08
1871,8.390730243945654e-08,2.442870794538976e-08
1872,8.587221600464545e-08,4.9588180672799353e-08
1873,8.08110627303904e-08,1.97538145840781e-08
1874,7.707245686106035e-08,6.034355237716227e-08
1875,8.010137975134057e-08,3.3757011408397375e-08
1876,1.027822520427435e-07,3.9903696347209916e-08
1877,5.257093604882357e-08,7.112538469300489e-08
1878,4.468925496325937e-08,1.7513357875031943e-08
1879,4.7652736867576095e-08,3.9710613464194466e-08
1880,7.444701566328149e-08,3.658172431642015e-08
1881,9.552335455964567e-08,4.392679642251096e-08
1882,5.657077295495583e-08,4.725323421439498e-08
1883,6.256145468341856e-08,2.8437025179073316e-08
1884,7.195849605068361e-08,2.2445769687351458e-08
1885,4.7053141827291256e-08,3.8029249083137984e-08
1886,5.2918402104751294e-08,2.3232470169887165e-08
1887,5.7454535351553204e-08,4.113222473733913e-08
1888,6.02358412038484e-08,1.9655905347804037e-08
1889,7.392861078869828e-08,2.192797943223468e-08
1890,9.176140736144589e-08,4.522526708683472e-08
1891,9.178877036220001e-08,3.952016314201501e-08
1892,4.5133290882404253e-08,3.6984221907232495e-08
1893,6.77425830986067e-08,3.633465794905533e-08
1894,6.679631781025819e-08,2.3315696040526745e-08
1895,6.620476256102847e-08,3.791727110069587e-08
1896,6.250850503874972e-08,3.3613066108273415e-08
1897,5.4188436848789934e-08,2.9133568446582103e-08
1898,4.639851169940812e-08,2.772593887812036e-08
1899,5.140648084989152e-08,4.4220627160029835e-08
1900,6.540727071069341e-08,3.9971109089265155e-08
1901,5.532851687917173e-08,4.191554126009578e-08
1902,4.959386856739911e-08,3.437198614619774e-08
1903,8.640352433531007e-08,3.0241231741001684e-08
1904,7.416982583663412e-08,5.374625189347171e-08
1905,5.057543717157387e-08,4.025391930895239e-08
1906,7.407625446376187e-08,3.446603713541663e-08
1907,6.325697654574469e-08,3.239991386294605e-08
1908,6.237463878733251e-08,2.89771957540097e-08
1909,7.426327641724129e-08,3.135560788791736e-08
1910,5.985448581213859e-08,1.8170112525695004e-08
1911,6.863282919766789e-08,2.2877609140437016e-08
1912,6.199211100010871e-08,2.1879568379290504e-08
1913,5.515109435805243e-08,1.8030165804816534e-08
1914,6.227971738326232e-08,2.5447626228469744e-08
1915,5.654765544704787e-08,1.6493066468115103e-08
1916,8.350470892537487e-08,1.0987461607214755e-08
1917,4.0575770299255964e-08,2.3029491202919417e-08
1918,3.675640414257941e-08,3.5607765624945387e-08
1919,4.327688785110695e-08,3.498982437122322e-08
1920,3.256059599721084e-08,1.741613253614105e-08
1921,3.4077363153528495e-08,1.741731914250977e-08
1922,5.902348476638508e-08,2.8036154731125862e-08
1923,5.4141334970836397e-08,1.3800733000834953e-08
1924,5.1566498626698376e-08,4.512068585427187e-08
1925,5.939016034517408e-08,3.299453510408057e-08
1926,7.356451448004009e-08,1.7833821530643945e-08
1927,5.2401357919507063e-08,2.0068604555945058e-08
1928,2.5137291359556002e-08,1.3711249025050165e-08
