year,aux_ADP août_NOUN,aux_ADP routes_NOUN
1800,0.0,1.7921738049153646e-07
1801,0.0,9.524730160137551e-08
1802,2.2378401354217203e-09,1.0070280609397742e-07
1803,0.0,2.0673596168307995e-07
1804,0.0,1.2359254242255702e-07
1805,5.685755422035754e-09,1.3077237781544682e-07
1806,0.0,2.8240356186870486e-07
1807,0.0,3.1031811431603273e-07
1808,4.5321479902327155e-09,2.01680592226694e-07
1809,0.0,2.575294786311133e-07
1810,0.0,2.386929338626942e-07
1811,0.0,1.178326058948187e-07
1812,5.3344164641089264e-09,1.8137015445063298e-07
1813,2.8757416448144113e-09,3.7672214148187777e-07
1814,0.0,3.555745138328348e-07
1815,0.0,1.780167480092132e-07
1816,0.0,9.038654980031424e-08
1817,0.0,1.930523012561025e-07
1818,1.1921177378582115e-09,1.9789153782312496e-07
1819,2.070210003424222e-09,1.8528379541749018e-07
1820,0.0,1.2697134366135288e-07
1821,0.0,2.2780038477776543e-07
1822,0.0,3.378632413841842e-07
1823,0.0,3.0833982123112946e-07
1824,1.6842225392110777e-09,3.031600499525666e-07
1825,2.641632912414593e-09,3.213986587979889e-07
1826,8.807984341885344e-10,3.3910740171450016e-07
1827,9.217273055917019e-10,6.147920998955669e-07
1828,0.0,4.320153834669327e-07
1829,8.57317605795771e-10,5.589710667663894e-07
1830,3.1310507520032616e-09,3.945123978610354e-07
1831,0.0,6.922495572325715e-07
1832,0.0,4.3566501517489087e-07
1833,0.0,5.108379923512985e-07
1834,1.8669061851994684e-09,6.683524134132313e-07
1835,9.832014313815307e-09,5.543743668567913e-07
1836,0.0,4.563389381928573e-07
1837,6.957890930081589e-10,4.933144737151451e-07
1838,1.2624323808552163e-09,5.251718562249152e-07
1839,0.0,5.726018343921169e-07
1840,1.2739377330817092e-09,4.809114670933923e-07
1841,0.0,5.964689648862986e-07
1842,0.0,6.74851492021844e-07
1843,0.0,6.586205927305855e-07
1844,5.488561272137815e-10,5.845317900821101e-07
1845,5.580227946389016e-10,7.008766260696575e-07
1846,2.3418005312692003e-09,4.0981510096571583e-07
1847,1.6179670936367074e-09,4.4871620730191353e-07
1848,0.0,3.4835809969990805e-07
1849,8.379414939696517e-10,4.5165046458350844e-07
1850,6.788996032014438e-10,4.2363336660855566e-07
1851,4.514607132577453e-09,4.933820605401706e-07
