year,avons_VERB acheté_VERB,avons_VERB racheté_VERB
1800,5.0306631749208464e-08,0.0
1801,9.524730160137551e-08,0.0
1802,5.818384352096473e-08,4.475680270843441e-09
1803,1.0726865440346955e-07,7.801356893821776e-09
1804,4.69651695311768e-08,0.0
1805,4.264316544322355e-08,1.7057265822018053e-08
1806,3.458002950651462e-08,0.0
1807,2.2775640928784924e-08,2.8469551160981155e-09
1808,2.7192887941396293e-08,6.798221985349073e-09
1809,8.584316191218022e-08,0.0
1810,3.7442028144596406e-08,2.3401267590372754e-09
1811,1.0279014617253779e-07,0.0
1812,5.067695596494559e-08,0.0
1813,8.627225156487839e-09,0.0
1814,4.405347908686963e-08,0.0
1815,9.979726911524267e-08,0.0
1816,5.5622493277951435e-08,0.0
1817,1.0431051578052575e-07,0.0
1818,8.702459552978326e-08,5.960588467246453e-09
1819,1.9666995143552413e-08,7.24573512300708e-09
1820,8.543866414356671e-08,4.746592452420373e-09
1821,1.3313008651039127e-07,3.94459531705138e-09
1822,6.215881853677274e-08,7.017931125119503e-09
1823,9.190898708766326e-08,8.894418535021487e-09
1824,9.600068295867459e-08,1.2631669044083083e-08
1825,8.805442774928451e-08,1.7610886082763955e-09
1826,8.984144272972117e-08,8.807984341885344e-10
1827,6.359918103271411e-08,9.217273055917019e-10
1828,2.659967357487858e-08,1.8344602503717056e-09
1829,5.915491385621863e-08,1.714635211591542e-09
1830,5.4271545479878114e-08,3.1310507520032616e-09
1831,8.107426907599802e-08,3.1182412207897414e-09
1832,5.411987658021644e-08,2.705993873419743e-09
1833,6.718504863556518e-08,0.0
1834,7.747660646373333e-08,1.8669061851994684e-09
1835,8.697551123759695e-08,9.075705520444899e-09
1836,7.930485423912614e-08,4.032449929525228e-09
1837,7.653680000885288e-08,2.7831563720326358e-09
1838,5.1759727170974656e-08,1.5149188570262595e-08
1839,5.5931799636255164e-08,4.894032734625853e-09
1840,5.796416857606346e-08,2.5478754661634184e-09
1841,5.264849889385914e-08,7.704658244733764e-09
1842,7.043678351692506e-08,6.708265054555795e-09
1843,7.147362168780091e-08,1.7130041385371442e-08
1844,8.123070927013032e-08,8.232841963717874e-09
1845,3.794555070157912e-08,1.674068439427856e-09
1846,8.54757189472366e-08,2.9272506640865004e-09
1847,1.0085328483455669e-07,8.089835468183537e-09
1848,6.355725190587691e-08,3.218088684420195e-09
1849,7.373885324568619e-08,4.1897072478036534e-09
1850,6.245876704724651e-08,5.431196825611551e-09
