year,pourrez_VERB entrer_VERB,pourrez_VERB rentrer_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,2.3811825844433088e-09
1802,6.713520406265161e-09,8.951360541686881e-09
1803,1.1702034896643454e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,0.0,0.0
1807,1.7081731584767113e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,2.9367397402779716e-08,4.518061036407062e-09
1810,0.0,1.1700633351097167e-08
1811,3.008491944456182e-08,0.0
1812,2.400487453257938e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,0.0,5.394447111228828e-09
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,1.71256075987003e-08
1818,3.5763532135746345e-09,9.536941902865692e-09
1819,2.070210003424222e-09,8.280840013696888e-09
1820,1.1866481131050932e-09,7.119888678630559e-09
1821,9.861488514673056e-09,1.577838126820552e-08
1822,1.9048670196752937e-08,7.017931125119503e-09
1823,1.9765373782121287e-09,4.941343334508019e-09
1824,8.421112696055388e-10,6.736890156844311e-09
1825,2.0252519661312363e-08,4.4027217427355936e-09
1826,1.0569580766173203e-08,7.927186018719112e-09
1827,1.2904182611350734e-08,2.7651818612639545e-09
1828,3.668920500743411e-09,7.337841001486822e-09
1829,1.971830521085849e-08,7.715858174606183e-09
1830,7.305785310052215e-09,1.0436835840010872e-09
1831,2.0268567268999504e-08,6.236482441579483e-09
1832,2.705993873419743e-09,1.0823975493678972e-08
1833,9.266902800675325e-09,6.950177322551099e-09
1834,1.3068342852307069e-08,7.467624740797874e-09
1835,2.193295500774184e-08,1.0588323107185715e-08
1836,1.68018754465038e-08,6.720750067579218e-10
1837,1.461157062010443e-08,5.5663127440652715e-09
1838,6.312161904276081e-09,1.0730675015224733e-08
1839,1.677954131196202e-08,9.088918062616358e-09
1840,9.554533164646273e-09,3.821813088222825e-09
1841,1.5409316489467528e-08,7.704658244733764e-09
1842,1.475818312002275e-08,3.3541325272778977e-09
1843,1.063243981747064e-08,1.7720733769266417e-09
1844,1.920996517412732e-08,2.7442805805577564e-09
1845,3.348136878855712e-09,5.580227946389016e-10
1846,4.0981511517657054e-09,5.269050973311096e-09
1847,5.3932236454556914e-09,1.5640349459999925e-08
1848,1.609044275596716e-08,1.930853166243196e-08
1849,5.02764896381791e-09,1.6758829879393033e-09
1850,6.1100964288129944e-09,5.431196825611551e-09
1851,8.384270167027807e-09,5.8044946626978344e-09
1852,9.765818376195057e-09,4.557382027314816e-09
1853,7.166318205520383e-09,6.569124799682413e-09
1854,8.313063126763609e-09,3.63696517347023e-09
1855,2.1227748447927297e-08,1.5920811335945473e-09
1856,1.3978411317339123e-08,3.1063134287023786e-09
1857,8.78671624349181e-09,7.322263684272912e-09
1858,1.565976326389773e-08,8.808616946964776e-09
1859,2.8516170758052795e-08,1.5276520048956854e-09
1860,5.034902272882391e-09,7.781213007262977e-09
1861,2.2165028923382124e-08,1.0375120318428799e-08
1862,2.3041730301542884e-08,8.584174260306554e-09
1863,1.39849385405455e-08,2.9967726078439227e-09
1864,3.1165733105353866e-08,2.3973640850272204e-09
1865,2.2122168985561075e-08,8.47231973466478e-09
1866,3.3572728597164314e-08,4.865612801552288e-09
1867,1.5043715606566366e-08,2.91168689159349e-09
1868,2.667531973088444e-08,7.409810987013543e-09
1869,1.2208797528501236e-08,7.325278605918584e-09
1870,8.027668307875047e-09,2.2936195165357276e-09
1871,7.434824311758348e-09,1.911811864374613e-08
1872,1.5118347462816928e-08,6.047339518033823e-09
1873,1.7359413462259e-08,4.788803575905831e-09
1874,1.0754296120296658e-08,4.779687312606029e-09
1875,1.6592428764283795e-08,4.005069165202713e-09
1876,1.1487427897804992e-08,4.232210137899983e-09
1877,2.288381928394756e-08,9.27722432209066e-09
1878,4.831270938865373e-09,1.1474268646338714e-08
1879,1.3440515367335593e-08,1.0385853066452455e-08
1880,1.6044616302224313e-08,3.8507077526617195e-09
1881,1.8825771164188154e-08,2.7890030285249168e-09
1882,9.317538740560849e-09,0.0
1883,1.2638677659992936e-08,3.159669414998234e-09
1884,2.3766109080725073e-08,1.9805090900604227e-09
1885,7.090199094506033e-09,2.5782542767416317e-09
1886,7.098810428374236e-09,3.872078213618124e-09
1887,3.9173548849191775e-09,3.264462256069578e-09
1888,1.6485598663962264e-08,3.804368819970705e-09
1889,8.14467782106476e-09,5.012109394186837e-09
1890,3.1461055982617836e-08,1.1797895993481688e-08
1891,1.9122659011827636e-09,1.9122659011827636e-09
1892,6.268512375839919e-09,1.002961980134387e-08
1893,6.774258043407144e-09,5.542574843531156e-09
1894,8.192000855444803e-09,3.780923574225881e-09
1895,9.027921521465032e-09,2.4074457982692365e-09
1896,7.66613794667137e-09,6.486732040400511e-09
1897,2.330685422435863e-09,6.992056267307589e-09
1898,1.7540900287826844e-08,6.7900258748920805e-09
1899,7.185851913504848e-09,4.9748205555033564e-09
1900,8.824790675987515e-09,5.19105292084987e-09
1901,1.676621685930968e-08,6.706486921359556e-09
1902,1.5712908307818907e-08,1.4730852093691738e-09
1903,4.320176216765503e-09,6.480264325148255e-09
1904,5.374625189347171e-09,2.1498500757388683e-09
1905,3.6125313851442797e-09,7.2250627702885595e-09
1906,4.629765903985117e-09,2.572092316910357e-09
1907,9.257117739025489e-09,3.599990305858114e-09
1908,8.840499887696751e-09,3.437972351250096e-09
1909,6.0510818578052294e-09,8.801573692096554e-09
1910,2.137660271017694e-09,5.878565634276356e-09
1911,7.448523575703803e-09,4.25629931299909e-09
1912,7.293189607793238e-09,7.814131564032323e-09
1913,5.302989602995467e-09,1.060597942803554e-09
1914,4.68772043404897e-09,2.0090231700464756e-09
1915,7.068456930880984e-09,1.767114277129167e-08
1916,9.888715624128963e-09,1.648119329900055e-08
1917,7.676496771580332e-09,1.0966424435210342e-09
1918,1.2635013924011673e-08,1.2635013924011673e-08
1919,1.8415697411455767e-08,3.038589824200244e-08
1920,6.057785384427916e-09,5.300562211374427e-09
1921,2.2718242842501013e-09,0.0
1922,1.4018077365562931e-08,7.377935595798135e-09
1923,1.3800733000834953e-08,4.246379248229459e-09
1924,1.1602462102189293e-08,0.0
1925,8.798542339150117e-09,1.0998177923937646e-09
1926,2.229227691330493e-09,6.687683296036084e-09
1927,1.5608915049369898e-08,5.574612327308159e-09
1928,6.8556245125250825e-09,0.0
1929,1.3368487650211591e-08,1.3368487650211591e-08
1930,3.1510811737689437e-09,5.2518016602221e-09
1931,1.4826963656844327e-08,0.0
1932,1.2055489939655217e-08,4.383814644626227e-09
1933,1.3764794637438627e-08,1.1470662197865522e-09
1934,5.990790086229936e-09,1.0783422155213884e-08
1935,1.196828414151696e-09,9.574627313213568e-09
1936,4.849885826274658e-09,0.0
1937,7.554670666820584e-09,1.0072894518486919e-08
1938,3.8895642262559704e-09,1.2965214457594243e-09
1939,6.117620188206274e-09,7.647025235257843e-09
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,8.854508237732261e-09,8.854508237732261e-09
1942,1.2136847082899749e-08,0.0
1943,2.9032352077962287e-09,2.9032352077962287e-09
1944,9.639558484764166e-09,6.4263723231761105e-09
1945,2.178504043826024e-09,1.742803235060819e-08
1946,6.960552134671616e-09,2.7842208538686464e-09
1947,5.960435700558264e-09,5.960435700558264e-09
1948,9.784699273041042e-09,1.0871887834440486e-09
1949,9.817008539414473e-09,2.945102384188658e-09
1950,1.595304155443955e-08,4.2541445921528975e-09
