year,avions_VERB apporté_VERB,avions_VERB rapporté_VERB
1800,9.118077315406481e-08,0.0
1801,8.334139067756041e-08,2.3811825400343878e-08
1802,0.0,6.713520406265161e-09
1803,3.315576790896557e-08,1.950339223455444e-09
1804,7.168367943677367e-08,2.9662210465630778e-08
1805,3.1271653710973624e-08,0.0
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,4.27043254092041e-08,5.693910232196231e-09
1808,6.798222074166915e-08,1.5862518409903714e-08
1809,2.25903047379461e-08,0.0
1810,9.594519667643908e-08,4.680253340438867e-08
1811,2.757784400841956e-08,5.0141535368197765e-09
1812,2.1337665856435706e-08,2.1337665856435706e-08
1813,2.8757416004054903e-08,1.1502966579257645e-08
1814,0.0,7.866692897096073e-08
1815,6.74305908887618e-08,2.6972236000233352e-08
1816,5.5622493277951435e-08,1.1588019432906549e-08
1817,2.9580593974287694e-08,1.556873407970727e-09
1818,5.364529798157491e-08,1.3113295338484932e-08
1819,4.140419918030602e-08,1.7596784473994376e-08
1820,6.051905643289501e-08,3.5599443393152796e-09
1821,2.9584464655840748e-08,5.029358973729359e-08
1822,4.511527151862538e-08,3.308453244699194e-08
1823,4.348382276475604e-08,1.8777104315859106e-08
1824,9.010590673597108e-08,2.6105450245950124e-08
1825,2.7296874094417944e-08,1.3208164340028361e-08
1826,5.989429041619587e-08,6.1655889282974385e-09
1827,1.935627302884768e-08,4.147772969531616e-08
1828,3.5771975603893225e-08,2.384798314380987e-08
1829,4.029392641768936e-08,2.743416338546467e-08
1830,6.992679857376061e-08,4.800944353178238e-08
1831,3.741889287312006e-08,1.870944643656003e-08
1832,1.041807635715486e-07,1.2176972319366541e-08
1833,1.332117278707301e-07,8.108539617524002e-09
1834,5.414027981487379e-08,1.120143711119681e-08
1835,7.184933537018878e-08,1.285724948729694e-08
1836,6.922372364215335e-08,6.72075017860152e-09
1837,3.965997663613052e-08,1.461157062010443e-08
1838,2.0830134062066463e-08,8.2058102535143e-09
1839,3.425822825420255e-08,2.0974425751774106e-08
1840,6.051204337609306e-08,2.293087852933695e-08
1841,9.245589893680517e-08,1.5409316489467528e-08
1842,3.8237111255057243e-08,6.708265054555795e-09
1843,4.430183153658618e-08,7.088293507706567e-09
1844,3.2931367854871496e-08,3.2931368743049916e-09
1845,2.7343116215661212e-08,1.897277535078956e-08
1846,2.86870562860031e-08,1.4636253098387897e-08
1847,3.020205241455187e-08,1.0247124926365814e-08
1848,4.827133182061516e-08,1.206783295515379e-08
1849,2.76520690789539e-08,1.0893239199560867e-08
1850,2.851378333446064e-08,8.82569484161877e-09
1851,4.450112811582585e-08,1.4188765717904062e-08
1852,7.356916142953196e-08,1.9531636752390114e-08
1853,4.299791100947914e-08,3.4637203327747557e-08
1854,3.636965217879151e-08,9.871762074453727e-09
1855,2.812676669350367e-08,1.5920811335945473e-08
1856,2.847454005916461e-08,1.346069211649592e-08
1857,4.3445432140742923e-08,7.810414537345878e-09
1858,4.4532452392331834e-08,7.829881631948865e-09
1859,2.5460867192350634e-08,1.4258085379026397e-08
1860,3.066713105681629e-08,1.2358396972445007e-08
1861,4.6688040100661965e-08,9.903524222920623e-09
1862,1.8071945717679228e-08,5.873382225018986e-09
1863,2.6471489888990618e-08,1.1987090431375691e-08
1864,1.6781548595190543e-08,1.6302074357099627e-08
1865,2.023943146411966e-08,1.1296426905005319e-08
1866,2.3841502994059738e-08,9.244664589402873e-09
1867,2.717574432153924e-08,1.1161466417775046e-08
1868,2.2723421366777075e-08,7.409810987013543e-09
1869,3.125452252561445e-08,7.813630631403612e-09
1870,1.4335121534259088e-08,3.4404292748035914e-09
1871,5.735435593123839e-08,1.1683295220166201e-08
1872,3.507456725060365e-08,1.8746751706544273e-08
1873,1.0774807712721213e-08,2.334541804316359e-08
1874,1.9118749250424116e-08,2.5093358502203955e-08
1875,4.005068987567029e-08,6.293679799540541e-09
1876,1.9951848173604958e-08,7.859819461941697e-09
1877,3.710889728836264e-08,1.2369632429454214e-08
1878,4.7104890654736664e-08,8.4547240319921e-09
1879,3.421222061206208e-08,9.774920428640144e-09
1880,1.7969970400599777e-08,1.2193908105473383e-08
1881,3.5559789779426865e-08,6.9725074602899895e-09
1882,5.1912003584675404e-08,7.320923423037584e-09
1883,2.9700892412165558e-08,6.319338829996468e-09
1884,1.8484751507230612e-08,1.3203393933736152e-08
1885,2.707166935067562e-08,1.4824961702686323e-08
1886,2.968593371122097e-08,1.355227396970804e-08
1887,2.6115698048556624e-08,1.6322312390570914e-08
1888,2.4728397107764977e-08,6.340614699951175e-09
1889,2.255449160770695e-08,6.891650361495749e-09
1890,1.6385966361553983e-08,7.209825181320184e-09
1891,2.8683990294098294e-08,7.0116419337296065e-09
1892,2.2566645441202127e-08,1.2537024751679837e-08
1893,2.0322774574310642e-08,1.3548516086814288e-08
1894,2.520615716150587e-08,3.780923574225881e-09
1895,2.046328972937772e-08,1.5046536461227333e-08
1896,2.0639602027472392e-08,1.0024948871034667e-08
1897,3.029891004757701e-08,7.574727511894253e-09
1898,3.3384292663640736e-08,2.8291773368493978e-09
1899,2.7637891975018647e-08,4.9748205555033564e-09
1900,1.7130474816440255e-08,8.30568502863116e-09
1901,2.459045056468767e-08,8.38310842965484e-09
1902,2.995273007400101e-08,5.892340837476695e-09
1903,1.8900770726304472e-08,1.0260418292773466e-08
1904,1.9348650681649815e-08,1.5586412160928376e-08
1905,2.0643035725242953e-08,1.4966200723165457e-08
1906,2.1605574218597212e-08,1.3374879870298173e-08
1907,1.7485668024619372e-08,1.337139288182243e-08
1908,3.487086175368859e-08,7.858222517143076e-09
1909,2.0353638774395222e-08,3.850688656825696e-09
1910,2.0842188419578633e-08,8.550641084070776e-09
1911,2.0217422402879492e-08,1.3832972989291648e-08
1912,2.0837685354990754e-08,7.814131564032323e-09
1913,1.8030165804816534e-08,1.1666577037772186e-08
1914,2.4777952134513725e-08,1.4063162190325329e-08
1915,2.3561524287174507e-08,7.068456930880984e-09
1916,3.5159878564172686e-08,1.4283700444650549e-08
1917,2.3029491202919417e-08,1.0966424213165737e-08
1918,2.412139110674616e-08,1.033773866510046e-08
1919,1.749491218561161e-08,8.287063479883727e-09
1920,2.3473917920568965e-08,9.086678076641874e-09
1921,4.543648302046677e-08,1.438822039290244e-08
1922,3.098733003525922e-08,1.2542490601674672e-08
1923,1.6985516992917837e-08,4.246379248229459e-09
1924,3.0939897754933554e-08,2.5783249313349188e-08
1925,1.8696901804560184e-08,8.798542339150117e-09
1926,3.1209186346359274e-08,8.916910765321973e-09
1927,4.7941668412931904e-08,1.0034302277972529e-08
1928,1.9424270192303084e-08,1.1426041446327417e-08
1929,3.230717737778832e-08,1.4482528065684619e-08
1930,2.7309368988426286e-08,6.302162347537887e-09
1931,3.5356606531422585e-08,1.8248570654577634e-08
1932,2.6302888755935783e-08,1.9727165678773417e-08
1933,1.9500125958415992e-08,9.176529758292418e-09
1934,2.7557634396657704e-08,1.1981580172459871e-08
1935,2.752705441366743e-08,1.795242710045386e-08
1936,2.7886843056990074e-08,2.3036957230715416e-08
1937,4.5328025777280345e-08,1.3850230295986421e-08
1938,3.630260181353151e-08,1.1668692678767911e-08
1939,3.364691281149135e-08,1.3764645423464117e-08
1940,3.296517903095264e-08,1.2678914806940611e-08
1941,4.427253941230447e-08,1.4757512545315876e-08
1942,3.944475324146879e-08,1.8205270180260413e-08
1943,1.4516175816936538e-08,2.0322646676618206e-08
1944,3.855823393905666e-08,1.927911696952833e-08
1945,3.921307367704685e-08,1.5249527862692958e-08
1946,3.480275978517966e-08,1.6705325123211878e-08
1947,2.3841742802233057e-08,5.960435700558264e-09
1948,1.848220954059343e-08,1.0871888278529696e-08
1949,3.337782672474532e-08,9.817008539414473e-09
1950,2.2334258886758107e-08,1.3825969702452312e-08
1951,2.4521224162299404e-08,8.529121409139861e-09
1952,3.4797853487589236e-08,1.687168627029223e-08
1953,3.770839640537815e-08,7.54167928107563e-09
1954,2.5408594339637602e-08,1.5636057781875934e-08
1955,2.1586897602787758e-08,1.220129064449793e-08
1956,2.7907653077363648e-08,1.1337483840634377e-08
1957,3.3573144264664734e-08,1.8553580005686854e-08
1958,1.8198935691771112e-08,2.4816730004317833e-08
1959,2.0927018340444192e-08,2.2477168570844697e-08
1960,1.868625076895114e-08,1.6610000486139143e-08
1961,1.876002997391879e-08,2.223410966450956e-08
1962,2.4099433559854333e-08,1.3952304200870458e-08
1963,1.939815952312074e-08,1.8104948651398445e-08
1964,2.494427064902993e-08,1.0951143103454797e-08
1965,1.7510538796727815e-08,1.3680108601477059e-08
1966,1.8278946356531378e-08,1.4401594583546284e-08
1967,2.8102911997507363e-08,1.1832804958089582e-08
1968,2.245707975134792e-08,1.661823922916028e-08
1969,1.9529558414888015e-08,1.6350327314285096e-08
1970,3.54101814536989e-08,8.7375777724219e-09
1971,1.5415192677892264e-08,1.3873672877195986e-08
1972,3.1293897251316594e-08,7.69522046084603e-09
1973,1.874489363729026e-08,1.4334330167287135e-08
1974,1.8564387360697765e-08,1.1813700240281833e-08
1975,2.6843956391076063e-08,7.4249242310031605e-09
1976,2.742492810625663e-08,4.570821499072508e-09
1977,1.3516598507123945e-08,1.3516598507123945e-08
1978,1.544553818177974e-08,1.128712323605896e-08
1979,1.521513048885481e-08,7.607565244427406e-09
1980,2.3309118191150446e-08,8.527726080842513e-09
1981,1.644642821929665e-08,1.3283654176632353e-08
1982,1.3656505259973528e-08,6.828252629986764e-09
1983,2.2103606056589342e-08,7.57837881337764e-09
1984,2.4935737030773453e-08,1.1018116197192285e-08
1985,1.9249785765396155e-08,6.015557829641693e-09
1986,2.8174081734277934e-08,8.991728250862252e-09
1987,1.8332450224534114e-08,9.166225112267057e-09
1988,1.9788627625416666e-08,7.195864348830128e-09
1989,2.0854864501984594e-08,4.390497743145261e-09
1990,2.0160008773473237e-08,2.724325431913144e-09
1991,2.5790447111262438e-08,5.8614650910726596e-09
1992,1.652983172562017e-08,3.30596661157756e-09
1993,2.7696037463442735e-08,4.985286850001103e-09
1994,1.635227242502424e-08,1.0549853213248639e-09
1995,2.060531301140145e-08,5.964695848348356e-09
1996,2.5089033073300016e-08,3.736664311304594e-09
1997,2.013855748828064e-08,3.3564262480467733e-09
1998,1.5734826774860267e-08,1.43043876743576e-09
1999,1.9194844824710344e-08,3.1991407301035224e-09
2000,1.9439339027371716e-08,4.418031274155965e-09
2001,1.840108865280854e-08,6.571817756650944e-09
2002,2.2782352004924178e-08,7.009954394732176e-09
2003,2.083461403401543e-08,5.416999737661854e-09
2004,1.8940601975714344e-08,4.404791198453495e-09
2005,2.7923247714056743e-08,4.503749373441224e-09
2006,3.459027553276428e-08,3.706100981659688e-09
2007,2.077129401811817e-08,3.1955835755326234e-09
2008,2.171294255504108e-08,5.960415716543821e-09
2009,2.7655516987579176e-08,6.675469510497578e-09
2010,2.5980861906305108e-08,5.668551850135373e-09
2011,2.791499476018089e-08,6.500752380844688e-09
2012,3.2680826933528806e-08,7.829781267787439e-09
2013,4.8530775842436924e-08,1.059867482666732e-08
2014,3.334785603215096e-08,9.094869746206768e-09
2015,4.012001397768472e-08,6.206410940734486e-09
2016,4.701941946905208e-08,8.078226088059637e-09
2017,3.421231298261773e-08,5.282783988036499e-09
2018,4.2852345671917647e-08,1.0067719991013746e-08
2019,2.9336359119724875e-08,8.673358031785483e-09
