year,voudriez_VERB avoir_VERB
1800,1.5720821977538435e-08
1801,3.5717739876872656e-08
1802,3.5805442166747525e-08
1803,1.950339267864365e-08
1804,5.6852570651244605e-08
1805,3.4114531644036106e-08
1806,8.645007376628655e-09
1807,1.7081731584767113e-08
1808,1.1330369531492579e-08
1809,3.388545621874073e-08
1810,4.44624070894406e-08
1811,3.259199843341776e-08
1812,4.267533171287141e-08
1813,1.4378708002027452e-08
1814,1.5733386149463513e-08
1815,2.1577788444915313e-08
1816,2.3176038865813098e-08
1817,3.89218364205135e-08
1818,3.695565098382758e-08
1819,2.070209959015301e-08
1820,3.20394981656591e-08
1821,5.1279737789400315e-08
1822,4.8122956286533736e-08
1823,5.138997138942614e-08
1824,5.136878655775945e-08
1825,2.4655239627691117e-08
1826,4.315912249808207e-08
1827,4.424290978022327e-08
1828,3.0268594741755805e-08
1829,2.0575622983187714e-08
1830,2.817945699007396e-08
1831,1.870944643656003e-08
1832,1.352996914505411e-08
1833,3.01174338801502e-08
1834,2.6136685704614138e-08
1835,2.571449897459388e-08
1836,3.427582484505365e-08
1837,1.7394727436226276e-08
1838,4.229148586887277e-08
1839,3.775396706373613e-08
1840,1.9746034141121527e-08
1841,2.3113974734201292e-08
1842,2.5491406319133603e-08
1843,2.3036953678001737e-08
1844,3.787107161201675e-08
1845,2.0088821273134272e-08
1846,2.3418005312692003e-09
1847,1.4022381478184798e-08
1848,1.689496542667257e-08
1849,5.02764896381791e-09
1850,2.2403686017469226e-08
1851,3.224719336003545e-08
1852,1.9531636752390114e-08
1853,2.6873692604567623e-08
1854,4.052618152172727e-08
1855,2.2289135870323662e-08
1856,3.054541508618058e-08
1857,2.9777204701986193e-08
1858,4.257498176230001e-08
1859,1.1202780925145817e-08
1860,2.5632230560290736e-08
1861,2.4994607272788016e-08
1862,2.891511208247266e-08
1863,2.6471489888990618e-08
1864,2.7809422320501653e-08
1865,2.023943146411966e-08
1866,5.060237384668653e-08
1867,3.0572714138088486e-08
1868,2.5193358510477992e-08
1869,2.8324411260882698e-08
1870,1.9495765002375265e-08
1871,6.37270636261178e-09
1872,1.0280476914203973e-08
1873,2.1549615425442425e-08
1874,1.4936523129449597e-08
1875,2.2886109007913547e-08
1876,4.897271921322499e-08
1877,2.783167118991514e-08
1878,1.5701630218245555e-08
1879,2.871382953628654e-08
1880,2.5029599726167362e-08
1881,1.9523021421719022e-08
1882,2.5290463057103807e-08
1883,8.21514056781325e-09
1884,1.1222884843675729e-08
1885,1.2891271161663553e-08
1886,1.097088819790315e-08
