year,pourras_VERB aller_VERB
1922,2.951174193910333e-09
1923,4.246379248229459e-09
1924,6.445812328337297e-09
1925,1.0998177923937646e-09
1926,5.57306911730393e-09
1927,5.574612327308159e-09
1928,4.570416489713125e-09
1929,0.0
1930,1.0503603542488804e-09
1931,3.4216069977333063e-09
1932,3.287861094491973e-09
1933,6.882397318719313e-09
1934,3.5944740517379614e-09
1935,0.0
1936,6.0623572828433225e-09
1937,8.813782592653752e-09
1938,0.0
1939,0.0
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,1.2528993842408909e-08
1947,5.960435700558264e-09
1948,1.0871887834440486e-09
1949,9.817008317369869e-10
1950,2.1270722960764488e-09
1951,4.264560704569931e-09
1952,5.272402070488624e-09
1953,1.0773827385790469e-09
1954,3.9090144454689835e-09
1955,2.815682353940474e-09
1956,9.593255967388359e-09
1957,1.1485549400447326e-08
1958,3.3088973783179654e-09
1959,1.2401196514133517e-08
1960,5.536666680683311e-09
1961,4.16889545107324e-09
1962,1.2683912808952869e-09
1963,6.466053470433053e-09
1964,4.258777774879263e-09
1965,6.5664522708175355e-09
1966,1.6617224263271169e-09
1967,4.930335695263466e-09
1968,6.287982134978165e-09
1969,6.358460868938209e-09
1970,3.219107425067591e-09
1971,3.5968783507200897e-09
1972,2.565073486948677e-09
1973,4.9618833486420044e-09
1974,5.06301445213353e-09
1975,6.8537762132336866e-09
1976,5.713526984862938e-09
1977,2.3507127355770763e-09
1978,4.158414057542359e-09
1979,4.096381456264453e-09
1980,6.253665585376211e-09
1981,1.3916208629893845e-08
1982,6.2075020679230875e-09
1983,4.4207211225000265e-09
1984,2.3196033982486597e-09
1985,3.609334831011779e-09
1986,4.196139880008332e-09
1987,3.6664902225425067e-09
1988,1.0793796967334401e-08
1989,8.780995486290522e-09
1990,6.538381391862913e-09
1991,9.37834432335194e-09
1992,2.7549720282848966e-09
1993,1.1632335983335906e-08
1994,5.274926717646622e-09
1995,7.0491861237087505e-09
1996,7.473328622609188e-09
1997,6.233362714880286e-09
1998,8.582632382569955e-09
1999,5.941261704833778e-09
2000,7.95245647111642e-09
2001,7.448059946568719e-09
2002,6.133709984368352e-09
2003,6.667076668520622e-09
2004,7.928623979580607e-09
2005,4.954124666056714e-09
2006,6.58862386870851e-09
2007,1.4779574009082808e-08
2008,1.2772319202269955e-08
2009,9.059565542202108e-09
2010,2.0312310056169736e-08
2011,2.141424282342541e-08
2012,3.3702100665777834e-08
2013,3.5700800538052135e-08
2014,3.269822101970021e-08
2015,3.524354852402212e-08
2016,3.3762841411544287e-08
2017,3.446387353278624e-08
2018,4.0529027245383986e-08
2019,3.800971626333194e-08
