year,elles_PRON envoient_VERB,elles_PRON renvoient_VERB
1800,3.45858084394024e-08,0.0
1801,5.2386017301842e-08,4.7623651688866175e-09
1802,4.2518962573012686e-08,1.3427040812530322e-08
1803,4.8758479920252285e-08,1.950339267864365e-08
1804,4.449331747480301e-08,1.2359254730753833e-08
1805,6.25433100864825e-08,2.842877711017877e-09
1806,5.4751714273493235e-08,1.152667650217154e-08
1807,4.270432718556094e-08,2.8469551160981155e-09
1808,2.945896104833423e-08,9.064295980465431e-09
1809,2.4849335922283444e-08,1.3554183553310395e-08
1810,5.3822915901946544e-08,2.8081521108447305e-08
1811,8.022645658911642e-08,5.0141535368197765e-09
1812,3.7340915692851695e-08,2.1337665856435706e-08
1813,5.751483289628823e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,8.90083740046066e-08,0.0
1816,4.8669683394564345e-08,0.0
1817,2.9580593974287694e-08,4.670620334934483e-09
1818,9.894577335245458e-08,1.1921177378582115e-09
1819,3.726377961754679e-08,5.175525119582858e-09
1820,5.814575843032799e-08,9.493184904840746e-09
1821,5.818278125957477e-08,6.903041693817613e-09
1822,6.717162648328667e-08,1.1028177482330648e-08
1823,5.5343046589939604e-08,2.2730180404550993e-08
1824,3.8737120178211626e-08,5.052667617633233e-09
1825,4.490776106536032e-08,2.1133062411138326e-08
1826,4.492072136486058e-08,1.3211976845894924e-08
1827,5.8068819974721464e-08,3.133872894522938e-08
1828,3.3937515242499217e-08,3.485474309172787e-08
1829,3.77219735447909e-08,1.800366966620004e-08
1830,5.635891220379108e-08,2.1917355041978226e-08
1831,1.870944776882766e-08,4.677361609140007e-09
1832,4.735489356200162e-08,2.841293600397421e-08
1833,2.6642346107053072e-08,3.4750886612755494e-08
1834,2.9870498519102284e-08,7.467624740797874e-09
1835,5.067268915581735e-08,9.075705520444899e-09
1836,5.376600098472295e-08,9.409050427677812e-09
1837,3.826840000442644e-08,2.0873672568200163e-08
1838,3.9135403362422494e-08,9.468242634369517e-09
1839,3.216078603429651e-08,1.2584655095793096e-08
1840,5.732719809969922e-08,1.0828470731194528e-08
1841,4.6227948580224165e-08,8.988767952189392e-09
1842,3.95787642659684e-08,1.6770663080478698e-08
1843,8.860366795815366e-08,2.539971788451112e-08
1844,5.982531980919248e-08,1.2074834465636286e-08
1845,4.63158926766738e-08,5.580227835366713e-09
1846,3.688335770135609e-08,1.1709002656346001e-08
1847,5.177494610819622e-08,1.9954927488186058e-08
1848,4.34441957963827e-08,1.448139919091318e-08
1849,2.430030288103069e-08,2.513824481908955e-09
1850,3.326608055687075e-08,1.2899092460827433e-08
1851,2.966741785570548e-08,1.6768540334055615e-08
1852,4.101643558129808e-08,9.765817932105847e-09
1853,4.060913694203805e-08,1.0749477752369785e-08
1854,5.7152309551611324e-08,1.7145692421394187e-08
1855,3.290301009428731e-08,1.0083180512765466e-08
1856,3.572260509621117e-08,3.1063135952358323e-09
1857,3.17298098906349e-08,1.5620829074691756e-08
1858,5.62772735079875e-08,4.893676019968041e-09
1859,3.513599544646695e-08,1.2730433596175317e-08
1860,3.8906062815868836e-08,4.57718396518203e-09
1861,4.102888517820702e-08,1.3204698667834691e-08
1862,3.433669570895859e-08,1.1746764450037972e-08
1863,3.9457503930862003e-08,4.994620717013731e-09
1864,1.4384183621984903e-08,8.63051052846231e-09
1865,4.424433619476531e-08,1.2708479713019472e-08
1866,3.6978657469433074e-08,4.379051676828283e-09
1867,6.454239098729886e-08,1.2132028714972876e-08
1868,3.7049055379156925e-08,1.0373735648272486e-08
1869,5.3718711257033647e-08,2.441759683335931e-09
1870,3.956493621615209e-08,1.2614907340946502e-08
1871,4.142259157902117e-08,2.0180236148803488e-08
1872,6.107812833278103e-08,5.442605366390296e-09
1873,4.669083608632718e-08,2.3944017879529156e-09
1874,7.528007550661187e-08,1.3741600746186577e-08
1875,5.3210200690045895e-08,4.005069165202713e-09
1876,4.95773218034401e-08,1.5115036333668286e-08
1877,4.886004667525867e-08,8.658742500777805e-09
1878,4.589707458535486e-08,2.5364172873132418e-08
1879,8.003216045437966e-08,1.1607718231054776e-08
1880,5.583526352381796e-08,2.888030747882908e-08
1881,3.69542902944886e-08,2.091752238086997e-08
1882,7.254369904785563e-08,1.5972923872453748e-08
1883,4.676310894069502e-08,1.0110942583185789e-08
1884,7.063815665730999e-08,9.242375753615306e-09
1885,6.187810175362074e-08,1.353583467533781e-08
1886,7.163344761806911e-08,1.936039140115753e-08
1887,4.5702472695197116e-08,1.0446279397058333e-08
1888,5.579741113592718e-08,1.2047168151951837e-08
