year,mêmes_ADJ aides_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,6.227493631882908e-09
1818,2.384235475716423e-09
1819,0.0
1820,1.0679833017945839e-08
1821,7.88919063410276e-09
1822,1.0025615893027862e-09
1823,8.894418535021487e-09
1824,0.0
1825,1.7610886082763955e-09
1826,0.0
1827,0.0
1828,1.6510142586412258e-08
1829,7.715858174606183e-09
1830,0.0
1831,1.5591206103948707e-09
1832,5.411987746839486e-09
1833,2.3167257001688313e-09
1834,0.0
1835,0.0
1836,6.72075017860152e-09
1837,3.478945576063097e-09
1838,6.312161904276081e-10
1839,3.4957374772659477e-09
1840,1.9109065441114126e-09
1841,0.0
1842,0.0
1843,8.860366662588604e-09
1844,1.4819115712327857e-08
1845,5.580227835366713e-09
1846,1.7563503984519002e-09
1847,5.3932236454556914e-09
1848,4.82713291560799e-09
1849,1.256912263158938e-08
1850,6.788996032014438e-10
1851,4.321124080775007e-08
1852,8.463708844885787e-09
1853,1.1943863675867306e-09
1854,2.0782657816909023e-09
1855,3.714855978387277e-09
1856,1.0354378687793542e-08
1857,8.78671624349181e-09
1858,0.0
1859,1.5276520048956854e-09
1860,3.661747127736703e-09
1861,1.3676294763342867e-08
1862,4.517986262886353e-10
1863,9.989241656072068e-10
1864,4.794727948009836e-10
1865,7.0602665935837194e-09
1866,1.9462451650298362e-09
1867,2.232293283555009e-08
1868,2.9639244392143382e-09
1869,1.5138908793232986e-08
1870,6.307453670473251e-09
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,2.9930022904522957e-09
1874,5.974609140757536e-10
1875,2.2886108563824337e-09
1876,1.813804439976252e-09
1877,6.184815992682502e-10
1878,4.22736201599605e-09
1879,6.10932526790009e-10
1880,3.2089231272180996e-09
1881,9.064259565150223e-09
1882,3.9932310791357395e-09
1883,4.423537092179686e-09
1884,6.601696966868076e-10
1885,3.2228177904158883e-09
1886,2.5813855497602844e-09
1887,6.528924623161458e-10
1888,1.9021844099853524e-09
1889,2.5060546970934183e-09
1890,3.2771931834929546e-09
1891,2.5496880162734215e-09
1892,1.8805537127519756e-09
1893,6.158416554491453e-10
1894,3.780923574225881e-09
1895,9.027921521465032e-09
1896,4.717623180994224e-09
1897,4.078699600285063e-09
1898,6.224190496340043e-09
1899,3.3165470370022376e-09
1900,3.114631885736685e-09
1901,5.029864968975062e-09
1902,1.3748794991386148e-08
1903,3.2401321625741275e-09
1904,2.6873125946735854e-09
1905,5.160759042333041e-10
1906,3.0865106026567446e-09
1907,5.142843484406967e-09
1908,1.964555629285769e-09
1909,3.850688656825696e-09
1910,4.809735720812114e-09
1911,5.3203743632934675e-09
1912,1.0418842455450772e-09
1913,5.30298971401777e-10
