year,vos_DET aides_NOUN
1800,1.2576657937302116e-08
1801,2.3811825844433088e-09
1802,6.713520406265161e-09
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,2.305335300434308e-08
1807,0.0
1808,2.039466551195801e-08
1809,1.3554183109221185e-08
1810,1.8721014516387413e-08
1811,1.0028306629550343e-08
1812,2.6672082320544632e-09
1813,1.1502966579257645e-08
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,7.784366928831332e-09
1818,3.5763532135746345e-09
1819,6.417651121637391e-08
1820,0.0
1821,3.648750634965836e-08
1822,4.6117833107928163e-08
1823,5.435477845594505e-08
1824,2.863178316658832e-08
1825,2.1133063299316746e-08
1826,7.662946444053631e-08
1827,2.7651818612639545e-08
1828,3.485474309172787e-08
1829,4.200856196234781e-08
1830,3.3397874021900975e-08
1831,4.677361609140007e-09
1832,4.464889968858188e-08
1833,1.7375443306377747e-08
1834,1.3068342852307069e-08
1835,3.554651328840919e-08
1836,2.016224964762614e-09
1837,1.461157062010443e-08
1838,8.837027110075724e-09
1839,3.2859933440931854e-08
1840,1.46502836528839e-08
1841,7.704658244733764e-09
1842,8.049918065466954e-09
1843,1.0041748765843295e-08
1844,9.879410178825765e-09
1845,5.580227835366713e-09
1846,1.7563503984519002e-09
1847,9.707802561820245e-09
1848,2.574470947536156e-08
1849,9.217356211621563e-09
1850,6.1100964288129944e-09
1851,2.450786795726856e-08
1852,3.2552726736412296e-08
1853,1.4332636411040767e-08
1854,6.182840905921694e-08
1855,9.021793090369101e-09
1856,1.2425253714809514e-08
1857,6.785297301803439e-08
1858,1.3017177546981173e-07
1859,6.874434110848426e-08
1860,6.774232019779447e-08
1861,3.395493841651387e-08
1862,5.557123139432463e-08
1863,2.8968799653528166e-07
1864,6.329040613817227e-08
1865,1.1861247628530691e-07
1866,5.011581238889562e-08
1867,3.785192959071537e-08
1868,1.36834512609596e-07
1869,5.567211702750541e-08
1870,1.6628741050794815e-08
1871,1.5931766128574054e-08
1872,1.5723081503438152e-08
1873,2.1549615425442425e-08
1874,3.2860349108432274e-08
1875,2.8607635371713513e-08
1876,3.08346761457301e-08
1877,1.608052180301911e-08
1878,1.1474268646338714e-08
1879,9.774920428640144e-09
1880,8.984985200299889e-09
1881,1.4642266066289267e-08
1882,1.3310770263785798e-08
1883,1.895801765572358e-08
1884,9.242375753615306e-09
1885,3.480643157027785e-08
1886,1.2261581083805595e-08
1887,2.415702088365279e-08
1888,1.3315291091942072e-08
1889,2.318100555953606e-08
1890,1.5075089621063853e-08
1891,1.9122660788184476e-08
1892,2.0059238936553925e-08
1893,2.3401982574000613e-08
1894,8.192000855444803e-09
1895,2.347259631108045e-08
1896,1.0614652268259306e-08
1897,3.496028144756025e-08
1898,2.772593887812036e-08
1899,2.1004797901014172e-08
1900,2.1283318663023465e-08
1901,5.029864968975062e-09
1902,1.0311596021495006e-08
1903,3.996163067121472e-08
1904,1.289910045443321e-08
1905,1.5998352864698973e-08
1906,3.600929110447737e-09
1907,1.6457098794830927e-08
1908,2.9468334439286537e-09
1909,2.8055015810490858e-08
1910,1.977335806202518e-08
1911,3.085817112946643e-08
1912,3.334029585744247e-08
1913,1.9621061331243084e-08
1914,1.205413840965619e-08
1915,3.5342285764627945e-09
1916,1.2086208478478966e-08
1917,1.2063066989753679e-08
1918,1.1486376294556067e-09
1919,6.4454939163738345e-09
1920,6.057785384427916e-09
1921,3.0290989716519334e-09
1922,1.0329110011753073e-08
1923,2.1231896241147297e-09
1924,1.4180787211159895e-08
1925,2.5295809891190402e-08
1926,3.343841470382358e-08
1927,8.919379901328739e-09
1928,1.4853853258500749e-08
1929,1.3368487650211591e-08
1930,4.201441416995522e-09
1931,7.983749661377715e-09
1932,4.383814644626227e-09
1933,6.882397318719313e-09
1934,4.7926320689839486e-09
1935,4.787313656606784e-09
1936,3.6374143697059935e-09
1937,1.2591118148108649e-09
1938,3.8895642262559704e-09
1939,6.117620188206274e-09
1940,2.7893612530860423e-08
1941,0.0
1942,1.517105907566929e-08
1943,1.4516175816936538e-08
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,3.5762612871081956e-09
1948,2.174377566888097e-09
1949,3.9268033269479474e-09
1950,6.381216888229346e-09
1951,8.529121409139861e-09
1952,3.1634410646574906e-09
1953,5.386913581872932e-09
1954,4.886268278880834e-09
1955,1.3139850985055546e-08
1956,6.976913269340912e-09
1957,7.951533653738352e-09
1958,1.2408365002158916e-08
1959,8.525822714489095e-09
1960,5.536666680683311e-09
1961,9.03260666262895e-09
1962,6.976151933901775e-09
1963,6.4660533594107505e-09
1964,4.867174663303331e-09
1965,7.1136563306595235e-09
1966,3.3234448526542337e-09
1967,1.0353704948951048e-08
1968,8.533690198930799e-09
1969,3.1792304344691047e-09
1970,3.219107425067591e-09
1971,8.221435865429783e-09
1972,5.643161493651405e-09
1973,5.513203671370093e-09
1974,7.313243344242437e-09
1975,2.2845920710778955e-09
1976,6.284879672247001e-09
1977,5.289103821581875e-09
1978,7.72276909088987e-09
1979,4.096381456264453e-09
1980,1.7055452605774235e-09
1981,5.69299452024552e-09
1982,3.103751144983846e-09
1983,5.68378455412244e-09
1984,4.059306057957457e-09
1985,4.812446330326736e-09
1986,5.395036861699509e-09
1987,3.0554083707556856e-09
1988,5.9965538645734284e-09
1989,1.042743191792539e-08
1990,2.724325431913144e-09
1991,7.6199047072123e-09
1992,7.713921945651236e-09
1993,9.416652346772025e-09
1994,1.5824779264761446e-09
1995,2.1689803286761844e-09
1996,5.3380921904988554e-09
1997,3.3564261370244708e-09
1998,5.72175506974304e-09
1999,4.113180906983871e-09
2000,1.1486881890121481e-08
2001,4.8193330159929104e-09
2002,7.448076377869484e-09
2003,7.917153710401692e-09
2004,1.4095332012686868e-08
2005,6.7556245042510454e-09
2006,1.482440337152724e-08
2007,7.589511158423434e-09
2008,2.0009967016676455e-08
2009,2.9085974517784052e-08
2010,1.228186230495254e-08
2011,1.1471915806193778e-08
2012,1.5999988112191943e-08
2013,2.008170085776584e-08
2014,1.8839373838730467e-08
2015,2.2830725934785967e-08
2016,2.195620496525663e-08
2017,1.5596789637584152e-08
2018,2.581466596041082e-08
2019,3.62240273332759e-08
