year,autres_ADJ humeurs_NOUN,autres_ADJ rumeurs_NOUN
1800,3.4900224932243873e-07,0.0
1801,5.21478966675204e-07,0.0
1802,4.184761053238617e-07,8.951360541686881e-09
1803,4.7198210495480453e-07,0.0
1804,3.312280227873998e-07,0.0
1805,6.680762680844055e-07,0.0
1806,3.7173532518863794e-07,0.0
1807,1.822051274302794e-07,0.0
1808,1.654234011994049e-07,0.0
1809,1.603911670144953e-07,2.259030518203531e-09
1810,1.4742798271072388e-07,0.0
1811,1.8301660986708157e-07,0.0
1812,3.1473058470510296e-07,0.0
1813,2.875741529351217e-07,0.0
1814,4.279480947388947e-07,0.0
1815,7.039753313620167e-07,0.0
1816,2.9665329748240765e-07,0.0
1817,2.3664475179430156e-07,3.113746815941454e-09
1818,4.0532003708904085e-07,0.0
1819,3.208825489764422e-07,0.0
1820,2.468228217367141e-07,0.0
1821,2.859831624846265e-07,0.0
1822,1.1529458276982041e-07,0.0
1823,1.4329896202980308e-07,0.0
1824,3.115811750831199e-07,0.0
1825,9.950150570148253e-08,3.522177216552791e-09
1826,7.222546827279075e-08,0.0
1827,9.8624823863247e-08,0.0
1828,1.008953134373769e-07,9.172301140836225e-09
1829,1.9203913836918218e-07,3.429270423183084e-09
1830,1.231546633562175e-07,2.0873671680021744e-09
1831,1.1069756311599122e-07,0.0
1832,6.3590853471851e-08,1.2176972319366541e-08
1833,1.332117278707301e-07,6.950177322551099e-09
1834,1.4655213931291655e-07,1.120143711119681e-08
1835,9.680752555141225e-08,1.8907719834260206e-08
1836,1.1626897844507766e-07,1.3441500135158435e-09
1837,1.822967448106283e-07,6.957890930081589e-10
1838,1.3444905277992802e-07,0.0
1839,1.3353717065456294e-07,6.9914751765765e-10
1840,1.732555290345772e-07,1.9109065441114126e-09
1841,2.747994756191474e-07,1.0272877659645019e-08
1842,1.207487656529338e-07,3.3541325272778977e-09
1843,1.334961865495643e-07,3.5441467538532834e-09
1844,1.1965063606567128e-07,2.195424508855126e-09
1845,6.473064217971114e-08,1.5066614622583074e-08
1846,1.2060272069902567e-07,1.1709002656346001e-09
1847,7.33478415781974e-08,5.9325460100012606e-09
1848,9.091100849900613e-08,1.6090443422100975e-09
1849,7.122502410084053e-08,5.02764896381791e-09
1850,3.530277936647508e-08,6.788996032014438e-10
1851,5.482023013314574e-08,1.0319102017319892e-08
1852,6.250123618656289e-08,1.3021090872200602e-09
1853,1.5885338200405386e-07,2.388772735173461e-09
1854,6.598494195486637e-08,1.0391328686409906e-08
1855,1.1144567935161831e-07,4.2455496895854594e-09
1856,7.455152228885709e-08,9.318940286107136e-09
1857,5.174399575480493e-08,5.369659827891837e-09
1858,6.410715513993637e-08,6.8511463169329545e-09
1859,8.605773160752506e-08,1.018434669930457e-08
1860,4.073693560258107e-08,1.7393299245327398e-08
1861,3.678451676591976e-08,8.488735048217677e-09
1862,1.0797987215482863e-07,4.517986262886353e-10
1863,7.741662244598047e-08,8.490855130105501e-09
1864,7.479775376850739e-08,1.342523781033833e-08
1865,6.966129717511649e-08,3.294791106611683e-09
1866,4.476363812955242e-08,1.3623716377253459e-08
1867,1.7858346268440073e-07,1.164674756637396e-08
1868,6.965222354438083e-08,5.9278488784286765e-09
1869,7.471784613244381e-08,5.371870948067681e-09
1870,1.3761717809757101e-07,2.8670243956696595e-09
1871,8.709365317827178e-08,5.3105884134652115e-09
1872,2.0560953828407946e-08,1.6327815544059376e-08
1873,8.919146665675726e-08,3.591602570907071e-09
1874,1.6310683292886097e-07,1.3144139998644278e-08
1875,8.067353007845668e-08,7.437985338754061e-09
1876,4.6554312405078235e-08,1.3301232781870453e-08
1877,5.504486111362894e-08,9.27722387800145e-09
1878,3.4422804162659304e-08,4.831270938865373e-09
1879,3.665595116331133e-08,3.665595160740054e-09
1880,5.647704881539539e-08,6.417846254436199e-09
1881,1.3945014920579979e-08,1.2550513517339823e-08
1882,4.45910792734594e-08,7.320923423037584e-09
1883,4.423537092179686e-08,6.951272890631799e-09
1884,3.300848305798354e-08,8.582206056928499e-09
1885,3.674012205578947e-08,1.2891271383708158e-09
1886,2.3877817056927597e-08,3.2267319372003556e-09
1887,2.154545164501087e-08,3.9173548849191775e-09
1888,1.8387781963724592e-08,6.974675947901687e-09
1889,4.009687515349469e-08,1.0650732740202784e-08
1890,5.1124214195397144e-08,3.2771931834929546e-09
1891,1.1473596295275001e-08,6.374220040683554e-10
1892,1.002961980134387e-08,3.761107425503951e-09
1893,9.730297989563041e-08,4.926733243593162e-09
1894,1.449354058991048e-08,3.150769645188234e-09
1895,4.4537745935713247e-08,5.416753268150387e-09
1896,4.0689499769541726e-08,4.1279202278587945e-09
1897,5.185775009408644e-08,7.574727511894253e-09
1898,4.809601605870739e-08,5.6583546736987955e-09
1899,2.9296165493519766e-08,1.4371703827009696e-08
1900,2.8550791952852705e-08,4.15284251431558e-09
1901,2.738482152153665e-08,2.0119459875900247e-08
1902,2.0132164380015638e-08,3.437198747846537e-09
1903,2.5381035939631147e-08,1.3500550899436803e-08
1904,4.622177840474251e-08,7.524475265086039e-09
1905,2.4255568220610257e-08,8.773290538499623e-09
1906,2.983626856689625e-08,9.773950537805831e-09
1907,2.674278576364486e-08,1.028568674676933e-09
1908,1.2278472460991452e-08,3.929111258571538e-09
1909,2.4204327431220918e-08,5.500983557560346e-10
1910,1.5498036631811374e-08,2.67207544979442e-09
1911,2.074945903984826e-08,6.384448969498635e-09
1912,3.125652625612929e-08,1.9795800554334164e-08
1913,2.8636144122629048e-08,5.30298971401777e-10
1914,8.705766774141921e-09,1.0045115850232378e-08
1915,1.6493066468115103e-08,1.8849219074468238e-08
1916,1.3184954461564757e-08,2.0876177231343718e-08
1917,1.2063066989753679e-08,2.0836205649743533e-08
1918,1.2635013924011673e-08,9.189101035644853e-09
1919,1.3811772170413406e-08,9.207848705727883e-09
1920,1.514446346106979e-08,1.1358347151713133e-08
1921,2.499006690470651e-08,8.330022005509363e-09
1922,1.1804696775641332e-08,1.9920426197472807e-08
1923,1.8047112249064412e-08,3.1847844361720945e-09
1924,2.3204924204378585e-08,1.804827398643738e-08
1925,2.1996356736053713e-08,6.598906754362588e-09
1926,1.671920735191179e-08,4.458455382660986e-09
1927,5.574612327308159e-09,8.919379901328739e-09
1928,1.82816659588525e-08,1.5996457491951332e-08
1929,2.785101571589621e-08,4.4561625500705304e-09
1930,1.05036033204442e-08,6.302162347537887e-09
