year,voudrais_VERB envoyer_VERB,voudrais_VERB renvoyer_VERB
1800,0.0,0.0
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,7.784366928831332e-09
1818,1.5497530370112145e-08,0.0
1819,1.035105001712111e-09,1.035105001712111e-09
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,9.861488514673056e-09,0.0
1822,1.303330066093622e-08,1.0025615893027862e-09
1823,9.882686891060644e-10,9.882686891060644e-10
1824,6.736890156844311e-09,5.052667617633233e-09
1825,8.805443041381977e-10,0.0
1826,7.927186018719112e-09,0.0
1827,2.7651818612639545e-09,0.0
1828,1.6510142586412258e-08,0.0
1829,8.57317605795771e-10,0.0
1830,1.878630406793036e-08,1.0436835840010872e-09
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,4.058990921151917e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,1.0267983796552471e-08,0.0
1835,9.832014313815307e-09,0.0
1836,1.008112526790228e-08,0.0
1837,9.045257876039159e-09,0.0
1838,1.009945904684173e-08,0.0
1839,2.0974425751774106e-08,0.0
1840,1.9109065441114126e-09,4.458782232319436e-09
1841,4.494383976094696e-09,0.0
1842,1.0733224087289273e-08,0.0
1843,1.8902115428431898e-08,0.0
1844,8.232841963717874e-09,0.0
1845,5.580227835366713e-09,0.0
1846,4.6836010625384006e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,4.02261068899179e-09,0.0
1849,8.379414939696517e-10,0.0
1850,3.394498016007219e-09,0.0
1851,6.449438760824933e-10,0.0
1852,1.9531636308300904e-09,1.3021090872200602e-09
1853,7.763511611358354e-09,1.1943863675867306e-09
1854,2.338049043260071e-08,1.0391328908454511e-09
1855,1.0613874223963649e-09,1.5920811335945473e-09
1856,4.141751386299575e-09,3.1063134287023786e-09
1857,7.810414537345878e-09,1.4644527812635033e-09
1858,9.297984604472731e-09,3.4255731584664773e-09
1859,6.619825576592575e-09,0.0
1860,1.2358396972445007e-08,1.8308735638683515e-09
1861,1.3204698667834691e-08,3.3011746669586728e-09
1862,7.680577063240435e-09,9.035972525772706e-10
1863,2.4973103585068657e-09,1.4983863039219614e-09
1864,1.726102105692462e-08,1.9178911792039344e-09
1865,9.41368871743009e-10,1.4120533631256649e-09
1866,3.8924903300596725e-09,0.0
1867,1.94112459439566e-08,0.0
1868,5.9278488784286765e-09,4.93987406535723e-10
1869,1.1720445947105418e-08,0.0
1870,1.7202146374017957e-09,0.0
1871,3.18635318130589e-09,6.37270636261178e-09
1872,3.0236697590169115e-09,1.2094678591978436e-09
1873,1.7958012854535355e-09,1.1972008939764578e-09
1874,5.974609140757536e-10,0.0
1875,9.7265964171811e-09,5.721527140956084e-10
1876,1.813804439976252e-09,0.0
1877,1.4843558382438005e-08,6.184815992682502e-10
1878,5.435179861734696e-09,1.2078177347163432e-09
1879,6.109325489944695e-09,6.720257683667796e-09
1880,8.343199908722454e-09,0.0
1881,4.8807553554297556e-09,0.0
1882,9.317538740560849e-09,6.655385131892899e-10
1883,2.5277355764075082e-09,0.0
1884,3.300848483434038e-09,0.0
1885,9.023890079618013e-09,0.0
1886,3.2267319927115068e-09,0.0
1887,2.6115698492645834e-09,6.528924623161458e-10
1888,5.07249175996094e-09,1.9021844099853524e-09
1889,6.891650361495749e-09,1.8795409673089125e-09
1890,1.0487018364813139e-08,3.9326319978272295e-09
1891,3.824531802365527e-09,0.0
1892,9.402768341715273e-09,0.0
1893,1.847525021858587e-09,0.0
1894,2.520615716150587e-09,3.780923574225881e-09
1895,1.8055843487019274e-09,0.0
1896,9.435246361988447e-09,0.0
1897,2.9133566670225264e-09,0.0
1898,1.0185038590293516e-08,5.6583548957434e-10
1899,7.185851913504848e-09,4.4220627160029835e-09
1900,4.15284251431558e-09,1.038210628578895e-09
1901,5.029864968975062e-09,0.0
1902,4.419255628107521e-09,0.0
1903,4.860198465905796e-09,0.0
1904,2.6873125946735854e-09,0.0
1905,1.5482277682110634e-09,1.5482277682110634e-09
1906,6.173021205313489e-09,2.0576738091193647e-09
1907,3.0857059130084963e-09,0.0
1908,5.40252820258047e-09,0.0
1909,4.400786846048277e-09,1.1001967115120692e-09
1910,1.068830135508847e-09,2.137660271017694e-09
1911,1.1172785363555704e-08,5.320374141248863e-10
1912,6.772247651554153e-09,4.167536982180309e-09
1913,3.71209285532359e-09,0.0
1914,4.018046340092951e-09,0.0
1915,2.1205371680821372e-08,3.534228465440492e-09
1916,4.394984820521586e-09,2.197492410260793e-09
1917,1.0966424435210342e-09,0.0
1918,6.89182577673364e-09,2.2972752589112133e-09
1919,2.762354567309444e-09,0.0
1920,6.057785384427916e-09,0.0
1921,1.5145494858259667e-09,0.0
1922,1.4755870969551665e-09,0.0
1923,5.307974060286824e-09,0.0
1924,2.578324886925998e-09,1.289162443462999e-09
1925,5.499089184013428e-09,0.0
1926,5.57306911730393e-09,0.0
1927,1.8953683067479687e-08,0.0
1928,2.2852082448565625e-09,0.0
1929,5.570202965543558e-09,4.4561625500705304e-09
1930,0.0,7.352522590764465e-09
1931,5.7026783295555106e-09,1.1405356659111021e-09
1932,1.9727165678773417e-08,0.0
1933,4.588264879146209e-09,3.4411986593596566e-09
1934,2.036868629318178e-08,0.0
1935,3.590485242455088e-09,0.0
1936,1.2124714565686645e-09,1.2124714565686645e-09
1937,8.813782592653752e-09,3.777335333410292e-09
1938,1.8151300906765755e-08,1.2965214457594243e-09
1939,4.588215141154706e-09,4.588215141154706e-09
1940,2.5357829169792012e-09,0.0
1941,5.9030051957620344e-09,0.0
1942,1.517105907566929e-08,0.0
1943,5.806470415592457e-09,0.0
1944,6.4263723231761105e-09,0.0
1945,8.714016175304096e-09,0.0
1946,2.3665876369705074e-08,0.0
1947,1.4305045148432782e-08,4.7683483828109274e-09
1948,1.0871887834440486e-09,1.0871887834440486e-09
1949,1.9634016634739737e-09,0.0
1950,9.571825110299415e-09,2.1270722960764488e-09
1951,8.529121409139861e-09,5.330700769690111e-09
1952,6.326882129314981e-09,1.0544803918932644e-09
1953,1.0773827163745864e-08,4.3095309543161875e-09
1954,7.818028890937967e-09,1.9545072227344917e-09
1955,9.385607846468247e-09,2.815682353940474e-09
1956,5.232684952005684e-09,1.1337483840634377e-08
1957,4.417518795207798e-09,2.6505113659425206e-09
1958,4.1361216673863055e-09,1.6544486891589827e-09
1959,4.650448914844674e-09,3.100299128533379e-09
1960,6.920833239831836e-09,3.460416619915918e-09
1961,7.64297514166401e-09,4.86371165564492e-09
1962,8.244543714397423e-09,5.0735651235811474e-09
1963,1.2932106940866106e-08,1.939815863494232e-09
1964,7.909158661334459e-09,4.258777774879263e-09
1965,9.849678406226303e-09,3.830430195250756e-09
1966,6.6468897053084675e-09,4.985167390003653e-09
1967,7.395503320850594e-09,5.423369309198733e-09
1968,6.737123747768692e-09,4.491415683816058e-09
1969,8.629339909305145e-09,5.904285060864822e-09
1970,1.0117195081704722e-08,2.2993624781975086e-09
1971,6.166076982339064e-09,4.624557625731995e-09
1972,7.182205497002769e-09,4.104117490300041e-09
1973,3.859242703185828e-09,2.7566018356850464e-09
1974,3.937900228123681e-09,1.1251143350321513e-09
1975,6.8537762132336866e-09,5.140332159925265e-09
1976,1.1427053969725876e-08,3.9994687561772935e-09
1977,5.289103821581875e-09,2.3507127355770763e-09
1978,5.940591130126904e-09,5.940591130126904e-09
1979,8.777959692451986e-09,3.5111840102075575e-09
1980,7.95921106799824e-09,7.390696055153967e-09
1981,6.958104314946922e-09,5.69299452024552e-09
1982,3.7245013739806154e-09,4.966001831974154e-09
1983,1.136756910824488e-08,5.68378455412244e-09
1984,8.118611560803402e-09,5.219107812592938e-09
1985,1.3234227935754461e-08,3.609334831011779e-09
1986,5.994485352545098e-09,5.994485352545098e-09
1987,1.0388388815840699e-08,6.721898593298192e-09
1988,1.199310784016916e-08,4.797243047249822e-09
1989,6.585746614717891e-09,3.2928733073589456e-09
1990,1.4166492867673242e-08,3.2691906959314565e-09
1991,1.582595565707834e-08,5.861465202094962e-10
1992,1.2121876835635703e-08,4.4079553340736766e-09
1993,6.647049133334804e-09,1.661762283333701e-09
1994,8.439882570598911e-09,4.2199412852994556e-09
1995,5.4224509327127635e-09,3.795715741716776e-09
1996,1.0676184380997711e-08,2.135236876199542e-09
1997,1.8220598363427598e-08,1.917957792585412e-09
1998,7.629006759657386e-09,7.152193948201102e-09
1999,9.597422412355172e-09,3.656160929565999e-09
2000,4.859834756842929e-09,2.6508188977203417e-09
2001,1.1391150245287918e-08,3.943090742808408e-09
2002,1.0953053575235572e-08,4.81934359086722e-09
2003,1.0833999475323708e-08,3.333538334260311e-09
2004,5.285749615779878e-09,1.3214374039449694e-09
2005,9.457874483587148e-09,3.602999676388663e-09
2006,9.882935358973555e-09,8.235779835885637e-10
2007,6.7906151812735516e-09,1.1983438685803094e-09
2008,5.108927503272298e-09,2.9802078582719105e-09
2009,1.2397300963584712e-08,3.814554005998616e-09
2010,1.1809482280966677e-08,1.8895172093635892e-09
2011,1.1471915861704929e-08,3.82397197240536e-10
2012,1.7702113552786614e-08,3.404252713057332e-10
2013,2.5102124823206395e-08,6.414987652192394e-09
2014,2.013864097705209e-08,4.330890313042346e-09
2015,2.0392493027543424e-08,8.866301581811342e-10
2016,3.8526923873405394e-08,6.214019965256057e-09
2017,1.5848351964109497e-08,1.0062445321423752e-09
2018,2.1684320117287825e-08,2.8396134332808742e-09
2019,1.0714148679369373e-08,2.2958890344426663e-09
