year,moins_ADV acheté_VERB,moins_ADV racheté_VERB
1800,9.432493897065797e-09,1.5720821977538435e-08
1801,2.3811825844433088e-09,0.0
1802,6.713520406265161e-09,0.0
1803,1.950339223455444e-09,1.950339223455444e-09
1804,2.4718509461507665e-09,1.9774807569206132e-08
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,0.0,0.0
1809,1.8072244145628247e-08,1.129515236897305e-08
1810,9.360507036149102e-09,2.8081521108447305e-08
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,0.0,0.0
1813,2.8757416004054903e-08,1.4378708002027452e-08
1814,1.8880061958270744e-08,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,6.227493631882908e-09,4.670620334934483e-09
1818,4.768470951432846e-09,7.152706427149269e-09
1819,5.072014630513877e-08,1.035105001712111e-09
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,3.94459531705138e-09,2.9584463767662328e-09
1822,2.0051231786055723e-09,1.0025615893027862e-09
1823,2.2730180404550993e-08,1.9765373782121287e-09
1824,1.9368560089105813e-08,0.0
1825,1.4969252504215547e-08,1.7610886082763955e-09
1826,4.403992281964975e-09,7.927186018719112e-09
1827,9.217273166939322e-09,4.608636583469661e-09
1828,9.172301140836225e-09,9.172301251858528e-10
1829,8.573175946935407e-09,8.57317605795771e-10
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,0.0,1.091384405071949e-08
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,6.534171426153534e-09
1835,0.0,3.781543966852041e-09
1836,3.36037508930076e-09,0.0
1837,6.957891152126194e-09,6.957890930081589e-10
1838,0.0,1.8936485712828244e-09
1839,6.9914751765765e-10,2.0974426639952526e-09
1840,0.0,5.732719632334238e-09
1841,1.0914932957462042e-08,1.2841097074556274e-09
1842,6.708265054555795e-10,0.0
1843,4.134837805480629e-09,1.1813822142769936e-09
1844,1.6465684371524958e-09,7.683985892015244e-09
1845,4.464182357111213e-09,5.580227946389016e-10
1846,3.5127007969038004e-09,1.1709002656346001e-09
1847,5.393223645455691e-10,0.0
1848,2.413566457803995e-09,4.02261068899179e-09
1849,1.6758829879393033e-09,1.0893239199560867e-08
1850,4.752297222410107e-09,1.3577992064028876e-09
1851,1.2898877521649865e-08,1.9348316282474798e-09
1852,2.6042181744401205e-09,0.0
1853,5.971931837933653e-10,1.5527023222716707e-08
1854,3.63696517347023e-09,5.195664454227256e-10
1855,1.2205955357558196e-08,5.306937111981824e-10
1856,1.5531567143511893e-09,1.0354378465748937e-09
1857,6.8341128311999455e-09,5.857811125054013e-09
1858,5.3830437884982985e-09,7.34051397444091e-09
1859,3.055304009791371e-09,1.018434669930457e-09
1860,1.8308735638683515e-09,8.238931314963338e-09
1861,2.0278644541349422e-08,4.715963730639317e-10
1862,1.581295272501393e-08,9.035972525772706e-10
1863,0.0,3.995696662428827e-09
1864,2.3973640850272204e-09,4.794727948009836e-10
1865,4.706844247692743e-09,4.706844358715045e-10
1866,1.9462451650298362e-09,4.865612912574591e-10
1867,4.85281148598915e-09,1.94112459439566e-09
1868,1.4819622196071691e-09,0.0
1869,5.371870948067681e-09,4.883519144627257e-10
1870,8.027668307875047e-09,1.7202146374017957e-09
1871,1.0621177271019633e-09,0.0
1872,4.8378714367913744e-09,6.047339295989218e-10
1873,2.9930022904522957e-09,1.7958012854535355e-09
1874,5.377148060148329e-09,0.0
1875,1.7736734747586524e-08,1.1443054281912168e-09
1876,8.464420275799966e-09,0.0
1877,6.184816214727107e-09,1.2369631985365004e-09
1878,2.4156354694326865e-09,4.831270938865373e-09
1879,6.720257683667796e-09,6.10932526790009e-10
1880,6.417846254436199e-10,6.417846254436199e-10
1881,1.3945015142624584e-09,0.0
1882,1.1979693681496428e-08,0.0
1883,8.847074184359371e-09,0.0
1884,3.9610181801208455e-09,1.3203393933736152e-09
1885,2.5782542767416317e-09,2.5782542767416317e-09
1886,5.808117542471791e-09,0.0
1887,1.9586774424595887e-09,6.528924623161458e-10
1888,1.014498351992188e-08,0.0
1889,5.6386229019267375e-09,6.891650361495749e-09
1890,5.243509182406569e-09,0.0
1891,8.286486163910922e-09,1.2748440081367107e-09
1892,1.1283322720601063e-08,0.0
1893,3.695050043717174e-09,0.0
1894,6.301539290376468e-09,1.8904617871129403e-09
1895,4.213029924926559e-09,1.2037228991346183e-09
1896,1.2973464080801023e-08,5.307326134129653e-09
1897,4.661370844871726e-09,5.826713556089658e-10
1898,6.7900258748920805e-09,1.13167097914868e-09
1899,1.3818945987509323e-08,1.1055156790007459e-09
1900,2.595526460424935e-09,5.19105292084987e-09
1901,6.147612641171918e-09,0.0
1902,6.874397495693074e-09,0.0
1903,1.5120615870500842e-08,0.0
1904,3.7622376325430196e-09,0.0
1905,7.741138396966107e-09,1.0321518084666081e-09
1906,1.388929860013377e-08,0.0
1907,1.491424583832668e-08,1.028568674676933e-09
1908,1.7680999775393502e-08,4.911389073214423e-10
1909,1.7603147384193107e-08,1.1001967115120692e-09
1910,1.0153886620400954e-08,5.344150677544235e-10
1911,3.7242617878519013e-09,5.320374141248863e-10
1912,5.2094213387476884e-09,0.0
1913,4.772690687104841e-09,1.590896969716482e-09
1914,1.339348720819089e-08,0.0
1915,0.0,1.1780761921542648e-09
1916,0.0,0.0
1917,8.773139548168274e-09,2.1932848870420685e-09
1918,5.743188147278033e-09,0.0
1919,5.524709134618888e-09,0.0
1920,1.514446346106979e-09,0.0
1921,1.5145494858259667e-09,0.0
1922,5.164555005876537e-09,7.377935484775833e-10
1923,7.431163684401554e-09,0.0
1924,3.867487219366694e-09,1.289162443462999e-09
1925,1.0998177923937646e-09,2.1996355847875293e-09
1926,8.916910765321973e-09,0.0
1927,5.574612327308159e-09,0.0
1928,4.570416489713125e-09,0.0
1929,4.4561625500705304e-09,0.0
1930,5.2518016602221e-09,0.0
1931,7.983749661377715e-09,0.0
1932,1.0959536389520963e-08,0.0
1933,3.4411986593596566e-09,0.0
1934,5.990790086229936e-09,0.0
1935,1.0771455727365264e-08,0.0
1936,8.487299751891442e-09,0.0
1937,6.295559185076627e-09,2.5182236296217297e-09
1938,3.8895642262559704e-09,0.0
1939,9.176430282309411e-09,0.0
1940,0.0,0.0
1941,2.9515025978810172e-09,0.0
1942,0.0,0.0
