year,ces_DET ondes_NOUN,ces_DET rondes_NOUN
1800,1.697848883708275e-07,1.8864987794131594e-08
1801,2.3097471668620528e-07,2.3811825844433088e-09
1802,1.9021641151084623e-07,0.0
1803,1.7162985521679275e-07,1.950339223455444e-09
1804,1.2606439336870778e-07,0.0
1805,1.6488691212401818e-07,5.685755422035754e-09
1806,2.8240357874409483e-07,0.0
1807,1.7935817631098416e-07,0.0
1808,1.8581807381679027e-07,1.1330369531492579e-08
1809,1.6942729530455836e-07,0.0
1810,1.5210823800515527e-07,2.3401267590372754e-09
1811,1.4290336913802548e-07,4.512738271955641e-08
1812,1.440292436427626e-07,5.3344164641089264e-09
1813,2.01301915581098e-07,1.7254450312975678e-08
1814,2.5173416240420465e-07,0.0
1815,9.170560089089008e-08,2.1577788444915313e-08
1816,2.618892338546175e-07,0.0
1817,3.191590387530141e-07,1.2454987263765815e-08
1818,1.4663048020224778e-07,5.960588467246453e-09
1819,1.956348409937192e-07,9.315945348475907e-09
1820,1.3053128888884657e-07,7.119888678630559e-09
1821,2.0314665860610148e-07,4.930744257336528e-09
1822,1.5840473110984021e-07,1.2030739071633434e-08
1823,2.1741910671835285e-07,1.9765373782121287e-09
1824,1.3557991973556227e-07,1.0105335235266466e-08
1825,1.7434777532798762e-07,2.3774695545597524e-08
1826,1.7351728587300386e-07,2.290075862276808e-08
1827,1.5853709811608496e-07,2.3043182806326e-08
1828,1.2932945026022935e-07,2.0179061976932644e-08
1829,1.2516836633835737e-07,9.430493719264632e-09
1830,2.8701298049327306e-07,1.1480519646056564e-08
1831,3.7262982388597266e-07,7.795603274018958e-09
1832,1.3259369779916597e-07,2.3000948701223933e-08
1833,2.2356402595846703e-07,9.266902800675325e-09
1834,1.4468522424593289e-07,1.4001796611040618e-08
1835,1.4445497242832062e-07,3.6302822081779595e-08
1836,2.1708022757138679e-07,1.9490174363312462e-08
1837,2.456135543837945e-07,1.7394727880315486e-08
1838,2.4806796616871907e-07,3.787297164770109e-08
1839,2.293203893444229e-07,1.4682098203877558e-08
1840,2.305827315751685e-07,1.592422138596561e-08
1841,1.8041740901253434e-07,4.36597287212237e-08
1842,1.891730683212245e-07,3.085801836277824e-08
1843,1.523983019779962e-07,1.4767278067040479e-08
1844,1.2733461929315126e-07,3.402907822191992e-08
1845,1.601525463357234e-07,1.5624638693978454e-08
1846,1.580715398574739e-07,3.746880694599497e-08
1847,2.195042005936898e-07,1.240441438454809e-08
1848,2.0595768290831984e-07,2.172209789819135e-08
1849,1.5669506225890473e-07,3.68694270669323e-08
1850,1.6429370042203573e-07,2.5798184921654865e-08
1851,2.541078849560563e-07,2.1283147910722278e-08
1852,1.1133032851162739e-07,3.645905555238471e-08
1853,1.4153478300471534e-07,4.240071715955196e-08
1854,1.9587654698227652e-07,1.7145692865483397e-08
1855,1.7884378067378748e-07,3.290301009428731e-08
1856,1.8171934801358702e-07,3.365173073532901e-08
1857,1.493741734748255e-07,2.2454942127936306e-08
1858,2.5887545440639315e-07,2.1532175153993194e-08
1859,1.940118021792614e-07,3.564521411369981e-08
1860,1.5928599950143507e-07,1.9224172920218052e-08
1861,1.8958174763383795e-07,1.7920662287451705e-08
1862,1.721352820283073e-07,1.3102160273392727e-08
1863,2.2625631768136145e-07,1.39849385405455e-08
1864,2.9487577890563443e-07,2.301469448351412e-08
1865,1.4920695967646225e-07,1.5061902058910448e-08
1866,4.383917158179429e-07,1.4110277390955162e-08
1867,2.795219344875477e-07,1.552899675516528e-08
1868,4.411307550356014e-07,2.321740799615668e-08
1869,3.6382216173080906e-07,2.3440892338300046e-08
1870,3.6697911554028906e-07,1.6628741494884025e-08
1871,2.464113091349418e-07,4.354682658913589e-08
1872,3.4348887112400917e-07,3.0236696257901485e-08
1873,1.6281932690986878e-07,2.993002307105641e-08
1874,2.96340605387968e-07,1.0754296564385868e-08
1875,2.1455727505781397e-07,2.345826111138649e-08
1876,1.971000784806165e-07,1.6928841439778353e-08
1877,2.987266150000778e-07,5.999271524004257e-08
1878,2.693433565070791e-07,8.4547240319921e-08
1879,2.7003217084597964e-07,2.3826368211743443e-08
1880,3.1447448023413926e-07,1.7969970400599777e-08
1881,2.719277905072204e-07,2.8587281430958456e-08
1882,1.863507890220717e-07,7.986462158271479e-09
1883,3.608342424854527e-07,2.274961952153376e-08
1884,2.3766108370182337e-07,1.9805090900604227e-08
1885,2.7200583119224575e-07,3.738468579150833e-08
1886,2.342607405836361e-07,2.9685934488377086e-08
1887,1.423305615588788e-07,2.415702127223085e-08
1888,2.225555739698848e-07,2.980088953385973e-08
1889,2.161472139050602e-07,2.7566600890871484e-08
1890,2.477558140867586e-07,1.9007720952757268e-08
1891,2.9895091913090255e-07,2.6134301389646453e-08
1892,2.4572568690928165e-07,2.7581454453695642e-08
1893,2.9252478128682924e-07,1.7859408230069818e-08
1894,2.3441725538475566e-07,1.8274464386180966e-08
1895,3.2079214307145776e-07,1.9861426947542782e-08
1896,3.101837151575637e-07,3.59718763665029e-08
1897,3.437761080249402e-07,2.388952613507911e-08
1898,3.4742299348522465e-07,1.1882545392083443e-08
1899,5.041151425189128e-07,2.04520400615138e-08
1900,3.41571311679445e-07,3.0108107340609536e-08
1901,3.744455128185109e-07,1.2854099673553776e-08
1902,4.654949172788747e-07,2.356936246172836e-08
1903,3.321135526590524e-07,2.754112271574627e-08
1904,4.337322536684951e-07,2.0961039126632386e-08
1905,2.683594644281584e-07,2.2191263771009773e-08
1906,3.379729278663035e-07,1.6975808314612095e-08
1907,4.433130911252192e-07,2.3657079573080608e-08
1908,4.3367566604501917e-07,1.964555629285769e-08
1909,4.367780910286001e-07,2.4754425786976952e-08
1910,3.3775033259075826e-07,2.24454334007973e-08
1911,4.144571406072828e-07,2.8730020806833068e-08
1912,4.349866600250607e-07,5.886646076147528e-08
1913,4.295421689448631e-07,2.0681659274046638e-08
1914,4.2256452559286117e-07,2.0759905794420774e-08
1915,2.674232995047987e-07,2.3561523843085297e-09
1916,3.5050003432957055e-07,2.5271162051865304e-08
1917,3.1363974528630933e-07,6.579854705535126e-08
1918,4.1121228377960506e-07,1.72295644418341e-08
1919,4.861743931883211e-07,3.31482534754457e-08
1920,6.156224472420035e-07,3.710393370326415e-08
1921,4.6799577546607907e-07,2.1960967377943064e-08
1922,4.5152963679129243e-07,3.5414089771812485e-08
1923,5.615836329297963e-07,1.3800732556745743e-08
1924,6.484486902991193e-07,1.5469949321555987e-08
1925,5.235132647385399e-07,3.519416935660047e-08
1926,6.754559791488646e-07,2.0063049555041346e-08
