year,cents_ADJ ans_NOUN,cents_ADJ rangs_NOUN
1800,4.904896400148573e-07,0.0
1801,3.881327472754492e-07,1.4287095950749062e-08
1802,7.026818025224202e-07,0.0
1803,4.797834662895184e-07,4.095712213825209e-08
1804,4.053835596096178e-07,2.4718509461507665e-09
1805,7.192480779849575e-07,0.0
1806,5.763338322140044e-07,1.152667650217154e-08
1807,5.209927849136875e-07,2.8469551160981155e-09
1808,5.551881372412026e-07,0.0
1809,4.969867291038099e-07,0.0
1810,4.820661274607119e-07,0.0
1811,4.888799480795569e-07,0.0
1812,6.214594918674266e-07,1.600324850414836e-08
1813,4.457399427337805e-07,0.0
1814,5.2234838676668e-07,0.0
1815,8.253504120148136e-07,2.697223555614414e-09
1816,5.330488761501329e-07,3.244645441213834e-08
1817,9.123278346123698e-07,1.8682481339737933e-08
1818,7.093100293786847e-07,1.1921177378582115e-09
1819,9.999114354286576e-07,9.315945348475907e-09
1820,5.577246042776096e-07,0.0
1821,8.323096380991046e-07,1.97229765852569e-09
1822,5.875010629097233e-07,3.408709403629473e-08
1823,6.957411642360967e-07,0.0
1824,5.103194098410313e-07,6.315834610859383e-08
1825,7.044354219942761e-07,0.0
1826,6.45625277684303e-07,0.0
1827,7.152603984650341e-07,0.0
1828,6.429783070416306e-07,6.420610709767516e-09
1829,7.510102477681357e-07,0.0
1830,8.203352876989811e-07,3.1310507520032616e-09
1831,7.99828853814688e-07,0.0
1832,7.306183533728472e-07,1.2176972319366541e-08
1833,6.660586109319411e-07,0.0
1834,7.084909157129005e-07,2.8003592777992026e-09
1835,7.290816483873641e-07,7.563087933704082e-10
1836,6.277180659708392e-07,3.629205025390547e-08
1837,7.19445949926012e-07,2.7135774516295896e-08
1838,6.173294195832568e-07,2.9035945203759184e-08
1839,5.579196908911399e-07,2.0974426639952526e-09
1840,6.337839977277326e-07,6.369688665408546e-10
1841,7.248799533954298e-07,0.0
1842,6.486892516477383e-07,3.3541325272778977e-09
1843,1.1382617230992764e-06,0.0
1844,7.837665521037707e-07,8.232841963717874e-09
1845,8.816759873297997e-07,0.0
1846,7.757214461889816e-07,2.9272506640865004e-09
1847,6.3370379166372e-07,2.1572894581822766e-09
1848,7.763638905089465e-07,7.24069959545659e-09
1849,6.737049602634215e-07,0.0
1850,7.990648214217799e-07,6.788996032014438e-10
1851,7.919910558484844e-07,2.579775504329973e-09
1852,9.017105639941292e-07,6.510545436100301e-10
1853,9.119140145230631e-07,4.777545470346922e-09
1854,7.050516614981461e-07,1.6626126253527218e-08
1855,8.724604754206666e-07,6.8990182455763716e-09
1856,8.029820719457348e-07,4.659470143053568e-09
1857,6.995202284088009e-07,5.857811125054013e-09
1858,7.736902034594095e-07,0.0
1859,8.157661568475305e-07,1.2730433596175317e-08
1860,8.783616181062825e-07,4.577183909670879e-10
1861,7.932251264719525e-07,9.431927461278633e-10
1862,7.386907441286894e-07,1.355395884417021e-08
1863,1.0278929494234035e-06,0.0
1864,1.0150439493372687e-06,0.0
1865,8.39230324345408e-07,1.4120533631256649e-09
1866,8.84568407855113e-07,1.9462451650298362e-09
1867,8.235221002905746e-07,0.0
1868,7.10847871232545e-07,0.0
1869,7.530386483267648e-07,0.0
1870,6.961135454730538e-07,0.0
