year,certains_DET ans_NOUN,certains_DET rangs_NOUN
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,0.0,1.1189200677108602e-08
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,3.458002950651462e-08
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,1.4040760554223652e-08
1811,0.0,0.0
1812,0.0,4.267533171287141e-08
1813,0.0,1.4378708002027452e-08
1814,0.0,9.440030979135372e-09
1815,0.0,2.697223555614414e-09
1816,0.0,1.3905623319487859e-08
1817,0.0,9.341240669868967e-09
1818,0.0,0.0
1819,0.0,7.24573512300708e-09
1820,0.0,0.0
1821,0.0,1.577838126820552e-08
1822,0.0,2.606660132187244e-08
1823,0.0,1.680056804787e-08
1824,0.0,1.7684335773537896e-08
1825,1.7610886082763955e-09,7.044354433105582e-09
1826,0.0,2.290075862276808e-08
1827,1.566936447261469e-08,0.0
1828,0.0,6.420610709767516e-09
1829,0.0,4.286587973467704e-09
1830,0.0,1.982998831806526e-08
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,0.0,9.470978667991403e-09
1833,0.0,6.950177322551099e-09
1834,3.733812370398937e-09,1.9602515166639023e-08
1835,6.050470346963266e-09,1.3613558280667348e-08
1836,6.720750067579218e-10,4.032449929525228e-09
1837,6.957890930081589e-10,3.339787468803479e-08
1838,0.0,8.837027110075724e-09
1839,0.0,5.5931801412612e-09
1840,3.1848443882154243e-09,3.121147429396842e-08
1841,0.0,3.852329122366882e-09
1842,0.0,6.708265054555795e-10
1843,0.0,3.5441467538532834e-09
1844,0.0,1.2074834465636286e-08
1845,0.0,2.2320911341466854e-08
1846,5.854501328173001e-10,1.2294452567118697e-08
1847,0.0,5.3932236454556914e-09
1848,0.0,1.126331028444838e-08
1849,8.379414939696517e-10,1.508294644736452e-08
1850,0.0,6.1100964288129944e-09
1851,0.0,2.7087642351375507e-08
1852,0.0,2.3437962681782665e-08
1853,0.0,2.030456869306363e-08
1854,2.5978321716024766e-09,1.8184826089395756e-08
1855,5.306937111981824e-10,1.2205955357558196e-08
1856,4.141751386299575e-09,1.65670055451983e-08
1857,4.393358121745905e-09,9.763017949637742e-09
1858,0.0,1.2723557318849998e-08
1859,1.5276520048956854e-09,2.5460866748261424e-09
1860,9.154367819341758e-10,5.492620580582752e-09
1861,6.13075279431996e-09,9.431927239234028e-09
1862,4.517986262886353e-10,4.517986429419807e-09
1863,9.989241656072068e-10,3.995696662428827e-09
1864,4.794727948009836e-10,9.589456340108882e-09
1865,5.6482134525026595e-09,1.2237795277147967e-08
1866,1.4596839292835284e-09,1.0704348518686402e-08
1867,0.0,7.279217228983725e-09
1868,0.0,1.3831646938911035e-08
1869,0.0,1.4162205630441349e-08
1870,2.2936195165357276e-09,1.4335121534259088e-08
1871,0.0,1.3807530230280918e-08
1872,6.047339295989218e-10,6.652073114565837e-09
1873,0.0,2.3944018323618366e-08
1874,0.0,1.0156835372754358e-08
1875,0.0,6.293679799540541e-09
1876,3.627608879952504e-09,1.0882827083946722e-08
1877,0.0,1.2988113695655557e-08
