year,vraies_ADJ règles_NOUN
1800,1.2576657937302116e-08
1801,1.4287095950749062e-08
1802,2.2378401354217203e-08
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,5.685755422035754e-09
1806,8.645007376628655e-09
1807,4.839823830593559e-08
1808,3.3991110370834576e-08
1809,2.259030518203531e-09
1810,1.6380887757350138e-08
1811,2.757784400841956e-08
1812,2.6672082320544632e-09
1813,2.5881675469463516e-08
1814,1.5733386149463513e-08
1815,2.697223555614414e-09
1816,6.952811304472561e-08
1817,2.9580593974287694e-08
1818,2.98029441125891e-08
1819,4.140419918030602e-08
1820,8.306536791735653e-09
1821,2.859831660373402e-08
1822,2.105379337535851e-08
1823,2.2730180404550993e-08
1824,2.189489300974401e-08
1825,7.044354433105582e-09
1826,1.6735169694470642e-08
1827,1.3825909306319772e-08
1828,4.035812395386529e-08
1829,6.858540757548326e-08
1830,3.339787468803479e-08
1831,3.274153215215847e-08
1832,4.8707889277466165e-08
1833,1.853380560135065e-08
1834,1.0267983796552471e-08
1835,3.327758690829796e-08
1836,1.6129799718100912e-08
1837,1.3915782304252389e-08
1838,1.0730675015224733e-08
1839,2.1673573158409454e-08
1840,4.458782232319436e-09
1841,1.2841097074556274e-08
1842,7.379091560011375e-09
1843,2.3627643841450663e-08
1844,2.140538946093784e-08
1845,1.674068350610014e-08
1846,1.2879903366069811e-08
1847,2.9123407685460734e-08
1848,1.126331028444838e-08
1849,2.262441967104678e-08
1850,1.1541293254424545e-08
1851,9.674158363282004e-09
1852,3.059956199535918e-08
1853,2.329053394589664e-08
1854,1.6626126253527218e-08
1855,1.1144567935161831e-08
1856,2.5885945831305435e-08
1857,1.7085282522089074e-08
1858,1.1255455234504552e-08
1859,7.129042689513199e-09
1860,2.6089947979812678e-08
1861,1.744906619194353e-08
1862,1.7620147119146168e-08
1863,1.5982786649715308e-08
1864,1.2945765348604255e-08
1865,4.142022902442477e-08
1866,1.9949013108089275e-08
1867,7.279217228983725e-09
1868,2.1241458370013788e-08
1869,1.70923168951731e-08
1870,1.77755516972411e-08
1871,6.37270636261178e-09
1872,1.0280476914203973e-08
1873,1.0774807712721213e-08
1874,1.6728906260254917e-08
1875,1.4303817685856757e-08
1876,2.1765654167893445e-08
