year,pouvons_VERB aller_VERB
1800,6.917161954334006e-08
1801,6.667310969987739e-08
1802,1.5664880947952042e-08
1803,7.996391104825307e-08
1804,2.2246657849223084e-08
1805,6.538618890772341e-08
1806,3.7461699520235925e-08
1807,3.701041606518629e-08
1808,4.758755522971114e-08
1809,5.421673421324158e-08
1810,9.360506680877734e-08
1811,4.512738271955641e-08
1812,7.468182872116813e-08
1813,6.614205716459765e-08
1814,2.8320094713762956e-08
1815,7.012781111370714e-08
1816,1.0197457100957763e-07
1817,6.538868291272593e-08
1818,6.795070817133819e-08
1819,5.3825459644940565e-08
1820,5.93324074316115e-08
1821,8.08642042215979e-08
1822,7.819980396561732e-08
1823,1.1167436042569534e-07
1824,5.3895121254754486e-08
1825,7.484626252107773e-08
1826,4.7563116112314674e-08
1827,5.438191053031005e-08
1828,3.485474309172787e-08
1829,9.173298565201549e-08
1830,6.470838087579978e-08
1831,6.860130952190957e-08
1832,3.6530916958099624e-08
1833,8.456049016558609e-08
1834,4.760610750054184e-08
1835,9.680752555141225e-08
1836,1.0148332307835517e-07
1837,8.488626690450474e-08
1838,1.1109405306797271e-07
1839,1.4192694663961447e-07
1840,1.0127804728199408e-07
1841,1.1878015016009158e-07
1842,9.458653948968276e-08
1843,1.447193227477328e-07
1844,1.306277539470102e-07
1845,9.318980431771706e-08
1846,1.042101231973902e-07
1847,9.006683399093163e-08
1848,1.0136979256003542e-07
1849,8.714591359648693e-08
1850,1.330643186747693e-07
1851,1.012561909874421e-07
1852,7.161600024119252e-08
1853,1.0212003331844244e-07
1854,1.1274591571464043e-07
1855,9.021793090369101e-08
1856,9.888431407034659e-08
1857,1.0104723457970977e-07
1858,1.2576747110415454e-07
1859,1.2323059195296082e-07
1860,1.2816114747238316e-07
1861,9.997842909115207e-08
1862,9.532951139590295e-08
1863,9.339940731933893e-08
1864,1.2034767848945194e-07
1865,1.3555711575463647e-07
1866,1.1677470723725492e-07
1867,1.392756843188181e-07
1868,1.264607760731451e-07
1869,1.1915786757299429e-07
1870,1.4908526679846545e-07
1871,1.072738911034321e-07
1872,1.3848406865690777e-07
1873,1.8556613667897182e-07
1874,1.314413964337291e-07
1875,1.3731664694205392e-07
1876,1.0701446484517874e-07
1877,1.7874118896088476e-07
1878,1.1172313918450527e-07
1879,1.0080386658728457e-07
1880,1.0589446475250952e-07
1881,1.3875289539555524e-07
1882,1.3710094037833187e-07
1883,1.5040026823953667e-07
1884,1.3467462167682243e-07
1885,1.1537687782947614e-07
1886,1.251972037152882e-07
1887,1.2470246701923315e-07
1888,1.2934853543811187e-07
1889,1.3595347070349817e-07
1890,1.3305404422681022e-07
1891,9.880041318410804e-08
1892,9.716194426800939e-08
1893,1.5088120619566325e-07
1894,1.4493539879367745e-07
1895,1.3602068804630107e-07
1896,1.427081031124544e-07
1897,1.532425670802695e-07
1898,1.2504963819992554e-07
1899,1.210539721796522e-07
1900,1.2769990576089185e-07
1901,1.1456914705831878e-07
1902,1.1440961600328592e-07
1903,1.1610473649170672e-07
1904,8.760638792182363e-08
1905,9.908657716550806e-08
1906,1.1831624391334117e-07
1907,1.3474249271894223e-07
1908,1.345720619383428e-07
1909,1.2652262171286566e-07
1910,1.1757131801459764e-07
1911,1.133239706518907e-07
1912,1.0002088401961373e-07
1913,1.2302936625019356e-07
1914,1.3259553099942423e-07
1915,1.1191723814363286e-07
1916,1.527257182942776e-07
1917,1.4914337498339592e-07
1918,1.0682330042754984e-07
1919,1.2062281484759296e-07
1920,1.5447352552655502e-07
1921,1.166203134062016e-07
1922,1.1804696953277016e-07
1923,1.2845296737395984e-07
1924,1.1086797258030856e-07
1925,8.248633776020142e-08
1926,1.0700293273657735e-07
1927,1.226414667598874e-07
1928,1.3711249380321533e-07
1929,1.169742702700205e-07
1930,1.5335261593918403e-07
1931,1.243183902488454e-07
1932,1.1397918342481717e-07
1933,1.1011835709950901e-07
1934,1.1382500986201194e-07
1935,1.1010821765466972e-07
1936,9.214782892286166e-08
1937,1.0072894696122603e-07
1938,1.361347585771e-07
1939,1.0247013904063351e-07
1940,8.114505334333444e-08
1941,1.0920559390115159e-07
1942,8.192371581117186e-08
