year,veuillez_VERB ouvrir_VERB
1800,3.144164484325529e-09
1801,0.0
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,1.7684335773537896e-08
1825,0.0
1826,7.0463874735082754e-09
1827,9.217273055917019e-10
1828,0.0
1829,2.571952872898464e-09
1830,4.174734336004349e-09
1831,3.1182412207897414e-09
1832,4.058990810129615e-09
1833,2.3167257001688313e-09
1834,1.8669061851994684e-09
1835,9.832014313815307e-09
1836,0.0
1837,4.174734336004349e-09
1838,1.2624323808552163e-09
1839,1.3982950353153e-09
1840,1.2739377330817092e-09
1841,1.2841097074556274e-09
1842,3.3541325272778977e-09
1843,2.9534555912036353e-09
1844,5.488561272137815e-10
1845,5.022205096238963e-09
1846,1.1709002656346001e-09
1847,5.393223645455691e-10
1848,0.0
1849,2.513824481908955e-09
1850,6.1100964288129944e-09
1851,6.449438760824933e-10
1852,3.906327261660181e-09
1853,1.1943863675867306e-09
1854,7.793496736852035e-09
1855,1.5920811335945473e-09
1856,1.0354378465748937e-09
1857,4.881509085841174e-10
1858,9.787352039936081e-09
1859,4.073738679721828e-09
1860,4.577183909670879e-10
1861,3.3011745559363703e-09
1862,3.6143890103090826e-09
1863,4.9946209945694875e-09
1864,1.006892891286526e-08
1865,4.23615986733239e-09
1866,4.865612912574591e-10
1867,4.85281148598915e-10
1868,6.915823469455518e-09
1869,5.860222973552709e-09
1870,2.2936195165357276e-09
1871,0.0
1872,6.652073447632745e-09
1873,1.7958013409646867e-09
1874,4.182226565063729e-09
1875,2.860763570478042e-09
1876,7.255217537860403e-09
1877,1.4843558382438005e-08
1878,7.850815109122777e-09
1879,6.10932526790009e-10
1880,8.343200130767059e-09
1881,4.880755410940907e-09
1882,6.655385131892899e-09
1883,1.895801682305631e-09
1884,5.281357573494461e-09
1885,3.8673814151124475e-09
1886,7.098810206329631e-09
1887,5.223139698529167e-09
1888,1.268122939990235e-09
1889,5.012109394186837e-09
1890,3.2771931834929546e-09
1891,1.9122659011827636e-09
1892,6.268512375839919e-10
1893,6.158416554491453e-10
1894,6.301539290376468e-10
1895,0.0
1896,5.89702897624278e-10
1897,6.409384800676321e-09
1898,6.7900258748920805e-09
1899,7.185851913504848e-09
1900,2.07642125715779e-09
1901,0.0
1902,1.9641135384773634e-09
1903,1.0800440541913758e-09
1904,3.7622376325430196e-09
1905,1.0321518084666081e-09
1906,5.144184522798412e-10
1907,2.5714217422034835e-09
1908,4.911389073214423e-09
1909,1.6502950117569526e-09
1910,1.4429207162436342e-08
1911,2.128149656499545e-09
1912,6.251305417759312e-09
1913,5.30298971401777e-10
1914,0.0
1915,0.0
1916,2.197492410260793e-09
1917,3.2899273305631027e-09
1918,2.2972752589112133e-09
1919,1.8415696745321952e-09
1920,1.514446346106979e-09
1921,6.058197943303867e-09
1922,7.377935595798135e-09
1923,4.246379248229459e-09
1924,2.578324886925998e-09
1925,6.598906754362588e-09
1926,1.1146138456652466e-09
1927,3.344767462998277e-09
1928,7.998228968020271e-09
1929,1.1140406375176326e-09
1930,6.3021621254932825e-09
1931,0.0
1932,3.287861094491973e-09
1933,2.2941324395731044e-09
1934,5.990790086229936e-09
1935,5.98414207075848e-09
