year,voulais_VERB établir_VERB,voulais_VERB rétablir_VERB
1800,6.288328968651058e-09,0.0
1801,2.6193008650921e-08,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,0.0
1809,2.0331274441787173e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,2.6972236000233352e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,3.113746815941454e-09,3.113746815941454e-09
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,2.173720581311045e-08,0.0
1820,1.1866481131050932e-08,1.1866481131050932e-09
1821,1.1833785507064931e-08,2.1695274909916407e-08
1822,1.303330066093622e-08,3.208197085768916e-08
1823,9.882686669016039e-09,2.9648061783404955e-09
1824,4.463189640091514e-08,1.6842225392110777e-09
1825,5.283265824829186e-09,8.805443041381977e-10
1826,4.403992281964975e-09,1.4973572604048968e-08
1827,3.133872894522938e-08,2.7651818612639545e-09
1828,9.172301140836225e-09,5.503380862137419e-09
1829,1.628903412154159e-08,0.0
1830,1.878630406793036e-08,1.0436835840010872e-09
1831,4.677361609140007e-09,3.1182412207897414e-09
1832,4.464889968858188e-08,4.058990921151917e-09
1833,4.40177885252524e-08,1.7375443306377747e-08
1834,3.547121707470069e-08,9.334530925997342e-10
1835,2.647080776796429e-08,0.0
1836,2.1506400216253496e-08,2.016224964762614e-09
1837,3.270208637218275e-08,8.349468672008697e-09
1838,1.1361890983607736e-08,3.787297142565649e-09
1839,2.0974425751774106e-08,3.4957374772659477e-09
1840,3.184844388215424e-08,7.64362617644565e-09
1841,3.5955071808757566e-08,2.5682194149112547e-09
1842,5.1653639587811995e-08,5.366612043644636e-09
1843,4.4892523476391943e-08,7.088293507706567e-09
1844,2.360081374774836e-08,5.488561272137815e-10
1845,3.236532108985557e-08,1.1160455670733427e-08
1846,3.1614305839866574e-08,4.0981511517657054e-09
1847,2.1033571329098777e-08,8.629157832729106e-09
1848,4.022610866627474e-08,2.976732105253177e-08
1849,9.133562173246901e-08,0.0
1850,3.8018377779280854e-08,8.146795238417326e-09
1851,4.9660677348128957e-08,1.2898877521649865e-09
1852,3.059956199535918e-08,3.906327261660181e-09
1853,1.6124216628554677e-08,1.7915795513800958e-09
1854,4.1045748133683446e-08,3.117398783558656e-09
1855,2.7065379271107304e-08,1.2205955357558196e-08
1856,4.4523826403519706e-08,5.177189232874468e-10
1857,2.4407546206361985e-08,1.9526036343364694e-09
1858,3.131952652779546e-08,9.787352039936081e-10
1859,2.2405561850291633e-08,9.165912473463322e-09
1860,2.9293977021893625e-08,1.0069804545764782e-08
1861,4.904602235455968e-08,1.5091083938045813e-08
1862,3.027050965442868e-08,0.0
1863,2.2975255475898848e-08,1.3485475847119233e-08
1864,2.1096802527154068e-08,9.589455896019672e-10
1865,2.871175119878444e-08,1.4120533631256649e-09
1866,2.3354942868536455e-08,1.9462451650298362e-09
1867,2.6690463172940326e-08,6.308654931785895e-09
1868,3.309715523869272e-08,9.87974813071446e-10
1869,4.444002499326416e-08,1.2697149998075474e-08
1870,4.12851512976431e-08,1.3188312664169644e-08
1871,4.248470730772169e-08,0.0
1872,3.4469834986339265e-08,2.4189357183956872e-09
1873,1.3767810003173508e-08,2.9930022904522957e-09
1874,2.0911132381229436e-08,3.5847653734322193e-09
1875,3.89063856687244e-08,0.0
1876,1.9951848173604958e-08,1.209202959984168e-09
1877,2.9068635498674666e-08,5.566334504436554e-09
1878,1.872117572077059e-08,0.0
1879,3.1157558311178946e-08,2.443730107160036e-09
1880,2.4387816210946767e-08,6.417846254436199e-10
1881,3.346803723047742e-08,6.9725074602899895e-09
1882,2.9283693692150337e-08,3.3276925659464496e-09
1883,2.7173157945981075e-08,0.0
1884,2.178559910248623e-08,1.3203393933736152e-09
1885,3.287274097374393e-08,0.0
1886,1.4842966855610484e-08,6.453463874400711e-10
1887,4.504957828999068e-08,6.528924623161458e-10
1888,3.043495055976564e-08,6.340614699951175e-10
1889,2.192797943223468e-08,0.0
1890,2.818386235503567e-08,0.0
1891,3.1233678754460925e-08,6.374220040683554e-10
1892,1.3790726782758611e-08,3.761107425503951e-09
1893,2.9560400349737392e-08,6.158416554491453e-10
1894,2.2685540557176864e-08,6.301539290376468e-10
1895,1.2037228991346183e-08,1.1435367319734269e-08
1896,8.255840455717589e-09,3.5382172747233653e-09
1897,2.5637540090883704e-08,5.826713556089658e-10
1898,1.810673566637888e-08,5.6583548957434e-10
1899,1.9899282222013426e-08,6.633094074004475e-09
1900,1.1939421895590385e-08,1.038210628578895e-09
1901,3.520905522691464e-08,2.794369402536745e-09
1902,9.329538919189417e-09,7.365425602756659e-09
1903,1.674068350610014e-08,8.640352433531007e-09
1904,2.7948050984605288e-08,5.374625189347171e-10
1905,3.8705692873008957e-08,3.6125313851442797e-09
1906,1.4918134283448126e-08,2.0576738091193647e-09
1907,1.8514235478050978e-08,2.5714217422034835e-09
1908,2.0136695866312948e-08,4.911389073214423e-10
1909,2.0903737407707013e-08,0.0
1910,1.336037680488289e-08,5.344150677544235e-10
1911,1.755723388896513e-08,2.128149656499545e-09
1912,1.9795800554334164e-08,3.125652625612929e-09
1913,6.893886794756554e-09,2.6514948014977335e-09
1914,1.1384464038144415e-08,0.0
1915,2.3561523843085297e-09,3.534228465440492e-09
1916,1.3184954461564757e-08,0.0
1917,1.315970976634162e-08,0.0
1918,1.9526840588923733e-08,1.1486376294556067e-09
1919,1.3811772170413406e-08,1.8415696745321952e-09
1920,1.2872794385998532e-08,1.514446346106979e-09
1921,1.2116395886607734e-08,0.0
1922,8.115729421831475e-09,3.6889677978990676e-09
1923,1.8047112249064412e-08,0.0
1924,1.675911143195208e-08,3.867487219366694e-09
1925,2.0896537833436923e-08,2.1996355847875293e-09
1926,6.687683296036084e-09,0.0
1927,1.4493992672726108e-08,1.1149224876660924e-09
1928,7.998228745975666e-09,1.1426041224282812e-09
1929,1.0026365515614089e-08,0.0
1930,9.453243521306831e-09,2.100720708497761e-09
1931,7.983749661377715e-09,3.4216069977333063e-09
