year,pas_ADV appelé_VERB,pas_ADV rappelé_VERB
1800,3.018398047061055e-07,1.5091990235305275e-07
1801,2.690736380372982e-07,1.571580554582397e-07
1802,2.663029761151847e-07,1.7455153056289419e-07
1803,3.998195268195559e-07,1.911332390136522e-07
1804,4.3998946352985513e-07,1.8291696335381857e-07
1805,4.3780318037534016e-07,1.2224374756897305e-07
1806,3.8902533106011106e-07,1.2103009794373065e-07
1807,7.829126502656436e-07,2.135216305987342e-07
1808,2.8552531716741214e-07,1.835519896076221e-07
1809,4.789144441019744e-07,2.1460789412230952e-07
1810,6.248138220144028e-07,2.2465216886757844e-07
1811,3.685402987230191e-07,1.2535383575595915e-07
1812,4.827646762350923e-07,2.987273148846725e-07
1813,5.40639405244292e-07,2.041776525629757e-07
1814,5.664018658535497e-07,1.7621391634747852e-07
1815,6.095725098020921e-07,2.1308066777692147e-07
1816,4.936496225127485e-07,1.8309070526356663e-07
1817,4.779601567861391e-07,2.0706416137272754e-07
1818,4.4108355723437853e-07,2.563053271842364e-07
1819,4.906397634840687e-07,2.5049541818589205e-07
1820,4.72285961450325e-07,1.18664814863223e-07
1821,6.449413376685698e-07,2.376618652988327e-07
1822,4.922577545585227e-07,2.406147814326687e-07
1823,6.117383009041077e-07,1.956772024414022e-07
1824,4.968456437381974e-07,1.8273814816893719e-07
1825,6.295891807894805e-07,2.1045008224973571e-07
1826,5.760421686318296e-07,1.523781349987985e-07
1827,8.065113661359646e-07,2.3319701369928225e-07
1828,8.108314091259672e-07,2.8342410018922237e-07
1829,7.304345785996702e-07,2.426208709493949e-07
1830,7.19098011359165e-07,2.1499882052467e-07
1831,7.43700525163149e-07,3.2117884529725416e-07
1832,6.913814445397293e-07,2.489514372427948e-07
1833,8.513966918144433e-07,1.911298710410847e-07
1834,6.758200470358133e-07,2.445647169224685e-07
1835,6.15635372014367e-07,2.246237045255839e-07
1836,4.5835514583814074e-07,2.419469922188e-07
1837,5.823754918310442e-07,1.906462046008528e-07
1838,5.882935170120618e-07,1.3444905277992802e-07
