year,premières_ADJ règles_NOUN
1800,4.27606380526413e-07
1801,4.2385050846860395e-07
1802,3.177732992298843e-07
1803,3.179052896484791e-07
1804,5.388635031522426e-07
1805,3.439882050315646e-07
1806,3.4580028795971884e-07
1807,6.633405478240206e-07
1808,5.347934686206202e-07
1809,2.846378370779945e-07
1810,3.650597761861718e-07
1811,4.888799480795569e-07
1812,4.320877451391425e-07
1813,4.5436718210112303e-07
1814,2.8949429520253034e-07
1815,3.425473948936997e-07
1816,3.383701709935849e-07
1817,3.3472777583032354e-07
1818,3.8982250316621503e-07
1819,4.0472605178365484e-07
1820,3.0496855174533266e-07
1821,2.98803087162014e-07
1822,2.897402850976505e-07
1823,2.223604553819314e-07
1824,2.6105448114321916e-07
1825,3.856784189792961e-07
1826,4.060480875978101e-07
1827,3.659257394872384e-07
1828,3.5863698144567024e-07
1829,3.857929300465912e-07
1830,3.204108538490402e-07
1831,2.447819440476451e-07
1832,2.6789339813149127e-07
1833,3.185497879920618e-07
1834,3.1644060527469264e-07
1835,2.911788783421798e-07
1836,2.406028443147079e-07
1837,2.776198471110547e-07
1838,2.65110799091417e-07
1839,2.733666897292153e-07
1840,3.1721048543431607e-07
1841,2.831461927144119e-07
1842,2.703430936890072e-07
1843,3.1188491123046447e-07
1844,2.832097720784077e-07
1845,2.578065334546409e-07
1846,2.1134749772500072e-07
1847,2.524028728245753e-07
1848,2.3652951597341598e-07
1849,2.8908982585562626e-07
1850,2.0638547937323892e-07
1851,2.044472058315705e-07
1852,2.168011565828465e-07
1853,2.5918184753948026e-07
1854,2.0107221354592753e-07
1855,1.857428060247912e-07
1856,1.8482564945188074e-07
1857,2.0160632818733148e-07
1858,1.972151437712455e-07
1859,2.1132519867350652e-07
1860,2.1146590353793293e-07
1861,1.867521695619878e-07
1862,1.7800865495520846e-07
1863,1.618257175484139e-07
1864,1.8459702877393624e-07
1865,2.2404579680390668e-07
1866,2.1457353227560816e-07
1867,2.1255314663903846e-07
1868,1.4523229330265508e-07
1869,1.8117856559474177e-07
1870,2.0355873830979476e-07
1871,1.4657224767233856e-07
1872,1.5662608254807253e-07
1873,1.6102352295987998e-07
1874,1.7266620488953777e-07
1875,2.208509499723732e-07
1876,1.6868381380596986e-07
1877,2.0100652553534104e-07
1878,1.461459493423689e-07
1879,1.8816721414349757e-07
1880,1.6429686944263722e-07
1881,1.8895496012305557e-07
1882,2.0099263053907634e-07
1883,1.8705243531869087e-07
1884,1.6570259209203186e-07
1885,1.5856264395930353e-07
1886,1.7682490494053127e-07
1887,1.5342973380683134e-07
1888,1.5978349132694802e-07
1889,1.666526365795562e-07
1890,1.6058246998795767e-07
1891,1.8740206275680293e-07
1892,2.0121925103921967e-07
1893,1.699722975700979e-07
1894,1.7266217788858285e-07
1895,1.4023371441851396e-07
1896,1.7219325343376113e-07
1897,2.155884000210051e-07
1898,1.8389652822747848e-07
1899,1.7190768630825914e-07
1900,1.4223486122233453e-07
1901,1.7995739831633273e-07
1902,1.1440961245057224e-07
1903,1.5174619272251277e-07
