year,sans_ADP approcher_VERB,sans_ADP rapprocher_VERB
1800,8.803660733747165e-08,6.288328968651058e-09
1801,5.476719877606229e-08,2.3811825400343878e-08
1802,6.937304419807333e-08,6.713520406265161e-09
1803,8.971560561121805e-08,3.7056443913385806e-08
1804,4.69651695311768e-08,0.0
1805,3.980028751016107e-08,2.842877711017877e-09
1806,2.5935023018064385e-08,0.0
1807,4.555128185756985e-08,7.117387923472052e-08
1808,4.078933102391602e-08,4.5321479902327155e-09
1809,1.0165637265302507e-07,9.036122072814123e-09
1810,4.212228077449254e-08,5.616304310507303e-08
1811,6.267691787797958e-08,0.0
1812,1.893717893608482e-07,4.000812303672774e-08
1813,1.8692320691293673e-07,3.738464116054274e-08
1814,1.3845379776000755e-07,6.293354282149721e-09
1815,3.236668177919455e-08,1.0788894222457657e-08
1816,1.0660978055909709e-07,2.3176038865813098e-09
1817,4.3592454090912724e-08,4.514933005239641e-08
1818,1.1086694939876907e-07,1.192117715653751e-08
1819,9.626476327184719e-08,1.1386154796788617e-08
1820,1.4239777712532486e-07,2.0173018810965004e-08
1821,5.0293590514449704e-08,2.4653719843392707e-08
1822,6.115625694746996e-08,2.90742860897808e-08
1823,6.028439258898288e-08,1.680056804787e-08
1824,1.0863235644364977e-07,2.105278262831689e-08
1825,7.220463360546603e-08,1.2327620479979373e-08
1826,8.984144073131972e-08,1.145037931138404e-08
1827,7.465991291866203e-08,1.566936447261469e-08
1828,8.988855171310206e-08,1.3758451544720884e-08
1829,1.1745251526917855e-07,1.457439946506156e-08
1830,1.1689256074198795e-07,1.7742620928018482e-08
1831,6.392394169552063e-08,1.5591206103948707e-09
1832,3.92369123858316e-08,1.2176972319366541e-08
1833,6.023486831541192e-08,3.70676112027013e-08
1834,7.560970405329215e-08,1.3068342852307069e-08
1835,7.184933537018878e-08,6.050470346963266e-09
1836,7.258410261723469e-08,6.720749901045764e-09
1837,8.140732177253085e-08,1.7394727436226276e-08
1838,8.900148018575749e-08,1.2624323808552163e-08
1839,6.64190116239638e-08,1.5381244722334486e-08
1840,1.0764773872296018e-07,1.2102408852854296e-08
1841,7.576247362806043e-08,3.0818632978935057e-08
1842,3.152884531232303e-08,2.683306021822318e-09
1843,3.603215903424939e-08,6.497602011990011e-09
1844,6.531388052621878e-08,1.756339607084101e-08
1845,7.365901044664724e-08,3.348136878855712e-09
1846,5.561776461604495e-08,1.3465353276842507e-08
1847,9.330276551366978e-08,8.089835468183537e-09
1848,7.803865287314693e-08,8.84974404868899e-09
1849,5.111443202032717e-08,1.1731181359664333e-08
1850,3.2587180953669304e-08,3.394498016007219e-09
1851,3.805169002113473e-08,5.159551008659946e-09
