year,aviez_VERB établi_VERB,aviez_VERB rétabli_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,4.475680270843441e-09,0.0
1803,7.801356893821776e-09,0.0
1804,4.943701892301533e-09,0.0
1805,5.685755422035754e-09,0.0
1806,2.0171682990621775e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,2.259030518203531e-09,0.0
1810,5.148278958699848e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.9339290108509886e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,0.0,0.0
1819,8.280840013696888e-09,0.0
1820,2.610625848831205e-08,0.0
1821,3.254291058851777e-08,0.0
1822,4.912551787583652e-08,0.0
1823,1.8777104315859106e-08,0.0
1824,2.6105450245950124e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,1.6735169694470642e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,5.503380862137419e-09,0.0
1829,3.429270423183084e-09,1.714635211591542e-09
1830,1.0436835395921662e-08,0.0
1831,9.354723218280014e-09,0.0
1832,8.117981842303834e-09,0.0
1833,2.0850531967653296e-08,3.4750886612755494e-09
1834,1.3068342852307069e-08,0.0
1835,2.117664621437143e-08,0.0
1836,1.008112526790228e-08,0.0
1837,8.349468672008697e-09,0.0
1838,1.64116205070286e-08,0.0
1839,1.4682098203877558e-08,0.0
1840,1.1465439264668476e-08,0.0
1841,9.630822361827995e-09,0.0
1842,1.7441490030023488e-08,0.0
1843,1.0041748765843295e-08,0.0
1844,6.586273748609983e-09,5.488561272137815e-10
1845,4.464182357111213e-09,0.0
1846,8.196302303531411e-09,0.0
1847,1.1325769655456952e-08,0.0
1848,4.183515400768556e-08,0.0
1849,3.100383594301093e-08,0.0
1850,8.82569484161877e-09,0.0
1851,9.029214709244116e-09,1.9348316282474798e-09
1852,7.161600201754936e-09,0.0
1853,7.166318205520383e-09,0.0
1854,2.0782657372819813e-08,0.0
1855,1.0083180512765466e-08,0.0
1856,4.659470143053568e-09,0.0
1857,8.298565390418844e-09,0.0
1858,8.808616946964776e-09,0.0
1859,2.036869339860914e-09,4.582956236731661e-09
1860,3.661747127736703e-09,2.288591982591015e-09
1861,1.3676294763342867e-08,0.0
1862,5.421583626485926e-09,0.0
1863,4.495158911765884e-09,0.0
1864,1.0068928801842958e-08,0.0
1865,6.589582213223366e-09,0.0
1866,1.3137154475373336e-08,0.0
1867,6.79393608038481e-09,4.85281148598915e-10
1868,8.89177353968762e-09,0.0
1869,7.325278605918584e-09,0.0
1870,1.0321287824410774e-08,0.0
1871,8.496941816815706e-09,0.0
1872,6.047339518033823e-09,1.8142017887967654e-09
1873,1.1972008939764578e-09,0.0
1874,1.3144139998644278e-08,0.0
1875,6.865832347102696e-09,0.0
1876,1.6928840551599933e-08,0.0
