year,autres_ADJ août_NOUN,autres_ADJ routes_NOUN
1800,0.0,1.6664071722516383e-07
1801,0.0,1.4287095950749062e-07
1802,2.2378401354217203e-09,2.2378401354217203e-07
1803,0.0,1.8138155155611457e-07
1804,0.0,2.793191526961891e-07
1805,0.0,2.6723051860244595e-07
1806,0.0,2.362968700708734e-07
1807,0.0,2.562259737715067e-07
1808,2.2660739951163578e-09,1.8581806671136292e-07
1809,0.0,2.6656559271032165e-07
1810,0.0,1.661489932303084e-07
1811,0.0,1.9555199060050654e-07
1812,2.6672082320544632e-09,2.0804223765935603e-07
1813,0.0,1.5241430162404868e-07
1814,0.0,1.950939889638903e-07
1815,0.0,1.6453063267363177e-07
1816,0.0,1.8077309960062848e-07
1817,1.556873407970727e-09,1.6191484064620454e-07
1818,0.0,1.0848271614349869e-07
1819,0.0,2.2668800170322356e-07
1820,0.0,1.981702411057995e-07
1821,0.0,1.962436186886407e-07
1822,0.0,1.7745340130659315e-07
1823,0.0,2.3619621458692563e-07
1824,0.0,2.981073832231118e-07
1825,0.0,1.708256007759701e-07
1826,0.0,2.422195670703786e-07
1827,0.0,1.954061925601991e-07
1828,0.0,1.467568182533796e-07
1829,0.0,2.5462333042014507e-07
1830,0.0,2.5257143509982427e-07
1831,0.0,1.3720261993199756e-07
1832,0.0,1.5424164701016707e-07
1833,0.0,1.471120830709438e-07
1834,0.0,2.314963722938046e-07
1835,0.0,1.8907719834260206e-07
1836,0.0,1.0685992890557827e-07
1837,0.0,1.7533885454668052e-07
1838,0.0,1.7232201798833557e-07
1839,6.9914751765765e-10,1.964604497972644e-07
1840,0.0,2.000082218733823e-07
1841,0.0,1.8812207258633862e-07
1842,6.708265054555795e-10,1.6636497912614345e-07
1843,0.0,1.3999378722928668e-07
1844,0.0,1.5971712596929422e-07
1845,5.022205151750114e-09,2.0200425865368743e-07
1846,0.0,1.2411543082180287e-07
1847,0.0,1.3429126966002514e-07
1848,0.0,1.359642425313723e-07
1849,0.0,1.1982562853063428e-07
1850,0.0,1.1948632749891885e-07
1851,0.0,1.7671462160251394e-07
1852,0.0,1.7122734163876885e-07
1853,0.0,1.242161782322171e-07
1854,0.0,1.2261767778909416e-07
1855,0.0,1.512477041387683e-07
1856,0.0,1.2218166034472233e-07
1857,0.0,1.1373916303236697e-07
1858,0.0,1.0815023898658183e-07
1859,5.092173349652285e-10,1.364702484352165e-07
1860,6.408057279250201e-09,1.2175308938822127e-07
1861,0.0,1.325185792211414e-07
1862,0.0,1.7258707929457273e-07
1863,0.0,1.0788380677695386e-07
1864,4.794727948009836e-10,9.781245324802512e-08
1865,0.0,9.97850975181791e-08
1866,0.0,1.3769684414910444e-07
1867,0.0,1.135557923248598e-07
