year,devais_VERB ajouter_VERB
1800,3.144164484325529e-09
1801,3.5717739876872656e-08
1802,0.0
1803,5.851017448321727e-09
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,0.0
1808,1.8128591960930862e-08
1809,6.7770917766551975e-09
1810,0.0
1811,7.521229861140455e-09
1812,4.5342538612658245e-08
1813,2.8757416004054903e-08
1814,1.5733386149463513e-08
1815,0.0
1816,0.0
1817,7.784366928831332e-09
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,1.779972080839798e-08
1821,2.465372084259343e-08
1822,1.4035862250239006e-08
1823,9.882686891060644e-10
1824,1.51580028528997e-08
1825,1.7610886082763955e-09
1826,6.1655889282974385e-09
1827,6.452091305675367e-09
1828,6.420610709767516e-09
1829,5.143905745796928e-09
1830,6.262101504006523e-09
1831,0.0
1832,1.488296597074168e-08
1833,3.1275796175123105e-08
1834,3.733812370398937e-09
1835,6.806779140333674e-09
1836,6.72075017860152e-09
1837,3.6181031504156635e-08
1838,8.837027110075724e-09
1839,2.0974426639952526e-09
1840,5.095750932326837e-09
1841,1.1556987367100646e-08
1842,1.8112315203211438e-08
1843,3.5441467538532834e-09
1844,1.6465684371524958e-09
1845,5.580227946389016e-10
1846,1.1123552745573306e-08
1847,3.235934187273415e-09
1848,5.63165514222419e-09
1849,1.6758829879393033e-09
1850,1.3577992064028876e-09
1851,1.1608989325395669e-08
1852,7.812654523320361e-09
1853,3.5831591027601917e-09
1854,1.0391328908454511e-09
1855,5.306937111981824e-09
1856,4.141751386299575e-09
1857,6.8341128311999455e-09
1858,5.3830437884982985e-09
1859,5.601390462572908e-09
1860,2.288591982591015e-09
1861,6.6023493339173456e-09
1862,1.1746764450037972e-08
1863,8.990317823531768e-09
1864,4.794728170054441e-09
1865,5.6482134525026595e-09
1866,1.5083399418358567e-08
1867,5.82337378318698e-09
1868,2.9639244392143382e-09
1869,6.8369265804335555e-09
1870,2.2936195165357276e-09
1871,1.1683295220166201e-08
1872,2.4189357183956872e-09
1873,7.183205141814142e-09
1874,2.9873046258899194e-09
1875,8.58229043387837e-09
1876,0.0
1877,4.329371083855449e-09
1878,3.6234530931267273e-09
1879,2.443730107160036e-09
1880,1.0268554007097919e-08
1881,0.0
1882,6.655385131892899e-09
1883,2.5277355764075082e-09
1884,2.6406787867472303e-09
1885,9.023890079618013e-09
1886,4.5174246565693466e-09
1887,6.528924623161458e-10
1888,0.0
1889,0.0
1890,0.0
1891,1.2748440081367107e-09
1892,0.0
1893,9.23762488724833e-09
1894,1.8904617871129403e-09
1895,0.0
1896,1.592197840238896e-08
1897,1.1653427112179315e-09
1898,1.4711722506888236e-08
1899,3.3165470370022376e-09
1900,1.5573159428683425e-09
1901,5.588738916095792e-10
1902,3.928227076954727e-09
1903,5.400220270956879e-10
1904,6.449550227216605e-09
1905,8.773290538499623e-09
1906,7.201858220895474e-09
1907,1.5428529565042481e-09
1908,3.929111258571538e-09
1909,5.500983557560346e-10
1910,4.809735720812114e-09
1911,5.320374141248863e-10
1912,3.646594803896619e-09
1913,2.121195885607108e-09
1914,6.696743715117748e-10
1915,2.3561523843085297e-09
1916,0.0
1917,1.0966424435210342e-09
1918,4.594550517822427e-09
1919,0.0
1920,3.786115865267448e-09
1921,3.7863738810983705e-09
1922,5.164555005876537e-09
1923,1.1677542488541803e-08
1924,5.156649773851996e-09
1925,1.0998178368026856e-08
1926,1.114613823460786e-08
1927,4.4596899506643695e-09
1928,4.570416489713125e-09
1929,8.912325100141061e-09
1930,0.0
1931,1.1405356659111021e-09
1932,8.767629289252454e-09
1933,0.0
1934,1.1981580172459871e-09
1935,5.98414207075848e-09
1936,3.6374143697059935e-09
1937,2.5182236296217297e-09
1938,2.5930428915188486e-09
1939,6.117620188206274e-09
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,0.0
1943,0.0
1944,0.0
1945,2.178504043826024e-09
1946,4.1763312808029696e-09
1947,1.1920870957027319e-09
1948,1.0871887834440486e-09
1949,9.817008317369869e-10
1950,2.1270722960764488e-09
1951,1.0661401761424827e-09
1952,2.1089607837865287e-09
1953,2.1547654771580937e-09
1954,1.2704297169818801e-08
1955,9.385607846468247e-10
1956,1.744228317335228e-09
1957,4.417518795207798e-09
1958,0.0
1959,3.100299128533379e-09
1960,6.920833350854139e-10
1961,1.3896318540318475e-09
1962,2.5367825617905737e-09
1963,2.5864212993553792e-09
1964,1.2167936658258327e-09
1965,2.188817349590977e-09
1966,4.985167390003653e-09
1967,4.930335695263466e-09
1968,4.940557296606585e-09
1969,3.6334062425424918e-09
1970,5.518470125309705e-09
1971,1.541519245584766e-09
1972,1.5390440033513642e-09
1973,5.513203782392395e-10
1974,2.2502286700643026e-09
1975,1.7134440533084216e-09
1976,3.9994687561772935e-09
1977,4.11374712072643e-09
1978,1.7821774056514528e-09
1979,4.096381456264453e-09
1980,2.2740602734216964e-09
1981,3.1627747087981106e-09
1982,2.483000915987077e-09
1983,5.052252838311233e-09
1984,5.799008495621649e-10
1985,1.8046674155058895e-09
1986,1.7983456945813714e-09
1987,4.277571630240118e-09
1988,5.996553809062277e-10
1989,2.7440609784434855e-09
1990,2.179460389939436e-09
1991,1.1722930404189924e-09
1992,3.856960972825618e-09
1993,3.877445031719162e-09
1994,3.6924485691258724e-09
1995,3.795715741716776e-09
1996,4.270473752399084e-09
1997,2.876936688878118e-09
1998,2.3840645013706308e-09
1999,2.285100553223174e-09
2000,1.7672125984802278e-09
2001,2.190605918883648e-09
2002,3.9430991805033955e-09
2003,2.9168460979889232e-09
2004,5.285749615779878e-09
2005,6.7556245042510454e-09
2006,4.117890028965121e-09
2007,4.393927444112933e-09
2008,2.1287198670449925e-09
2009,3.814554005998616e-09
2010,8.030448306328708e-09
2011,6.500752380844688e-09
2012,3.744677901096338e-09
2013,7.80955033974351e-09
2014,8.87832563023494e-09
2015,6.64972610309178e-09
2016,9.528164035543796e-09
2017,8.049956257139002e-09
2018,6.9699601645822895e-09
2019,8.928457084778074e-09
