year,autres_ADJ oies_NOUN,autres_ADJ rois_NOUN
1800,1.5720821977538435e-08,5.187871394696231e-07
1801,4.7623651688866175e-09,7.548348648356296e-07
1802,4.475680270843441e-09,1.244239143716186e-06
1803,0.0,8.444968955245713e-07
1804,4.943701892301533e-09,4.3998947418799617e-07
1805,0.0,1.0461789479165873e-06
1806,1.152667650217154e-08,7.751689850010735e-07
1807,0.0,6.775753291776709e-07
1808,4.5321479902327155e-09,6.775561516292328e-07
1809,0.0,5.670166487448114e-07
1810,0.0,6.645960226592251e-07
1811,0.0,1.2384958694156012e-06
1812,0.0,4.507581792267956e-07
1813,0.0,5.377636966841237e-07
1814,0.0,7.363224483469821e-07
1815,1.0788894222457657e-08,7.552226009011065e-07
1816,0.0,7.55538856367366e-07
1817,0.0,9.901714790316873e-07
1818,2.026600220972341e-08,7.832213277936262e-07
1819,0.0,1.0319996999186287e-06
1820,4.746592452420373e-09,7.440283766868561e-07
1821,2.9584463767662328e-09,1.337217852892536e-06
1822,1.0025615893027862e-09,1.224127643695283e-06
1823,1.8777105759149038e-08,9.892569607927726e-07
1824,0.0,9.019011795174947e-07
1825,2.905796137042671e-08,1.067219720596313e-06
1826,0.0,1.0728125303671732e-06
1827,0.0,9.696571492412431e-07
1828,5.503380862137419e-09,7.979902036936437e-07
1829,8.57317605795771e-10,7.767297773852988e-07
1830,2.0873671680021744e-09,8.432963092275259e-07
1831,1.5591206103948707e-09,4.864456322195565e-07
1832,0.0,5.506697355883716e-07
1833,0.0,5.224216286237038e-07
1834,5.600718555598405e-09,7.486294073544286e-07
1835,2.2689263801112247e-09,9.12108419015567e-07
1836,2.688300027031687e-09,1.0726317611897684e-06
1837,1.3915781860163179e-09,9.253995010283234e-07
1838,1.8936485712828244e-09,1.1986795653839977e-06
1839,1.3982950353153e-09,6.662875993157513e-07
1840,3.821813199245128e-09,1.06055311732689e-06
1841,6.420548537278137e-10,7.332266314108438e-07
1842,2.683306021822318e-09,6.627766069300378e-07
1843,0.0,7.430893935733707e-07
1844,1.2074834465636286e-08,9.039660211485057e-07
1845,2.2878934136105755e-08,6.919482871126093e-07
1846,1.1709002656346001e-09,9.308657098472395e-07
1847,3.235934187273415e-09,6.55276667593796e-07
1848,2.413566457803995e-09,6.041961428948639e-07
1849,8.379414939696517e-10,5.002510619078748e-07
1850,6.788996032014438e-10,6.150830609286118e-07
1851,6.449438760824933e-09,6.24305677376924e-07
1852,6.510545436100301e-10,6.8035201294947e-07
1853,1.1943863675867306e-09,6.049566820820473e-07
1854,3.63696517347023e-09,7.159625390329438e-07
1855,2.653468555990912e-09,7.105988792943663e-07
1856,5.177189232874468e-10,5.933058595530838e-07
1857,9.763018171682347e-10,5.935914835220046e-07
1858,4.893676019968041e-10,6.537951122709273e-07
1859,0.0,4.878302171107407e-07
1860,1.3731551729012637e-09,6.247855832697269e-07
1861,3.7727710400226044e-09,5.35261868606085e-07
1862,1.355395878865906e-09,5.227310007072106e-07
1863,6.992469381295052e-09,5.578991562060764e-07
1864,4.794727948009836e-10,5.255021946481975e-07
1865,0.0,6.264810057388104e-07
1866,2.919367692033603e-09,5.877660385067429e-07
1867,0.0,5.52735230030521e-07
1868,9.87974813071446e-10,4.811437221974302e-07
1869,9.278686263769487e-09,5.044675432941403e-07
1870,3.4404292748035914e-09,4.3636111257683297e-07
1871,1.0621177271019633e-09,3.420019192290624e-07
1872,5.442605477412599e-09,5.140238243939166e-07
1873,1.1972008939764578e-09,3.7532248775562493e-07
1874,1.0156835372754358e-08,4.480956850017037e-07
1875,5.149374260327022e-09,3.575954448109542e-07
1876,1.209202959984168e-09,4.0810599166718475e-07
1877,5.566334504436554e-09,3.7665529717401114e-07
1878,3.0195443923020093e-09,4.1730103639281424e-07
1879,7.331190321480108e-09,4.3192928256274854e-07
1880,2.5671385017744797e-09,5.076516167434875e-07
1881,2.7890030285249168e-09,3.053958312904115e-07
1882,6.655385131892899e-10,4.059784952659129e-07
1883,2.5277355764075082e-09,3.6462584995788916e-07
1884,1.9805090900604227e-09,3.6573401018813456e-07
1885,1.2891271383708158e-09,3.783588100603197e-07
1886,5.808117542471791e-09,2.820163844674539e-07
1887,3.9173548849191775e-09,3.088181461663453e-07
1888,3.804368819970705e-09,2.9674076174046604e-07
1889,1.2530273485467092e-09,3.0072656187485336e-07
1890,2.6217545912032847e-09,2.634863502937179e-07
1891,2.549687905251119e-09,2.1927316584680057e-07
1892,9.402768341715273e-09,3.1655988319556627e-07
1893,1.539604183031784e-08,3.128475616342996e-07
1894,1.8904617871129403e-09,2.381981900612118e-07
1895,4.213030146971164e-09,2.1727199062127056e-07
1896,1.5332275227208925e-08,2.9013383784359803e-07
1897,1.1653427112179315e-09,2.5754073007533407e-07
1898,5.6583546736987955e-09,2.461384323027005e-07
1899,5.527578395003729e-10,1.9512352267270217e-07
1900,1.1939421895590385e-08,2.450176945778537e-07
1901,1.676621730339889e-09,2.1516644910235527e-07
1902,9.820567692386817e-10,1.7235096283485518e-07
1903,1.6200660812870638e-09,2.2302909563620688e-07
1904,4.837162670412454e-09,2.1659739868340466e-07
1905,5.160759042333041e-10,2.167518839968352e-07
1906,0.0,1.867338983441158e-07
1907,1.028568674676933e-09,2.1908512959356585e-07
1908,1.4734167219643268e-09,2.131542924388441e-07
1909,2.7504918342913243e-09,1.7658157780431338e-07
1910,2.137660271017694e-09,2.126972038496433e-07
1911,4.788336838146279e-09,2.2451979564408475e-07
1912,5.2094213387476884e-09,2.39112432076638e-07
1913,6.3635876568213234e-09,1.787107537509769e-07
1914,7.366418253162976e-09,3.268010939638799e-07
1915,1.1780761921542648e-09,1.790675834278943e-07
1916,3.2962386153911893e-09,2.37329187413593e-07
1917,0.0,2.0178220871969188e-07
1918,0.0,1.7114700412435013e-07
1919,1.8415696745321952e-09,1.979687382913653e-07
1920,0.0,1.6204575370437624e-07
1921,0.0,1.38581273567695e-07
1922,0.0,1.9772866499678798e-07
1923,1.0615948120573648e-09,2.3461245213241e-07
1924,0.0,2.075551526203867e-07
1925,2.1996355847875293e-09,2.0786556254037691e-07
1926,3.343841648018042e-09,2.4744426063705305e-07
1927,5.574612549352764e-09,2.0626066232765083e-07
1928,4.5704163786908225e-09,1.5196634972625134e-07
1929,1.1140406375176326e-09,1.9941327766836991e-07
1930,3.1510811737689437e-09,1.7751089664841402e-07
1931,3.4216069977333063e-09,1.6765874821800253e-07
1932,1.0959536611565568e-09,1.6439305206006338e-07
1933,5.735331098932761e-09,2.0303072467697802e-07
1934,0.0,2.3603713295017315e-07
1935,3.590485242455088e-09,2.1303545949535874e-07
1936,3.6374143697059935e-09,1.6732106455918938e-07
1937,0.0,1.4983429919013247e-07
1938,1.2965214457594243e-09,2.0096081598808269e-07
1939,3.058810094103137e-09,1.5905812578154155e-07
1940,0.0,2.2822046785719863e-07
1941,3.836953510472085e-08,2.1545969275393873e-07
1942,0.0,1.9722376976005762e-07
1943,0.0,2.148394040446533e-07
1944,0.0,2.2492303841659123e-07
1945,0.0,1.285317381416462e-07
1946,4.1763312808029696e-09,2.185613308114398e-07
1947,1.1920870957027319e-09,1.7404471019943912e-07
1948,2.174377566888097e-09,2.2722246129092127e-07
1949,0.0,2.1401077798799406e-07
1950,2.1270722960764488e-09,2.722652574504991e-07
1951,6.396841056854896e-09,2.2708785962777256e-07
1952,0.0,1.3075556415387268e-07
1953,2.1547654771580937e-09,1.5514311568765038e-07
1954,5.86352189024808e-09,2.3551811523248034e-07
