year,trois_DET aigles_NOUN,trois_DET règles_NOUN
1800,6.288328968651058e-09,4.4018302336468196e-08
1801,2.3811825844433088e-09,6.90542922843207e-08
1802,2.0140561218795483e-08,9.84649659585557e-08
1803,1.5602713787643552e-08,2.3404069793286908e-08
1804,9.887403784603066e-09,9.14584823430431e-08
1805,0.0,5.970043259750923e-08
1806,0.0,1.2103010327280117e-07
1807,0.0,6.263301344233696e-08
1808,2.4926813058101516e-08,6.118399653587403e-08
1809,2.710836710662079e-08,3.840351725514779e-08
1810,1.1700633351097167e-08,1.4508785284306214e-07
1811,5.766276700569506e-08,4.011322829455821e-08
1812,0.0,5.867858288155503e-08
1813,2.0130191291656274e-08,6.614205716459765e-08
1814,2.5173417128598885e-08,1.0384034254684593e-07
1815,9.170560133497929e-08,1.0788894222457657e-08
1816,6.952811659743929e-09,7.648093003354006e-08
1817,3.113746815941454e-09,1.8682480451559513e-08
1818,1.7881765845828568e-08,4.530047426065664e-08
1819,1.1075623262968293e-07,8.177329569036829e-08
1820,1.4239777357261119e-08,3.7972737843006144e-08
1821,0.0,8.185035138552621e-08
1822,3.0076847679083585e-09,6.215881853677274e-08
1823,4.941343556552624e-09,4.150728649676694e-08
1824,5.894778887238772e-09,4.8000341479337294e-08
1825,0.0,4.40272158730437e-08
1826,8.807984452907647e-09,4.492072047668216e-08
1827,1.013900075008678e-08,5.8068819086543044e-08
1828,3.760643574324263e-08,5.778549772017527e-08
1829,1.628903412154159e-08,8.144517593677847e-08
1830,5.0096812032052185e-08,4.5922078140137046e-08
1831,1.5591206103948707e-09,4.2096257146795324e-08
1832,1.2176972319366541e-08,4.464889746813583e-08
1833,2.0850530635385667e-08,1.0193592991925016e-07
1834,4.667265462998671e-09,4.4805748666831846e-08
1835,1.5882484660778573e-08,7.941242330389287e-08
1836,1.8818100411266414e-08,7.997692463845851e-08
1837,4.174734336004349e-09,5.357575894038291e-08
1838,2.3354999711955315e-08,4.3553918693817195e-08
1839,2.027527845616106e-08,4.754203164480941e-08
1840,2.0383003285218138e-08,6.43338573524943e-08
1841,1.6051370899106132e-08,5.778493727959244e-08
1842,1.7441489141845068e-08,7.714504945965928e-08
1843,4.4892523476391943e-08,5.2571509367993485e-08
1844,2.4149669153317177e-08,6.037417499271669e-08
1845,1.618266037839433e-08,6.640471372776346e-08
1846,2.3418005534736608e-08,7.962121895133123e-08
1847,1.88762818709165e-08,6.687597142729373e-08
1848,4.666228548000362e-08,5.8730117880045896e-08
1849,3.519354097036853e-08,4.2735016192452235e-08
1850,2.2403686905647646e-08,9.911933940287554e-08
1851,3.0957306496048886e-08,5.3530342825069965e-08
1852,3.515694646516465e-08,7.422021930381106e-08
1853,1.9707374621091844e-08,6.628844317901894e-08
1854,1.1430461965833416e-08,5.7671877051745923e-08
1855,5.200798369742188e-08,4.139410947345823e-08
1856,6.471486430070783e-08,3.675804194358534e-08
1857,3.3682414413149786e-08,4.539803555303479e-08
1858,4.942612785718836e-08,5.040486250607046e-08
1859,1.680417205385254e-08,4.7357211485632433e-08
1860,2.0139609258063018e-08,5.126446023240305e-08
1861,5.942114206236582e-08,2.9238975685075275e-08
1862,6.008922073807987e-08,4.4728065029531194e-08
1863,9.28999464022695e-08,5.4940830107597094e-08
1864,2.5412058235474433e-08,3.596045905496226e-08
1865,7.107335164846518e-08,5.883555598273915e-08
1866,6.66588992892514e-08,4.865612979187972e-08
1867,6.69687949539366e-08,5.677789438607306e-08
1868,5.1868679240563154e-08,4.297690336940718e-08
1869,1.9534075801352913e-08,5.567211847079534e-08
1870,3.4977697183080636e-08,4.0711746862598375e-08
1871,2.9739295692721157e-08,7.753459385639871e-08
1872,4.1726641586414814e-08,3.749350252491013e-08
1873,9.876907114403366e-08,6.943765207267916e-08
1874,7.289023284950957e-08,5.556386550864545e-08
1875,6.751402281679475e-08,3.776207924133246e-08
1876,3.567148709748835e-08,4.474051085168185e-08
1877,3.0924081073635534e-08,3.154256233983688e-08
1878,3.623453181944569e-08,4.83127080563861e-08
1879,3.8488748743681356e-08,4.520900809268369e-08
1880,3.850707597230496e-08,4.2357783947011285e-08
1881,2.022027217885025e-08,7.042232308407392e-08
1882,1.5307385359264458e-08,4.3925540538225505e-08
1883,3.7916032313844994e-08,4.107570328315546e-08
1884,4.951272636333215e-08,4.027035149789526e-08
1885,5.5432465728699754e-08,6.574548283566628e-08
1886,2.452316216761119e-08,7.098810250738552e-08
1887,3.786776364700373e-08,6.855370671132732e-08
1888,3.6775566147895233e-08,4.945679510370837e-08
1889,2.1301465480405568e-08,4.510898410359232e-08
1890,3.080561583601593e-08,5.3745969896823453e-08
1891,2.7409146952095398e-08,6.43796225219262e-08
1892,2.5074049059270465e-08,6.456567813728498e-08
1893,4.187723234849727e-08,7.636436571978322e-08
1894,2.646646479753656e-08,7.309785665654545e-08
1895,2.9491211250842753e-08,6.37973149864024e-08
1896,3.3023361822870356e-08,5.838058747542618e-08
1897,2.796822473616345e-08,5.7684464316309914e-08
1898,1.5277558773618694e-08,5.035935979336159e-08
1899,1.4371703827009696e-08,5.859233098703953e-08
1900,2.3359738920980533e-08,3.478005550228147e-08
1901,3.297355988252093e-08,5.9240631067325467e-08
1902,3.83002145554201e-08,4.2228442520553244e-08
1903,2.484101346844625e-08,4.7521939716688166e-08
1904,1.3974025492302644e-08,3.869730225147805e-08
1905,2.7352022868853965e-08,4.747898474377621e-08
1906,1.9547900798055906e-08,5.452835516450705e-08
1907,1.9542804707839423e-08,4.937129594040357e-08
1908,1.7189861978295085e-08,4.5675919935206366e-08
1909,4.180747498194748e-08,5.996071905656208e-08
1910,7.588693717863748e-08,3.90122991689168e-08
1911,2.3409646554561903e-08,5.479985265566256e-08
1912,2.2921453179947093e-08,4.8968558097328696e-08
1913,2.704524781904638e-08,5.1438998394104374e-08
1914,2.0759905794420774e-08,4.62075311347121e-08
1915,2.709575230852579e-08,2.8273827723523937e-08
1916,1.8678685265172135e-08,5.823354864986641e-08
1917,1.6449636319748606e-08,1.864292187292449e-08
1918,1.8378201183111287e-08,3.2161853624756986e-08
1919,1.1970202717925815e-08,4.6960028365905515e-08
1920,1.1358348039891553e-08,5.149117576763729e-08
1921,9.844571380313027e-09,6.739745117556595e-08
1922,2.8036154731125862e-08,4.648099505288883e-08
1923,2.441668023323018e-08,6.157250131977321e-08
1924,2.4494086536819282e-08,5.0277334295856235e-08
1925,2.749544547597793e-08,6.488924997327672e-08
1926,9.139833245797035e-08,6.687682940764716e-08
1927,1.6723837648058293e-08,2.4528294284564822e-08
1928,1.7139061614379614e-08,5.0274580498665955e-08
1929,1.4482528509773829e-08,4.790374674712439e-08
1930,3.361153133596417e-08,7.35252232431094e-08
1931,3.079446297959976e-08,7.071321306284517e-08
1932,2.4110979990332737e-08,9.425201241697323e-08
1933,1.0323596200123575e-08,6.76769076335404e-08
1934,2.2765002327673756e-08,4.7926318913482646e-08
1935,1.6755597798123745e-08,5.385728041318316e-08
1936,6.0623572828433225e-09,3.273672888326473e-08
1937,2.8959572406783707e-08,4.784624740850063e-08
1938,2.7226949694814095e-08,5.315738027533712e-08
1939,7.647025235257843e-09,5.047036566452334e-08
1940,1.2678914584896006e-08,6.33945713701678e-08
1941,8.854508237732261e-09,3.836953554881006e-08
1942,2.1239483061208375e-08,5.158160032436854e-08
1943,2.0322646676618206e-08,3.4838822493554744e-08
1944,6.4263723231761105e-09,3.213186161588055e-08
1945,6.535512131478072e-09,2.832055345791673e-08
1946,5.568441707737293e-09,5.0115977145992474e-08
1947,3.5762612871081956e-09,5.364392130502438e-08
1948,9.784699273041042e-09,5.3272248834446145e-08
1949,2.945102384188658e-09,6.479225422850732e-08
1950,4.2541445921528975e-09,3.828730310573292e-08
1951,1.7058242818279723e-08,5.330701036143637e-08
1952,6.326882129314981e-09,4.8506098693223976e-08
1953,7.541679392097933e-09,6.24881977273617e-08
1954,9.772536557761669e-09,5.863521490567791e-08
1955,1.1262728971672686e-08,5.631364707880948e-08
1956,8.72114158667614e-09,4.971050637792018e-08
1957,7.951533653738352e-09,3.534015036166238e-08
1958,5.790570245522986e-09,5.046068674019466e-08
1959,8.525822714489095e-09,4.2629112240177847e-08
1960,1.1073332972788563e-08,5.1214165797119904e-08
1961,1.5980766376877398e-08,5.072156383789661e-08
1962,5.0735651235811474e-09,6.976151922799545e-08
