year,aurons_VERB emporté_VERB,aurons_VERB remporté_VERB
1800,0.0,0.0
1801,1.1905912700171939e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,2.0171682990621775e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,1.0788894222457657e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,1.556873407970727e-09
1818,4.768470951432846e-09,0.0
1819,0.0,0.0
1820,4.746592452420373e-09,8.306536791735653e-09
1821,1.97229765852569e-09,0.0
1822,1.0025615893027862e-09,1.0025615893027862e-09
1823,4.941343334508019e-09,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,9.217273055917019e-10,0.0
1828,0.0,0.0
1829,0.0,1.714635211591542e-09
1830,0.0,1.0436835840010872e-09
1831,0.0,3.1182412207897414e-09
1832,2.4353944638733083e-08,1.3529969367098715e-09
1833,0.0,1.1583628500844156e-09
1834,0.0,1.0267983796552471e-08
1835,0.0,0.0
1836,1.3441500135158435e-09,6.720750067579218e-10
1837,6.957890930081589e-10,1.3915781860163179e-09
1838,1.8936485712828244e-09,0.0
1839,0.0,2.0974426639952526e-09
1840,0.0,1.1465439264668476e-08
1841,0.0,0.0
1842,2.683306021822318e-09,0.0
1843,2.3627644285539873e-09,5.906911071384968e-10
1844,1.097712254427563e-09,5.488561272137815e-10
1845,0.0,1.1160455892778032e-09
1846,0.0,0.0
1847,0.0,5.393223645455691e-10
1848,0.0,8.045221711050488e-10
1849,0.0,1.6758829879393033e-09
1850,0.0,8.146795238417326e-09
1851,0.0,6.449438760824933e-10
1852,6.510545436100301e-10,6.510545436100301e-10
1853,0.0,1.1943863675867306e-09
1854,0.0,2.5978321716024766e-09
1855,0.0,2.1227748447927297e-09
1856,5.177189232874468e-10,2.5885946719483854e-09
1857,5.369659827891837e-09,4.881509085841174e-10
1858,2.4468380654951716e-09,4.893676019968041e-10
1859,0.0,0.0
1860,1.2358396972445007e-08,4.577183909670879e-10
1861,2.8295783494058924e-09,6.13075279431996e-09
1862,5.873382225018986e-09,1.8071945051545413e-09
1863,1.9978483312144135e-09,9.989241656072068e-10
1864,0.0,5.274200631788517e-09
1865,0.0,5.6482134525026595e-09
1866,0.0,4.865612912574591e-10
1867,4.85281148598915e-10,5.338092634588065e-09
1868,0.0,1.4819622196071691e-09
1869,0.0,1.953407657850903e-09
1870,0.0,5.734048791339319e-10
1871,0.0,2.3366590440332402e-08
1872,6.047339295989218e-10,1.4513614310374123e-08
1873,1.1972008939764578e-09,0.0
1874,0.0,5.974609251779839e-09
1875,0.0,1.1443054281912168e-09
1876,0.0,0.0
1877,0.0,1.2369631985365004e-09
1878,0.0,0.0
1879,0.0,3.665595160740054e-09
1880,6.417846254436199e-10,6.417846254436199e-10
1881,0.0,2.091752326904839e-09
1882,0.0,1.3310770263785798e-09
1883,0.0,6.319338941018771e-10
1884,0.0,3.300848483434038e-09
1885,0.0,1.933690763067375e-09
1886,0.0,6.453463874400711e-10
1887,0.0,3.264462256069578e-09
1888,0.0,0.0
1889,0.0,0.0
1890,1.9663159989136147e-09,1.9663159989136147e-09
1891,0.0,0.0
1892,0.0,1.2537024751679837e-09
1893,0.0,1.847525021858587e-09
1894,6.301539290376468e-10,1.2603078580752936e-09
1895,1.2037228991346183e-09,1.2037228991346183e-09
1896,0.0,0.0
1897,0.0,5.826713556089658e-10
1898,0.0,2.26334195829736e-09
1899,5.527578395003729e-10,2.2110313580014918e-09
1900,1.5573159428683425e-09,1.5573159428683425e-09
1901,0.0,5.588738916095792e-10
1902,0.0,1.9641135384773634e-09
1903,0.0,1.0800440541913758e-09
1904,0.0,5.374625189347171e-10
1905,0.0,3.096455536422127e-09
1906,0.0,1.5432553013283723e-09
1907,0.0,1.028568674676933e-09
1908,0.0,0.0
1909,1.1001967115120692e-09,2.7504918342913243e-09
1910,5.344150677544235e-10,5.344150677544235e-10
1911,5.320374141248863e-10,2.128149656499545e-09
1912,5.209421227725386e-10,1.5628263128064646e-09
1913,0.0,2.121195885607108e-09
1914,0.0,5.357394972094198e-09
1915,2.238344798399794e-08,2.8273827723523937e-08
1916,0.0,1.3184954461564757e-08
1917,2.1932848870420685e-09,1.864292187292449e-08
1918,0.0,1.8378202071289707e-08
1919,0.0,2.762354567309444e-09
1920,0.0,1.741613253614105e-08
1921,0.0,7.572747429129834e-10
1922,0.0,7.377935484775833e-10
1923,0.0,4.246379248229459e-09
1924,0.0,1.0313299547703991e-08
1925,0.0,0.0
1926,0.0,1.1146138456652466e-09
