year,sans_ADP emporter_VERB,sans_ADP remporter_VERB
1800,9.432493763839034e-08,2.5153315874604232e-08
1801,1.1905913055443307e-07,2.1430643926123594e-08
1802,2.842056971985585e-07,2.2378401354217203e-08
1803,7.606323038089613e-08,3.51061064662872e-08
1804,1.1370514130248921e-07,4.2021465418429216e-08
1805,1.7910129201936797e-07,5.685755422035754e-09
1806,5.187004603612877e-08,1.152667650217154e-08
1807,7.402083213037258e-08,1.7081731584767113e-08
1808,1.3143229526946243e-07,8.384473915157287e-08
1809,1.0165637065462363e-07,5.1957702140725814e-08
1810,1.4742798271072388e-07,1.8721014072298203e-08
1811,5.515568801683912e-08,2.757784400841956e-08
1812,1.7603574065105931e-07,4.267533082469299e-08
1813,1.4953856464217097e-07,1.7254450312975678e-08
1814,8.496028414128887e-08,1.2586708564299443e-08
1815,1.8880564311984926e-07,5.9338919333740137e-08
1816,9.965696534663948e-08,6.952811659743929e-09
1817,5.293369653713853e-08,4.670620157298799e-08
1818,1.0609847800324701e-07,7.391129841494148e-08
1819,1.2214239575314423e-07,5.3825459644940565e-08
1820,1.3646453567162098e-07,6.526564533260171e-08
1821,1.0946251904897508e-07,2.6626018723163725e-08
1822,1.0727409005539812e-07,1.303330066093622e-08
1823,2.1346603773508832e-07,2.668325471688604e-08
1824,1.5242213624588885e-07,2.6105448469593284e-08
1825,1.3208164650890808e-07,7.924898604017017e-08
1826,2.71285918618247e-07,4.4039921931471326e-08
1827,1.0139000161668577e-07,1.7512819638909605e-08
1828,1.70604801952301e-07,2.384798314380987e-08
1829,1.9461109634910656e-07,3.3435387791769244e-08
1830,1.408972849503698e-07,2.7135772739939057e-08
1831,1.0446108289485778e-07,4.989185953263586e-08
1832,1.5288865995444212e-07,1.352996914505411e-08
1833,2.0155513880126819e-07,8.687721586575492e-08
1834,1.5121940699636127e-07,1.7735608537350345e-08
1835,1.2252202452600613e-07,1.1344631900556124e-08
1836,1.834764731256655e-07,1.8818100855355624e-08
1837,2.1012830320188414e-07,2.1569462660409044e-08
1838,1.4896701672206802e-07,6.312162215138528e-08
1839,1.3074059002082805e-07,2.7266752411492234e-08
1840,1.8217310182588875e-07,1.6561190196995312e-08
1841,1.8940617918516978e-07,2.3756030032018316e-08
1842,2.1332282384989298e-07,3.085801880686745e-08
1843,1.6303074801271578e-07,3.0125246297529884e-08
1844,1.745362434579789e-07,2.9638231424655714e-08
1845,1.724290372706605e-07,1.7298706467272496e-08
1846,1.2470087540350505e-07,2.4588905134237393e-08
1847,1.4669568937364375e-07,1.3483059113639229e-08
1848,1.8584462679882563e-07,1.448139919091318e-08
1849,1.1982562853063428e-07,3.5193544078993e-08
1850,1.6633040900160267e-07,1.425689166723032e-08
1851,2.0960676128112254e-07,2.257303499675345e-08
1852,2.0573324066575083e-07,9.114764054629632e-09
1853,2.060316433016851e-07,1.6721408258035808e-08
1854,1.870439207962704e-07,2.961528799971802e-08
1855,1.655764414465466e-07,2.1227748447927297e-08
1856,1.5842198963778031e-07,1.0872097000458325e-08
1857,1.908670086425701e-07,1.903788510171367e-08
1858,1.4534217807060656e-07,1.468102794888182e-08
1859,2.240556256083437e-07,1.4258085379026397e-08
1860,2.0368468089948522e-07,1.6935581020893764e-08
1861,2.1174677000690423e-07,2.5937801240161207e-08
1862,1.644546971935057e-07,2.846331392802881e-08
1863,1.9479021262647223e-07,2.3474717281146695e-08
1864,1.970633118908438e-07,1.1986819536957682e-08
1865,1.7368256211014454e-07,9.88437331983505e-09
1866,2.2187194481659844e-07,2.4814625021463144e-08
1867,1.8052459083151007e-07,2.0867089389753346e-08
1868,1.709196482124753e-07,1.3337660198509127e-08
1869,2.265952818714112e-07,1.4162205630441349e-08
1870,1.9495766423460736e-07,1.3188312664169644e-08
1871,1.8693272352265922e-07,1.805600113868877e-08
1872,2.3221782896598597e-07,1.2699412854644265e-08
1873,1.6581232048507033e-07,6.584604861359367e-09
1874,2.306199078372373e-07,7.169530746864439e-09
1875,1.5047616841457057e-07,2.2886108563824337e-09
1876,1.819850459217065e-07,1.0882827083946722e-08
1877,1.9420322094898523e-07,1.608052180301911e-08
1878,1.8902347587168578e-07,1.3889904337816006e-08
1879,1.6128618085531343e-07,1.0996785704264767e-08
1880,1.2771513979714655e-07,1.2193908105473383e-08
1881,1.65945678531898e-07,1.3247764274471052e-08
1882,1.9433724673945107e-07,9.317538740560849e-09
1883,1.6935828739406134e-07,1.4534479397809719e-08
1884,1.5910089246062853e-07,9.242375753615306e-09
1885,1.7274303243386413e-07,6.445635580831777e-09
1886,1.3874947668579551e-07,1.5488312854472497e-08
1887,1.4167766781980617e-07,2.0239665943222462e-08
1888,1.908525000260397e-07,1.0779045211961602e-08
1889,1.4284512361850688e-07,9.397704836544563e-09
1890,1.5992702628864208e-07,7.865263995654459e-09
1891,1.7592846779379556e-07,1.0836173736095134e-08
1892,1.353998650976962e-07,5.014809900671935e-09
1893,1.5026536459572526e-07,4.310891643655168e-09
1894,1.4241479107113264e-07,4.4110775032635274e-09
1895,1.420393000994835e-07,6.018614495673091e-10
1896,1.5391245256068942e-07,5.897029087265082e-09
1897,1.3226639339336543e-07,6.992056267307589e-09
1898,1.2391797099553514e-07,2.8291773368493978e-09
1899,1.4205876652795268e-07,8.291367592505594e-09
1900,1.313336437380741e-07,1.142031713641245e-08
1901,1.2854099301629063e-07,9.500856101851696e-09
1902,1.2324812886932435e-07,1.718599307309887e-08
1903,1.2096493184898804e-07,1.0260418292773466e-08
1904,6.557042642185706e-08,1.666133897515465e-08
1905,9.857049576567078e-08,5.160758931310738e-09
1906,1.0854229459678066e-07,6.6874399351490865e-09
1907,1.2137110161347664e-07,6.171411992550446e-09
1908,1.1836447555424456e-07,1.4734167663732478e-08
1909,1.01218098791378e-07,8.251475058784763e-09
1910,1.0902067471008081e-07,3.740905363258662e-09
1911,9.25745098356856e-08,9.044636151145369e-09
1912,1.1096067059623849e-07,1.1460726589973547e-08
1913,1.1878697059319876e-07,5.302989602995467e-09
1914,9.37544086809794e-08,1.0714789944188396e-08
1915,1.3430068035447107e-07,9.424609537234119e-09
1916,1.0547963569251806e-07,1.648119329900055e-08
1917,9.869781791849164e-08,3.289927441585405e-09
1918,6.662097984388993e-08,1.378365155346728e-08
1919,1.1417731826668387e-07,6.4454939163738345e-09
1920,8.40517704325805e-08,1.9687802943479937e-08
1921,8.481477209443256e-08,1.438822039290244e-08
1922,8.779743454478961e-08,5.164555005876537e-09
1923,1.2526818826685826e-07,9.554353752605493e-09
1924,1.1473545669105079e-07,1.1602462102189293e-08
1925,1.286786783794014e-07,5.499089184013428e-09
1926,1.058883185578452e-07,6.687683296036084e-09
1927,1.237563892475535e-07,7.804457524684949e-09
1928,1.1997343019043427e-07,9.14083297942625e-09
1929,1.04719816818033e-07,6.684243825105796e-09
1930,8.19281087416357e-08,5.2518016602221e-09
1931,7.6415887839687e-08,0.0
1932,6.356530946050043e-08,1.643930525041526e-08
1933,7.11181087353907e-08,9.176529758292418e-09
1934,8.626737724171107e-08,1.0783422155213884e-08
