year,mes_DET aides_NOUN
1800,1.0375742931501009e-07
1801,1.0715321963061797e-07
1802,2.2378401354217203e-08
1803,2.3404069793286908e-08
1804,1.3347994420875864e-07
1805,9.381496446358994e-08
1806,1.8442682403474464e-07
1807,5.4092146317685774e-08
1808,2.7192887941396293e-08
1809,1.197286110254936e-07
1810,2.8081521108447305e-08
1811,3.760615285841595e-08
1812,9.868670503010435e-08
1813,2.300593315851529e-08
1814,2.580275122454623e-07
1815,1.1598061000483995e-07
1816,5.3304889391370125e-08
1817,2.3353100786493997e-08
1818,5.0068944545955674e-08
1819,1.811433776310878e-07
1820,7.594547923872597e-08
1821,1.85395975904612e-07
1822,1.1328945959121484e-07
1823,2.0457162008824525e-07
1824,2.012645943239022e-07
1825,1.171123926724249e-07
1826,1.1186139969865394e-07
1827,1.1337245764408976e-07
1828,1.3391559594566615e-07
1829,1.028781094203346e-07
1830,1.1376150776953864e-07
1831,2.229542417353514e-07
1832,8.523880978827947e-08
1833,7.297685744589444e-08
1834,1.0641365033592365e-07
1835,5.672315950278062e-08
1836,7.191202788803253e-08
1837,1.607272750447919e-07
1838,6.627769977285425e-08
1839,1.3074058013984313e-07
1840,1.36311338216899e-07
1841,9.502411790762721e-08
1842,4.8970335342346516e-08
1843,5.729703644874462e-08
1844,6.805815833121898e-08
1845,6.52886695817756e-08
1846,7.37667162908906e-08
1847,1.0894312119091865e-07
1848,7.321151995753894e-08
1849,8.295621101161998e-08
1850,5.499086785931695e-08
1851,9.932135958123922e-08
1852,4.362065486596123e-08
1853,8.36070483956064e-08
1854,2.3016793715413542e-07
1855,7.801197554613282e-08
1856,8.335274459536635e-08
1857,3.099758378866113e-07
1858,1.9868324230287726e-07
1859,2.953460622734383e-07
1860,2.1009274386862842e-07
1861,1.457232823298682e-07
1862,1.1701584456957903e-07
1863,1.6482248987870207e-07
1864,6.952355269262966e-08
1865,7.295608650537133e-08
1866,7.055138917522186e-08
1867,7.133632706768367e-08
1868,2.0895667685039143e-07
1869,1.0157719776415775e-07
1870,6.078091763228599e-08
1871,1.115223595693493e-07
1872,1.7839650467976753e-07
1873,1.5024870680946378e-07
1874,1.7147128428263159e-07
1875,1.1614699779727289e-07
1876,7.617978980967166e-08
1877,6.865145707468656e-08
1878,5.495570659652671e-08
1879,1.2524116943524177e-07
1880,5.1342768259132754e-08
1881,7.66975825072791e-08
1882,6.455723333687047e-08
1883,9.352621432867636e-08
1884,8.18610406128073e-08
1885,1.8370061960482076e-07
1886,5.937186742244194e-08
1887,8.226445191716891e-08
1888,1.1096075525074411e-07
1889,1.28435301505192e-07
1890,1.0421474794242158e-07
1891,7.33035276923033e-08
1892,1.3414615995799295e-07
1893,8.252278149711856e-08
1894,1.4682585991465658e-07
1895,3.5570012268948403e-07
1896,1.7691087172977404e-07
1897,1.0429817587365164e-07
1898,9.845537551900208e-08
1899,1.260287856297282e-07
1900,1.7441938560125436e-07
1901,1.0339167122452864e-07
1902,1.6891376475314246e-07
1903,1.355455303553299e-07
1904,9.83556400768748e-08
1905,6.605771840639818e-08
1906,9.72250857600443e-08
1907,1.1519969111972728e-07
1908,9.970119863034199e-08
1909,1.1111986797374129e-07
1910,9.24538037239131e-08
1911,1.6599567409514293e-07
1912,1.0835596331304487e-07
1913,1.1984756609351166e-07
1914,9.509376153182814e-08
1915,4.947920095865754e-08
1916,6.592477164168997e-08
1917,6.360526150217538e-08
1918,6.662098428478203e-08
1919,5.7088660465609564e-08
1920,1.1358347684620185e-07
1921,3.180553864723379e-08
1922,5.754789844658603e-08
1923,3.8217411901797504e-08
1924,5.543398584606507e-08
1925,2.0896537833436923e-08
1926,3.789686964239536e-08
1927,7.135503921062991e-08
1928,4.913197804157221e-08
1929,7.464072471208283e-08
1930,7.562594372956255e-08
1931,3.649714130915527e-08
1932,8.548438590327834e-08
1933,5.620624632385329e-08
