year,certaines_DET âmes_NOUN,certaines_DET ames_NOUN,certaines_DET rames_NOUN
1800,1.8864987794131594e-08,7.545995117652637e-08,0.0
1801,1.6668277424969347e-08,9.28661236798689e-08,0.0
1802,8.951360541686881e-09,9.622712582313397e-08,0.0
1803,2.3404069793286908e-08,5.851017803593095e-08,2.5354410126965377e-08
1804,9.887403784603066e-09,7.909923027682453e-08,0.0
1805,1.9900143755080535e-08,2.8428777332223376e-08,0.0
1806,3.1698359492793315e-08,7.204172902675055e-08,0.0
1807,2.8469551160981155e-09,6.832692633906845e-08,0.0
1808,4.5321479902327155e-09,4.078933146800523e-08,0.0
1809,2.25903047379461e-08,8.358412628695078e-08,0.0
1810,3.042164919975221e-08,3.25277625279341e-07,0.0
1811,2.5070768572277302e-08,2.2563691359778204e-08,0.0
1812,5.3344166417446104e-08,1.6536691305191198e-07,0.0
1813,4.3136125782439194e-08,4.026038169513413e-08,0.0
1814,5.664018942752591e-08,4.72001566720337e-08,0.0
1815,1.213750626671839e-07,2.1577788444915313e-08,0.0
1816,6.25753067140522e-08,5.0987285504788815e-08,0.0
1817,9.808302792180257e-08,1.1676550570882682e-07,0.0
1818,2.861082504246326e-08,6.199012148044858e-08,1.4305412854298538e-08
1819,1.2524770909294602e-07,6.521161566297451e-08,0.0
1820,7.001224044955734e-08,1.3409123766905395e-07,0.0
1821,2.06105099209708e-07,1.2918549430196435e-07,0.0
1822,1.4737655362750957e-07,9.323822780515911e-08,0.0
1823,9.783859733492051e-08,1.1266263300058199e-07,0.0
1824,8.58953512761218e-08,4.378978601948802e-08,0.0
1825,8.541280038798504e-08,8.717388477741395e-08,0.0
1826,8.455664612938563e-08,7.574866600634778e-08,0.0
1827,6.359918519605046e-08,4.885154680778214e-08,0.0
1828,1.0639869191253482e-07,6.512333783348367e-08,0.0
1829,6.429882015712707e-08,9.259029809527419e-08,0.0
1830,8.03636355239945e-08,9.706257486641334e-08,0.0
1831,7.639690835503643e-08,1.3720261904381914e-07,0.0
1832,8.929779504729396e-08,7.170883975504694e-08,0.0
1833,6.023486953665724e-08,1.4016190164056752e-07,0.0
1834,9.894603070215169e-08,1.23215812664057e-07,0.0
1835,1.1193370141882042e-07,1.3991711966809817e-07,0.0
1836,1.2030142748642447e-07,1.3508707857878832e-07,0.0
1837,1.5446518553119404e-07,9.810625989370436e-08,0.0
1838,1.8242148458469387e-07,7.258986300939796e-08,0.0
1839,1.0836786845658253e-07,6.432156851587933e-08,0.0
1840,1.9109066329292546e-07,3.057450503884951e-08,0.0
1841,1.752809821731205e-07,5.072233255631886e-08,0.0
1842,2.160061298717153e-07,6.842430622100437e-08,0.0
1843,2.3745782518069802e-07,1.949280581392543e-08,0.0
1844,2.5082724341984886e-07,2.030767648486531e-08,0.0
1845,3.331396083439131e-07,3.4597412268411176e-08,0.0
1846,2.125183924395202e-07,5.269051195355701e-09,0.0
1847,1.5694280808276062e-07,1.5101026207275936e-08,0.0
1848,2.107848149357494e-07,3.781254065415851e-08,0.0
1849,2.4803067177892046e-07,2.513824526317876e-08,0.0
1850,2.118166770870289e-07,2.5798184033476446e-08,0.0
1851,1.7671462160251394e-07,1.4188765273814852e-08,0.0
1852,2.382859571881113e-07,4.9480144648228475e-08,0.0
1853,2.5977904560825493e-07,7.763511167269144e-09,0.0
1854,4.50983665523097e-07,1.6626126697616428e-08,0.0
1855,3.0143402440785394e-07,6.8990182455763716e-09,0.0
1856,3.898423566184306e-07,2.329735071526784e-08,0.0
1857,2.8215122549468674e-07,6.834112886711097e-09,0.0
1858,3.0047170529456935e-07,1.8106600552236785e-08,0.0
1859,3.849683096746048e-07,1.4258085156981792e-08,0.0
1860,3.423733501151105e-07,4.57718396518203e-09,0.0
1861,3.3106064556420733e-07,9.431927239234028e-09,0.0
1862,2.3674248161853484e-07,1.9427341541033982e-08,0.0
1863,3.511218373830616e-07,5.9935449936432406e-09,0.0
1864,3.5864566072518755e-07,5.561884386384719e-08,0.0
1865,3.9066807211440846e-07,1.223779544368142e-08,0.0
1866,3.848699918762577e-07,7.784980660119345e-09,0.0
1867,3.649314184173136e-07,7.279217228983725e-09,0.0
1868,3.003443529436822e-07,6.421836395986702e-09,0.0
1869,3.9214657832076227e-07,4.8835191446272574e-09,0.0
