year,cents_ADJ oies_NOUN,cents_ADJ rois_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,0.0,8.727576528144709e-08
1803,0.0,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,2.2660739062985158e-08
1809,0.0,1.129515236897305e-08
1810,0.0,1.6380887757350138e-08
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,5.664018765116907e-08
1815,0.0,1.6183341333686485e-08
1816,0.0,5.3304889391370125e-08
1817,0.0,4.670620223912181e-09
1818,0.0,1.1921177378582115e-09
1819,0.0,0.0
1820,0.0,1.542642635854463e-08
1821,0.0,4.930744257336528e-09
1822,0.0,2.3058916553964082e-08
1823,0.0,0.0
1824,0.0,3.115811697540494e-08
1825,0.0,8.805443485471187e-09
1826,0.0,3.5231937367541377e-09
1827,0.0,1.6591091167583727e-08
1828,0.0,2.7516904310687096e-09
1829,0.0,2.571952872898464e-09
1830,0.0,6.262101504006523e-09
1831,0.0,0.0
1832,0.0,0.0
1833,3.4750886612755494e-09,9.266902467608418e-09
1834,0.0,5.1339920759119195e-08
1835,0.0,8.31939672707449e-09
1836,0.0,6.048674894287842e-09
1837,0.0,7.653680356156656e-09
1838,0.0,4.418513555037862e-09
1839,0.0,2.0974426639952526e-09
1840,6.369688665408546e-10,9.554533164646273e-09
1841,0.0,5.778493683550323e-09
1842,0.0,1.341653010911159e-09
1843,0.0,3.5441467538532834e-09
1844,0.0,6.586273748609983e-09
1845,0.0,5.580227946389016e-10
1846,0.0,7.610851504580296e-09
1847,0.0,1.0786447290911383e-08
1848,0.0,1.6894965648717175e-08
1849,0.0,1.005529792763582e-08
1850,0.0,1.425689166723032e-08
1851,0.0,5.8044946626978344e-09
1852,0.0,2.799534470909748e-08
1853,0.0,5.971931837933653e-09
1854,0.0,5.7152309551611324e-09
1855,0.0,4.776243400783642e-09
1856,0.0,5.177189066341015e-09
1857,0.0,9.763018171682347e-10
1858,0.0,6.361778659424999e-09
1859,8.147477359443656e-09,0.0
1860,5.492620580582752e-09,0.0
1861,0.0,3.3011746669586728e-09
1862,0.0,1.1294965851504912e-08
1863,0.0,0.0
1864,0.0,4.794728059032138e-09
1865,0.0,7.530950973944073e-09
1866,0.0,1.1190909532388105e-08
1867,0.0,1.455843445796745e-09
1868,0.0,1.975949626142892e-09
1869,0.0,1.12320943657096e-08
