year,pouvez_VERB aller_VERB,pouvez_VERB râler_VERB
1800,5.973912209356058e-08,0.0
1801,6.429193177837078e-08,0.0
1802,6.042168365638645e-08,0.0
1803,3.90067853572873e-08,0.0
1804,1.0628959046243835e-07,0.0
1805,1.0802935435094696e-07,0.0
1806,1.123850950079941e-07,0.0
1807,1.537355700520493e-07,0.0
1808,5.4385775882792586e-08,0.0
1809,6.551188391767937e-08,0.0
1810,9.828532654410083e-08,0.0
1811,6.518399686683551e-08,0.0
1812,5.867858021701977e-08,0.0
1813,6.901780125190271e-08,0.0
1814,5.97868634599763e-08,0.0
1815,5.1247248222807684e-08,0.0
1816,2.7811246638975717e-08,0.0
1817,6.227493543065066e-08,0.0
1818,1.2517236314124602e-07,0.0
1819,1.1696686641471388e-07,0.0
1820,1.6019750148643652e-07,0.0
1821,1.6961759286004963e-07,0.0
1822,1.4236374568099563e-07,0.0
1823,1.0277994277885227e-07,0.0
1824,9.431646219582035e-08,0.0
1825,1.1535130539641614e-07,0.0
1826,1.2595417331340286e-07,0.0
1827,5.069500019772022e-08,0.0
1828,8.071624790773058e-08,0.0
1829,9.516225674133238e-08,0.0
1830,1.1376150865771706e-07,0.0
1831,6.236482619215167e-08,0.0
1832,7.982681893281551e-08,0.0
1833,1.0772774317047151e-07,0.0
1834,1.278830694673161e-07,0.0
1835,1.9437135279076756e-07,0.0
1836,1.1425274948351216e-07,0.0
1837,1.071515214334795e-07,0.0
1838,1.1929985532788123e-07,0.0
1839,1.3213887939400593e-07,0.0
1840,1.4140708515242295e-07,0.0
1841,1.0529699778771828e-07,0.0
1842,1.18065464960182e-07,0.0
1843,1.1931960841593536e-07,0.0
1844,1.0538037997775973e-07,0.0
1845,1.1104653907523243e-07,0.0
1846,8.371937099127535e-08,0.0
1847,6.47186837454683e-08,0.0
1848,1.1585119352730544e-07,0.0
1849,9.46873868201692e-08,0.0
1850,1.2423862472132896e-07,0.0
1851,8.642248161550015e-08,0.0
1852,7.356916142953196e-08,0.0
