year,vingt - deux rois
1800,3.4447684704730364e-09
1801,0.0
1802,4.927008578903269e-09
1803,0.0
1804,2.7184055007012375e-09
1805,0.0
1806,2.5279453197413204e-08
1807,0.0
1808,4.2332516159149236e-08
1809,7.412877423007558e-09
1810,0.0
1811,5.5186069047863384e-09
1812,0.0
1813,0.0
1814,0.0
1815,2.660775777485469e-08
1816,0.0
1817,6.824494303003803e-09
1818,5.213291576211532e-09
1819,2.487339934020838e-08
1820,9.064108574818874e-09
1821,2.1600643496100247e-09
1822,1.2061239118565936e-08
1823,8.63669757933394e-09
1824,1.5618814686035876e-08
1825,1.2493916123901272e-08
1826,1.345482747439064e-08
1827,1.609704813887447e-08
1828,1.5034661515755943e-08
1829,1.8730987871862226e-09
1830,1.7120880713150655e-08
1831,3.422896455163027e-08
1832,5.930508972795678e-09
1833,5.069511921362846e-09
1834,2.04574863715834e-08
1835,1.5769250794051004e-08
1836,2.7170912630936073e-08
1837,1.3663777664874033e-08
1838,4.817570342652289e-09
1839,6.8783210238620995e-09
1840,9.741954798414554e-09
1841,4.211874404802529e-09
1842,2.127210407820712e-08
1843,1.0326685284667292e-08
1844,0.0
1845,1.2200809251794453e-09
1846,3.843962759209063e-09
1847,5.890599563684873e-09
1848,2.64270488825602e-09
1849,2.752263306149416e-09
1850,1.1145099954035231e-08
1851,7.058568840534463e-09
1852,1.9260536276988205e-08
1853,1.307408403761201e-09
1854,5.6831837014215125e-09
1855,1.7453363199138039e-09
1856,3.969798267888791e-09
1857,1.5514121542992143e-08
1858,2.6804938269009426e-09
1859,1.1705947322582233e-08
1860,1.0035964059795788e-08
1861,1.1360455909326106e-08
1862,1.3863038716976916e-08
1863,3.837829387620673e-09
1864,2.6247697348935617e-09
1865,3.6117238089161674e-09
1866,4.805375597438655e-09
1867,7.984997552057393e-09
1868,6.491893689286599e-09
1869,1.0714624520957727e-08
1870,0.0
1871,1.1664925692045358e-09
1872,7.296862669647908e-09
1873,0.0
1874,6.555164189236962e-10
1875,2.5147881554943297e-09
1876,1.992249476501229e-09
1877,0.0
1878,6.64683752482631e-10
1879,1.8145428271054698e-08
1880,8.480379953823558e-09
1881,5.379074852207566e-09
1882,1.2456976783425944e-08
1883,7.663270906732578e-09
1884,1.5277169751470865e-08
1885,2.343687643957537e-08
1886,0.0
1887,5.762099242190288e-09
1888,2.7956078563207143e-09
1889,2.0742185746769337e-09
1890,2.1686923368235966e-09
1891,2.8108828598050195e-09
1892,3.4585942998432984e-09
1893,0.0
1894,0.0
1895,0.0
1896,1.0406966843845566e-08
1897,7.0860255441118625e-09
1898,1.2485185107991015e-09
1899,2.44016407080494e-09
1900,0.0
1901,6.167346078278513e-10
1902,5.407152503522639e-10
1903,1.7882977321193039e-09
1904,5.93522675451652e-10
1905,3.418737737348465e-09
1906,1.1351314332941342e-09
1907,0.0
1908,0.0
1909,0.0
1910,1.1796716936629537e-09
1911,5.284629178703426e-09
1912,2.299088697199636e-09
1913,1.7553301034922697e-09
1914,4.431956135420023e-09
1915,0.0
1916,8.465352863140652e-09
1917,0.0
1918,3.791308933465132e-09
1919,1.0134946215600849e-09
1920,8.343376545205672e-10
1921,8.356959568800448e-10
1922,1.6287773352274826e-09
1923,2.346282945708822e-09
1924,2.849811275851266e-09
1925,3.6555558580175784e-09
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,2.325158732219279e-09
1931,1.2628545986714812e-09
1932,2.4257640340863418e-09
