year,puissiez_VERB apporter_VERB,puissiez_VERB rapporter_VERB
1800,0.0,0.0
1801,1.4287095950749062e-08,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,7.801356893821776e-09
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,1.152667650217154e-08
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,2.3401267590372754e-09
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,8.627225156487839e-09,1.7254450312975678e-08
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,3.5763532135746345e-09,1.1921177378582115e-09
1819,3.9333990287104825e-08,1.035105001712111e-09
1820,2.8479554714522237e-08,2.610625848831205e-08
1821,2.9584463767662328e-09,1.97229765852569e-09
1822,4.010246357211145e-09,0.0
1823,1.9765373782121287e-09,8.894418535021487e-09
1824,1.2631669044083083e-08,0.0
1825,3.522177216552791e-09,8.805443041381977e-10
1826,0.0,0.0
1827,1.8434546111834038e-09,0.0
1828,0.0,1.2841221419535032e-08
1829,2.571952872898464e-09,4.286587973467704e-09
1830,2.0873671680021744e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,1.1583628500844156e-09,0.0
1834,8.401078055442213e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,1.3441500135158435e-09,2.016224964762614e-09
1837,8.349468672008697e-09,6.957891152126194e-09
1838,8.837027110075724e-09,2.5248647617104325e-09
1839,2.7965900706306e-09,0.0
1840,6.369688665408546e-10,1.2739377330817092e-09
1841,3.852329122366882e-09,1.926164561183441e-09
1842,4.024959032733477e-09,1.341653010911159e-09
1843,3.5441467538532834e-09,6.497602011990011e-09
1844,1.097712254427563e-09,0.0
1845,1.674068439427856e-09,2.2320911785556063e-09
1846,9.367202125076801e-09,5.854501328173001e-10
1847,2.1572894581822766e-09,1.6179670936367074e-09
1848,1.6090443422100975e-09,1.6090443422100975e-09
1849,9.217356655710773e-09,0.0
1850,6.788996032014438e-09,7.467895635215882e-09
1851,6.449438760824933e-10,6.449438760824933e-10
1852,7.161600201754936e-09,6.510545436100301e-10
1853,1.7915795513800958e-09,8.957897534855874e-09
1854,6.234797567117312e-09,2.0782657816909023e-09
1855,8.491099379170919e-09,3.714855978387277e-09
1856,3.6240324075009767e-09,3.6240324075009767e-09
1857,1.4644527812635033e-09,3.4170564155999728e-09
1858,6.8511463169329545e-09,2.936205500958522e-09
1859,3.5645213447565993e-09,1.018434669930457e-09
1860,8.238931314963338e-09,4.577183909670879e-10
1861,1.8863854922557266e-09,4.715963730639317e-10
1862,5.873382225018986e-09,4.517986262886353e-10
1863,1.4983863039219614e-09,0.0
1864,2.8768367688059016e-09,1.4384183844029508e-09
1865,7.0602665935837194e-09,1.882737743486018e-09
1866,2.238181906477621e-08,0.0
1867,1.3102591012170706e-08,0.0
1868,6.421836395986702e-09,0.0
1869,0.0,2.9301114867763545e-09
1870,5.160643912205387e-09,7.454262984651905e-09
1871,4.248470908407853e-09,0.0
1872,1.2094678591978436e-09,0.0
1873,3.591602570907071e-09,7.781805422268917e-09
1874,4.182226565063729e-09,0.0
1875,1.0870901512305409e-08,1.1443054281912168e-09
1876,1.813804439976252e-09,0.0
1877,6.184815992682502e-10,0.0
1878,6.6429977074733415e-09,0.0
1879,5.498392852132383e-09,1.832797580370027e-09
1880,8.984985200299889e-09,0.0
1881,6.972507571312292e-10,6.972507571312292e-10
1882,1.9966155395678697e-09,0.0
1883,0.0,0.0
1884,5.281357573494461e-09,0.0
1885,1.2891271383708158e-09,0.0
1886,6.4534639854230136e-09,0.0
1887,2.6115698492645834e-09,0.0
1888,2.53624587998047e-09,6.340614699951175e-10
1889,3.759081934617825e-09,6.265136742733546e-10
1890,8.520702365899524e-09,1.9663159989136147e-09
1891,2.5496880162734215e-09,3.824531802365527e-09
1892,1.2537024751679837e-09,1.2537024751679837e-08
1893,6.158416554491453e-10,0.0
1894,6.301539290376468e-10,8.192000855444803e-09
1895,1.2037228991346183e-09,1.8055843487019274e-09
1896,1.7691086373616827e-09,0.0
1897,1.7480140668268973e-09,0.0
1898,5.6583548957434e-10,0.0
1899,1.1055156790007459e-09,6.080336234504102e-09
1900,0.0,2.07642125715779e-09
1901,3.912117296778206e-09,1.676621730339889e-09
1902,0.0,1.4730852093691738e-09
1903,4.320176216765503e-09,1.0800440541913758e-09
1904,2.6873125946735854e-09,5.374625189347171e-10
1905,1.5482277682110634e-09,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,1.964555629285769e-09,9.822778146428846e-10
1909,1.6502950117569526e-09,5.500983557560346e-10
1910,3.206490406526541e-09,0.0
1911,0.0,1.0640748282497725e-09
1912,1.5628263128064646e-09,0.0
1913,2.121195885607108e-09,0.0
1914,2.0090231700464756e-09,2.0090231700464756e-09
1915,0.0,0.0
1916,2.197492410260793e-09,0.0
1917,2.1932848870420685e-09,0.0
