year,avez_VERB apporté_VERB,avez_VERB rapporté_VERB
1800,6.917161954334006e-08,3.458580977167003e-08
1801,7.857902772911984e-08,1.6668277424969347e-08
1802,5.370816325012129e-08,1.3427040812530322e-08
1803,4.8758479920252285e-08,3.510610468993036e-08
1804,9.88740396223875e-08,2.7190360185613827e-08
1805,7.107194477384837e-08,1.9900143755080535e-08
1806,1.152667650217154e-07,2.881669125542885e-08
1807,5.124519120158766e-08,6.547996633798903e-08
1808,8.837688625362716e-08,3.6257183921861724e-08
1809,5.6475762733043666e-08,4.51806094758922e-08
1810,1.5210824244604737e-07,4.680253340438867e-08
1811,1.1532553401139012e-07,2.5070768572277302e-08
1812,5.601137331723294e-08,2.1337665856435706e-08
1813,4.3136125782439194e-08,8.627225156487839e-09
1814,2.5173417128598885e-08,7.866692897096073e-08
1815,8.091670622434322e-08,1.8880564667256294e-08
1816,3.9399267848239106e-08,4.1716869958463576e-08
1817,5.916118794857539e-08,1.71256075987003e-08
1818,7.629553522292554e-08,3.337929754820834e-08
1819,5.2790355198339967e-08,3.1053151161586356e-08
1820,8.543866414356671e-08,2.254631326081835e-08
1821,8.480879643002481e-08,6.607196922914227e-08
1822,7.418955760840618e-08,3.408709403629473e-08
1823,9.882686669016039e-08,4.644862983127496e-08
1824,1.044218009838005e-07,3.452656116564867e-08
1825,7.13240879690602e-08,1.4088708866211164e-08
1826,6.605988289720699e-08,2.7304752237000685e-08
1827,3.7790819362726324e-08,4.516463647519231e-08
1828,1.3116390107370535e-07,8.163348041989593e-08
1829,7.372931065674493e-08,2.0575622983187714e-08
1830,6.157733167810875e-08,4.0703660886265425e-08
1831,7.483778574624012e-08,1.7150327380477393e-08
1832,8.117981309396782e-08,3.111892965534935e-08
1833,6.950177322551099e-08,1.50587169400751e-08
1834,9.147840529522e-08,2.42697808516823e-08
1835,1.1344631900556124e-07,8.621920244422654e-08
1836,6.25029770162655e-08,3.8980349614803345e-08
1837,6.888311787633938e-08,3.478945487245255e-08
1838,6.501526428337456e-08,3.787297231383491e-08
1839,7.970281501457066e-08,3.635567225046543e-08
1840,7.898413656448611e-08,4.0129037870428874e-08
1841,4.237562123421412e-08,2.6966304744746594e-08
1842,6.03743828264669e-08,4.293289634915709e-08
1843,8.505951853976512e-08,3.898561473647533e-08
1844,7.738871232731981e-08,2.360081374774836e-08
1845,7.477505192809986e-08,1.897277535078956e-08
1846,5.913046408068112e-08,3.219975752699611e-08
1847,9.33027664018482e-08,1.9954928376364478e-08
1848,1.0297883790144624e-07,1.850401076808339e-08
1849,9.133562173246901e-08,1.508294644736452e-08
1850,1.3034872381467721e-07,2.2403686017469226e-08
1851,6.965393595237401e-08,1.3543821175687754e-08
1852,8.398603768000612e-08,3.5156944022674e-08
1853,8.300985143705475e-08,3.1054046445433414e-08
1854,8.780673255159854e-08,2.4419623656513068e-08
1855,7.270503488143731e-08,7.960405667972736e-09
1856,9.526028321715785e-08,3.1063134287023786e-08
1857,9.177237103585867e-08,3.026535466688074e-08
1858,1.1500138441533636e-07,3.327699715782728e-08
1859,9.776972831332387e-08,3.4626779665813956e-08
1860,7.689668990451537e-08,2.242820151820979e-08
1861,1.0610918366182887e-07,2.0278644541349422e-08
1862,9.623310859296907e-08,3.11741068514948e-08
1863,8.191177869321109e-08,4.4452125536054155e-08
1864,1.0356612278883404e-07,2.349416661218129e-08
1865,8.519388217109736e-08,3.0594488720225854e-08
1866,1.0023162388961282e-07,2.6760870852626795e-08
1867,8.007138774246414e-08,1.94112459439566e-08
1868,6.619431047738544e-08,2.420538258718352e-08
1869,1.1720445769469734e-07,2.0022428159904848e-08
1870,6.651496420317926e-08,2.0069171213776826e-08
1871,9.771483178155904e-08,3.292564798584863e-08
1872,1.0522370530452463e-07,1.9956219787786722e-08
1873,9.457887273356391e-08,3.71132280463371e-08
1874,7.82673765797881e-08,5.914862910572083e-08
1875,1.104254749861866e-07,3.718992758194872e-08
1876,9.008562074086512e-08,2.2974855795609983e-08
1877,8.65874270061795e-08,3.277952487223956e-08
1878,7.005343150012777e-08,1.509772218355465e-08
1879,9.102894438228759e-08,1.7717043832021773e-08
1880,7.573058269372268e-08,1.1552122813895949e-08
1881,9.900960407094317e-08,1.3945014920579979e-08
1882,7.853354588860384e-08,2.5290463057103807e-08
1883,1.0047748588704053e-07,2.5277355319985872e-08
1884,8.978307874940583e-08,7.922036360241691e-09
1885,7.8636752220973e-08,2.9649923405372647e-08
1886,8.002295004416737e-08,2.968593371122097e-08
1887,9.793387079071181e-08,2.2198344495905076e-08
1888,9.637734166290102e-08,7.60873763994141e-09
1889,1.1402548949490665e-07,2.6313573542324775e-08
1890,8.717334054608727e-08,2.6872983838188702e-08
1891,7.712806393556093e-08,3.4420789774003424e-08
1892,1.0092304592035362e-07,2.005923960268774e-08
1893,9.176040549618847e-08,2.8328715373504565e-08
1894,8.255016581415475e-08,1.3863386882917439e-08
1895,1.0352017199011243e-07,1.745398137131815e-08
1896,1.315037394533647e-07,2.299841384001411e-08
1897,7.749529373768382e-08,1.631479840114025e-08
1898,8.940200757479033e-08,1.1316709347397591e-08
1899,8.070264811976813e-08,4.8089930260175606e-08
1900,9.343895612801134e-08,2.8550791952852705e-08
