year,ils_PRON approchent_VERB,ils_PRON rapprochent_VERB
1800,3.8673221780527456e-07,8.17482739279285e-08
1801,3.547962137417926e-07,3.809892135109294e-08
1802,4.3414098627181374e-07,1.7902721083373763e-08
1803,5.226909109978806e-07,2.9255088573876264e-08
1804,4.325739126898043e-07,7.4155526164076946e-09
1805,3.496739680031169e-07,1.6488690590676924e-07
1806,1.6713681105784417e-07,2.0171683878800195e-08
1807,2.2490945639219717e-07,5.124519120158766e-08
1808,2.2660740128799262e-07,3.172503681980743e-08
1809,2.846378421850204e-07,5.421673421324158e-08
1810,4.3760368839684816e-07,1.4040760110134443e-08
1811,1.8050952732551195e-07,5.0141535368197765e-09
1812,2.2404549326893175e-07,6.134578844907423e-08
1813,1.7829598419893955e-07,4.3136125782439194e-08
1814,1.5418717325133002e-07,8.496028325311045e-08
1815,1.8341120622267226e-07,5.93389177794279e-08
1816,1.8540831447921846e-07,3.9399266071882266e-08
1817,3.347277797161041e-07,3.892183464415666e-08
1818,2.610737794839224e-07,4.053200264308998e-08
1819,3.1156660185160945e-07,3.726378050572521e-08
1820,2.9072879215163994e-07,5.3399165977907614e-08
1821,2.149804387840959e-07,3.550135740937321e-08
1822,2.7971468341547734e-07,1.9048670196752937e-08
1823,1.8579451577238615e-07,1.581229902569703e-08
1824,2.2484371697828465e-07,2.6947560627377243e-08
1825,2.236582474779425e-07,1.937197469104035e-08
1826,2.4662355713189754e-07,1.76159691278599e-08
1827,2.138407282359367e-07,4.4242912222713926e-08
1828,1.9720447852478173e-07,4.6778735551811224e-08
1829,1.8775254773117922e-07,2.7434162941375462e-08
1830,1.429846534506396e-07,6.262101326370839e-08
1831,2.6972786670853566e-07,2.494592976631793e-08
1832,2.0700853298194488e-07,2.3000948701223933e-08
1833,2.3051421038644548e-07,2.7800707513847556e-08
1834,2.5109888923680046e-07,4.480574844478724e-08
1835,1.8680826485706348e-07,3.1764969321557146e-08
1836,1.7272327568207402e-07,1.68018754465038e-08
1837,1.7046833278300255e-07,3.270208726036117e-08
1838,1.458109366581084e-07,1.641162095111781e-08
1839,1.5730818958559212e-07,1.2584655095793096e-08
1840,1.4713980434066798e-07,3.3122380393990625e-08
1841,1.3932590547938162e-07,2.760835782211757e-08
1842,1.8514812083481047e-07,1.0733224087289273e-08
1843,1.707097236902655e-07,2.4809026832883774e-08
1844,1.311766180123186e-07,1.6465684371524958e-08
1845,1.227650123780677e-07,3.124927605568928e-08
1846,1.1650457309997364e-07,4.0981508853121795e-08
1847,1.0301056807549003e-07,2.0494250740910047e-08
1848,1.3757328432006943e-07,1.126331028444838e-08
1849,7.625267706146133e-08,1.1731181359664333e-08
1850,1.28990928160988e-07,2.511928620663184e-08
1851,1.3027866430093127e-07,2.9022473979622987e-08
1852,1.6276363723477516e-07,1.1718981784980542e-08
1853,1.4511794788063526e-07,3.165123874104836e-08
1854,1.3456770808772944e-07,2.7537021107804094e-08
1855,1.1569122548849009e-07,1.539011762474729e-08
1856,1.2891200995568397e-07,1.3978411095294518e-08
1857,1.1764437246597481e-07,3.5635017159307836e-08
1858,1.3212925153993638e-07,2.8872687796166474e-08
1859,1.4818223981194478e-07,2.13871282905842e-08
1860,1.496739159279059e-07,1.6020143434047895e-08
1861,1.3157538525376822e-07,3.9614094227147234e-08
1862,1.0029929953248029e-07,2.3493528900075944e-08
1863,1.0438757591657577e-07,2.7969877081091e-08
1864,1.275397618627494e-07,1.4384183733007205e-08
1865,1.1767110841276462e-07,1.8827376990770972e-08
1866,1.0753004708874414e-07,2.8707115351522816e-08
1867,8.92917331185572e-08,2.6690463172940326e-08
1868,1.14605080980823e-07,2.0747471296544973e-08
1869,9.42519164937039e-08,1.6115612844203042e-08
1870,1.0321288002046458e-07,2.5803219116937726e-08
1871,1.4338589693352333e-07,1.5931766128574054e-08
1872,9.79668950407131e-08,9.675742540515841e-09
1873,8.32054638522095e-08,1.556361151067165e-08
1874,6.273339803186673e-08,4.361464522872893e-08
1875,1.361723462878217e-07,5.8359577614908176e-08
1876,7.859819284306013e-08,3.808989390563511e-08
1877,7.298082671525208e-08,1.669900340228736e-08
1878,1.2440522567658263e-07,2.9591535222195375e-08
1879,9.713827253676754e-08,1.649517855639715e-08
1880,9.81930501353645e-08,2.0537107348062023e-08
1881,9.064260098057275e-08,2.7890030729338378e-08
1882,9.98307818633748e-08,2.7952617109860967e-08
1883,8.404720652777087e-08,2.08538187829177e-08
1884,9.242375753615306e-08,2.970763546272792e-08
1885,6.574548461202312e-08,3.029448714109151e-08
1886,8.131364737096192e-08,1.4842967299699694e-08
1887,8.422312980371771e-08,3.264462300478499e-08
1888,8.623236169569282e-08,2.028996703984376e-08
1889,8.01937511951678e-08,2.7566601001893787e-08
1890,9.503860098902805e-08,1.8352282804556808e-08
1891,4.461954006274027e-08,2.5496880162734215e-08
1892,5.0774950466347946e-08,1.0656471260972467e-08
1893,7.45168389215678e-08,2.155445821827584e-08
1894,6.931693263823036e-08,2.7096618282484997e-08
1895,6.62047590083148e-08,3.851913210617397e-08
1896,7.371286425694734e-08,1.6511680911435178e-08
1897,6.292850684985751e-08,4.136966591516966e-08
1898,5.318853535385415e-08,2.2067583316243145e-08
1899,8.567746689891464e-08,2.2110313580014918e-08
1900,9.291985314519025e-08,2.387884379118077e-08
1901,4.75042813974369e-08,2.9061442141653515e-08
1902,5.352209253572937e-08,2.553347577816112e-08
1903,7.020286396652864e-08,3.186129893251177e-08
1904,5.374625189347171e-08,2.741058935384899e-08
1905,6.812202002492995e-08,3.9221768055597295e-08
1906,5.2985100751357095e-08,4.2696731483715666e-08
1907,4.4742737514980035e-08,1.9542805373973238e-08
1908,7.612652908051132e-08,3.732655784460803e-08
1909,5.996072260927576e-08,3.13556052233821e-08
1910,6.252656259420064e-08,4.4890864359103944e-08
1911,6.43765254437767e-08,3.1390206878256777e-08
1912,5.0531386186492e-08,2.5526163405231728e-08
1913,6.946916641936696e-08,2.8105845650827632e-08
1914,5.156492566271709e-08,3.281404481469963e-08
1915,1.3194453885034818e-07,3.887651445211304e-08
1916,1.4942948212137708e-07,2.197492410260793e-08
1917,1.0966424568437105e-07,2.1932848426331475e-08
1918,7.810736235569493e-08,3.331049214239101e-08
1919,1.0589025478680014e-07,1.2890987832747669e-08
1920,7.799398815677705e-08,2.4231141537711665e-08
1921,7.26983753196464e-08,2.499006734879572e-08
1922,1.2099814128418984e-07,2.1396012961361066e-08
1923,7.431163773219396e-08,3.29094387296891e-08
1924,8.250639638163193e-08,3.9964035636330664e-08
1925,1.1438105218530836e-07,3.959343963799711e-08
1926,8.916910765321973e-08,3.1209187234537694e-08
1927,6.020581455601359e-08,2.5643217327342427e-08
1928,6.741364444451392e-08,2.9707707405179917e-08
1929,7.01845621620123e-08,1.893869061575515e-08
1930,7.772666599237255e-08,2.941009036305786e-08
1931,6.957267562057723e-08,2.737285598186645e-08
1932,6.246935946307985e-08,3.287861005674131e-08
1933,7.226516895997293e-08,3.4411987037685776e-08
1934,7.308763727564838e-08,5.391711077606942e-08
1935,7.899067711036878e-08,4.4282652211791174e-08
1936,4.849885826274658e-08,1.8187072292619177e-08
1937,5.414180748175568e-08,3.273690740712709e-08
1938,7.779128452511941e-08,3.1116513810047763e-08
1939,6.423501019980904e-08,2.9058695893979802e-08
1940,7.607348706528683e-08,3.550096039361961e-08
1941,9.444807957947887e-08,8.854507793643052e-09
1942,5.158159943619012e-08,3.944475235329037e-08
1943,1.3645205498846735e-07,2.6129117092210663e-08
1944,1.4780656520940738e-07,4.4984606262232774e-08
1945,1.1110370579103801e-07,3.267756021330115e-08
1946,8.49187351548153e-08,2.0881656404014848e-08
1947,1.0013531337449422e-07,1.7881307101674793e-08
1948,7.827759063161466e-08,2.0656586663392318e-08
1949,7.362756271334092e-08,2.1597418076169106e-08
1950,5.743095154997491e-08,2.5524866664738965e-08
1951,6.396841101263817e-08,2.8785785310958545e-08
1952,5.5887460881365314e-08,1.5817205767376663e-08
1953,4.740484094156727e-08,1.723812381726475e-08
1954,5.961247140362502e-08,2.6385848173049453e-08
1955,6.194501267486885e-08,2.3464020060259827e-08
1956,7.674604773910687e-08,3.662879421995058e-08
1957,6.714628675297263e-08,2.473810578607072e-08
1958,6.12146031642169e-08,1.6544487113634432e-08
1959,5.42552331950219e-08,1.9376869886400527e-08
1960,7.820541725322983e-08,2.8375417571169237e-08
1961,7.017640868411945e-08,2.36237411854745e-08
1962,9.38609581169203e-08,2.0928455857216477e-08
1963,7.241979815830746e-08,2.909724017285953e-08
1964,7.909158838970143e-08,2.1293889318485526e-08
1965,6.840054211920688e-08,2.4624196015565758e-08
1966,9.084082996935194e-08,1.7725039214155913e-08
1967,8.036447241011047e-08,1.824224149515885e-08
1968,8.398947315413352e-08,2.2007937694468183e-08
1969,6.812636499375913e-08,2.2254613263328338e-08
1970,6.070317049022833e-08,1.747515510075459e-08
1971,7.039604454917026e-08,1.1304474689666222e-08
1972,9.285565738537116e-08,1.898154300405963e-08
1973,7.277428970553501e-08,1.8744892860134144e-08
1974,6.975708721768115e-08,1.3501372020385816e-08
1975,5.0832172249215546e-08,8.567220266542108e-09
1976,7.313314398516013e-08,1.8854638739185248e-08
1977,8.051191358049437e-08,2.115641439814908e-08
1978,7.544550939542205e-08,1.841583330275398e-08
1979,6.203091729162225e-08,1.58003277128671e-08
1980,6.992735102073766e-08,1.3075846627685905e-08
1981,5.9460166568214845e-08,1.5181319312773667e-08
1982,7.449002836779073e-08,1.8001756529884005e-08
1983,5.24171213100999e-08,2.3998200759933752e-08
1984,7.306750759994429e-08,2.4935736142595033e-08
1985,5.594468888148185e-08,1.5038895018193443e-08
1986,7.373217059125636e-08,1.1988971149179406e-08
1987,4.5831125561335284e-08,1.4054878594293996e-08
1988,6.476278180400641e-08,2.338656024392094e-08
1989,6.64062795863174e-08,1.7013178865710188e-08
1990,8.118489880359903e-08,1.6345953035568073e-08
1991,7.150987713089307e-08,2.0515128262843518e-08
1992,6.005839203737651e-08,2.3692759754112558e-08
1993,7.699498461022358e-08,1.772546376344053e-08
1994,5.485923715298213e-08,2.0572213266234485e-08
1995,7.645655664134665e-08,1.3556127331781909e-08
1996,5.604996822228259e-08,2.4555223632205525e-08
1997,6.808750185882673e-08,2.205651528086605e-08
1998,6.770743432582549e-08,2.0979768589057812e-08
1999,6.306877509132391e-08,1.5995704316651427e-08
2000,5.522539225921719e-08,1.3695897305154858e-08
2001,6.30894501085777e-08,2.015357436491172e-08
2002,6.440395594609072e-08,1.6648641132377406e-08
2003,6.625407245053339e-08,2.5834921757450502e-08
2004,6.03456413728054e-08,2.2904915297772277e-08
2005,6.890736869991088e-08,1.7564623533417034e-08
2006,7.453380845845459e-08,2.0589449256647185e-08
2007,6.670780727802139e-08,2.077129357402896e-08
2008,6.811903396908292e-08,1.575252728258647e-08
2009,7.581425975899947e-08,2.0026408087403524e-08
2010,7.132927493103125e-08,1.9839930587295385e-08
2011,9.904087505674397e-08,2.0649448373433188e-08
2012,1.0485098300705431e-07,1.327658560867917e-08
2013,1.288575717239837e-07,1.4503450440628285e-08
2014,1.2971016616347697e-07,1.4941571535587173e-08
2015,1.414175159197839e-07,1.1747849359977636e-08
2016,1.3919405006390662e-07,1.3670844456470377e-08
2017,1.448992108521452e-07,1.0565567531983788e-08
2018,1.264918623178346e-07,1.290733386838383e-08
2019,1.4489609867496256e-07,1.1479444950168727e-08
