year,voulons_VERB appliquer_VERB
1800,7.860410988769218e-08
1801,0.0
1802,1.5664880947952042e-08
1803,1.755305234496518e-08
1804,0.0
1805,1.421438877713399e-08
1806,2.881669125542885e-09
1807,1.7081731584767113e-08
1808,0.0
1809,0.0
1810,0.0
1811,4.262030373070047e-08
1812,0.0
1813,0.0
1814,0.0
1815,2.6972236000233352e-08
1816,0.0
1817,0.0
1818,1.0729059418679299e-08
1819,4.140420006848444e-09
1820,0.0
1821,1.1833785507064931e-08
1822,8.02049271442229e-09
1823,7.906149512848515e-09
1824,6.736890156844311e-09
1825,0.0
1826,3.5231937367541377e-09
1827,1.7512819638909605e-08
1828,1.8344602503717056e-09
1829,4.286587973467704e-09
1830,9.39315203396518e-09
1831,0.0
1832,2.570694235259907e-08
1833,1.2741991461950875e-08
1834,9.334531370086552e-09
1835,1.5126175867408165e-08
1836,2.2850549896702432e-08
1837,5.5663127440652715e-09
1838,5.049729523420865e-09
1839,1.7478688718597368e-08
1840,8.280594876453051e-09
1841,1.8619591202195807e-08
1842,1.7441490030023488e-08
1843,1.3585895075607368e-08
1844,1.2074834465636286e-08
1845,1.1718478631905782e-08
1846,8.196302303531411e-09
1847,1.941560512364049e-08
1848,1.609044275596716e-08
1849,7.54147322368226e-09
1850,1.8330290174617403e-08
1851,1.4188765717904062e-08
1852,1.1067927019325907e-08
1853,1.3138249599364826e-08
1854,4.1565315633818045e-09
1855,1.4859423913549108e-08
1856,3.158085348786699e-08
1857,1.1715622250108026e-08
1858,6.361778659424999e-09
1859,7.638259802433822e-09
1860,9.15436793036406e-09
1861,9.431927461278633e-10
1862,1.1746764450037972e-08
1863,1.2486552236623538e-08
1864,1.0548401263577034e-08
1865,4.706844247692743e-09
1866,1.702964524952222e-08
1867,1.4073153309368536e-08
1868,1.6301584082611953e-08
1869,1.5138908793232986e-08
1870,1.6628741050794815e-08
1871,1.911811864374613e-08
1872,9.675742873582749e-09
1873,1.1972009161809183e-08
1874,1.6131444624534197e-08
1875,1.94531928343622e-08
1876,6.650616057868319e-09
1877,1.2369632429454214e-08
1878,9.662541877730746e-09
1879,6.109325489944695e-09
1880,2.1820676820993867e-08
1881,1.1853263259808955e-08
1882,1.6638463051776853e-08
1883,1.2006744043446815e-08
1884,5.941527270181268e-09
1885,1.5469526104539e-08
1886,4.5174246565693466e-09
1887,6.528924512139156e-09
1888,9.510921827882157e-09
1889,1.3156786771162388e-08
1890,1.4419650362640368e-08
1891,1.1473596295275001e-08
1892,1.8805536683430546e-08
1893,1.3548516086814288e-08
1894,1.3233232287745977e-08
1895,1.625025980445116e-08
1896,2.240870955461105e-08
1897,1.4566784223291052e-08
1898,9.05336783318944e-09
1899,9.949641111006713e-09
1900,8.824790675987515e-09
1901,1.900171220370339e-08
1902,2.6515532880466708e-08
1903,1.7820726228023887e-08
1904,8.061937784020756e-09
1905,1.8062657147766004e-08
1906,9.773950537805831e-09
1907,1.2342823652033985e-08
1908,2.553922229253658e-08
1909,1.0451868703853506e-08
1910,8.01622590529405e-09
1911,1.9685383989553884e-08
1912,1.8753915753677575e-08
1913,9.545381374209683e-09
1914,9.37544086809794e-09
1915,4.476689596799588e-08
1916,2.0876177231343718e-08
1917,3.289927263949721e-08
1918,3.445912710731136e-08
1919,1.2890987832747669e-08
1920,3.028892692213958e-08
1921,1.2873671018098776e-08
1922,2.2871599725249325e-08
1923,6.369568872344189e-09
1924,1.804827398643738e-08
1925,1.5397448649423495e-08
1926,2.1177662290483568e-08
1927,7.804457524684949e-09
1928,9.14083297942625e-09
1929,2.6736975300423182e-08
1930,3.1510811737689437e-09
1931,1.1405356659111021e-08
1932,1.53433514782364e-08
1933,1.1470662641954732e-08
1934,2.7557634396657704e-08
1935,1.6755597798123745e-08
1936,1.6974599503782883e-08
1937,1.2591118370153254e-08
1938,6.482607339819424e-09
1939,6.117620188206274e-09
1940,2.028626333583361e-08
1941,3.5418032950929046e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,1.089252066321933e-08
1946,2.3665876369705074e-08
1947,1.3112957830685446e-08
1948,2.0656587551570738e-08
1949,7.853606653895895e-09
1950,1.3825969702452312e-08
1951,1.0661401539380222e-08
1952,1.370824520563474e-08
1953,1.6160740301529586e-08
1954,1.7590565448699635e-08
1955,8.447047505910632e-09
1956,1.744228228517386e-08
1957,1.8553580005686854e-08
1958,1.7371711180658167e-08
1959,1.7826719656000023e-08
1960,1.1073333361366622e-08
1961,7.64297514166401e-09
1962,8.244543714397423e-09
1963,1.1638896069143811e-08
1964,1.1559539991878864e-08
1965,1.7510538796727815e-08
1966,3.8773522170743036e-09
1967,1.627010703941778e-08
1968,1.7965662735264232e-08
1969,1.4533624970169967e-08
1970,1.74751555448438e-08
1971,1.1304474689666222e-08
1972,1.5903454553267693e-08
1973,1.8193572870472963e-08
1974,9.00091468025721e-09
1975,1.6563292959403952e-08
1976,3.4281160132820787e-09
1977,8.815172591880582e-09
1978,8.910887139279566e-09
1979,1.9311512389208474e-08
1980,9.096241093686785e-09
1981,5.69299452024552e-09
1982,9.932003663948308e-09
1983,1.326216381158929e-08
1984,8.69851302098823e-09
1985,7.218669662023558e-09
1986,4.196139880008332e-09
1987,6.110816741511371e-09
1988,6.596209356501959e-09
1989,9.878619700032232e-09
1990,4.358920779878872e-09
1991,6.4476117778156095e-09
1992,6.060938417817852e-09
1993,8.862731881720265e-09
1994,1.2132331583813993e-08
1995,9.760411145975922e-09
1996,1.014237493990322e-08
1997,8.151320507465698e-09
1998,4.291316191284977e-09
1999,6.398281460207045e-09
2000,5.743440834038438e-09
2001,5.695575122643959e-09
2002,8.324320788233308e-09
2003,9.167230530238157e-09
2004,1.189293641346012e-08
2005,6.7556245042510454e-09
2006,1.2765458912156191e-08
2007,5.192823504529542e-09
2008,6.811903485726134e-09
2009,9.53638501499654e-09
2010,3.7790344187271785e-09
2011,7.265546830836911e-09
2012,8.510632198976964e-09
2013,3.3469500504423877e-09
2014,6.063246349441442e-09
2015,4.211493376260478e-09
2016,5.799752234025846e-09
2017,4.779661555431858e-09
2018,5.421080029321956e-09
2019,2.5509878653906526e-09
