year,tes_DET arts_NOUN,tes_DET rares_ADJ
1800,4.0874138740321087e-08,9.432493897065797e-09
1801,7.143547975374531e-09,4.524246932646747e-08
1802,2.0140561218795483e-08,0.0
1803,1.1702035340732664e-08,5.851017670366332e-09
1804,3.707776552452913e-08,4.943701892301533e-09
1805,4.5486043376286034e-08,0.0
1806,6.916005901302924e-08,2.881669125542885e-09
1807,3.9857372513552036e-08,2.8469551160981155e-09
1808,2.945896149242344e-08,0.0
1809,2.259030518203531e-08,2.259030518203531e-09
1810,1.4040760554223652e-08,0.0
1811,6.769107141479935e-08,0.0
1812,2.1337665412346496e-08,2.6672082320544632e-09
1813,8.627224934443234e-09,0.0
1814,3.776012391654149e-08,3.1466771410748606e-09
1815,1.888056444521169e-08,2.697223555614414e-09
1816,2.0858434979231788e-08,9.270415546325239e-09
1817,1.71256075987003e-08,1.2454987263765815e-08
1818,2.8610826152686286e-08,2.384235475716423e-09
1819,1.7596785029105888e-08,0.0
1820,2.254631326081835e-08,2.610625848831205e-08
1821,4.5362846701202386e-08,1.1833785507064931e-08
1822,3.8097340393505874e-08,2.0051231786055723e-09
1823,4.5460358144566726e-08,1.9765373782121287e-09
1824,1.2631669044083083e-08,7.57900142644985e-09
1825,2.0252519883356968e-08,5.283265824829186e-09
1826,2.8185549671988497e-08,0.0
1827,3.963427458453239e-08,1.8434546111834038e-09
1828,3.210305438150485e-08,0.0
1829,1.3717082136821546e-08,0.0
1830,1.1480519424011959e-08,5.218417697960831e-09
1831,1.247296466111436e-08,6.236482441579483e-09
1832,1.2176972319366541e-08,8.117981842303834e-09
1833,9.266902467608418e-09,1.1583628500844156e-09
1834,3.733812548034621e-08,4.667265462998671e-09
1835,9.832014313815307e-09,1.5126175867408165e-09
1836,1.545772521094335e-08,2.016224964762614e-09
1837,1.043683617307778e-08,4.174734558048954e-09
1838,1.7674053331973028e-08,1.2624323808552163e-09
1839,1.8876982754711946e-08,9.788065469251706e-09
1840,2.420481626241866e-08,4.458782010274831e-09
1841,2.118780972892864e-08,1.2841097074556274e-09
1842,1.542901006956754e-08,5.366612043644636e-09
1843,1.6539350389255247e-08,9.451057936260554e-09
1844,9.879410234336916e-09,4.390849128732555e-09
1845,1.060243309813913e-08,0.0
1846,1.6978053185567887e-08,3.5127007969038004e-09
1847,1.7258315665458213e-08,1.6179670936367074e-09
1848,1.3676876908785829e-08,0.0
1849,9.217356433666168e-09,8.379414939696517e-10
1850,1.4935791270431764e-08,0.0
1851,2.0638204034639784e-08,4.514607354622058e-09
1852,1.6927417911816178e-08,1.9531636308300904e-09
1853,1.3138250265498641e-08,2.9859659189668264e-09
1854,8.313063126763609e-09,3.117398783558656e-09
1855,1.6982198758341838e-08,2.653468555990912e-09
1856,1.6049286344355096e-08,3.1063134287023786e-09
1857,1.8061582895967376e-08,5.857810903009408e-09
1858,1.908533653338651e-08,1.957470352476065e-09
1859,1.6804171831807935e-08,0.0
1860,1.1900678165144285e-08,0.0
1861,1.0375120096384194e-08,1.4147891747029462e-09
1862,1.6716550060857926e-08,6.77697964412971e-09
1863,1.598278720482682e-08,4.994620717013731e-09
1864,2.157627665422268e-08,2.876836879828204e-09
1865,1.3649848362717876e-08,9.41368871743009e-10
1866,1.3623716654809215e-08,2.432806400776144e-09
1867,1.2132028714972876e-08,1.455843445796745e-09
1868,2.222943340512984e-08,0.0
1869,9.278686374791789e-09,8.790334349306761e-09
1870,2.2936195609446486e-08,1.3761717099214366e-08
1871,4.248470908407853e-09,2.1242354542039266e-09
1872,1.874675159552197e-08,2.4189357183956872e-09
1873,1.197200905078688e-08,4.788803742439285e-09
1874,4.779687479139483e-09,2.3898436007918633e-09
1875,9.15444320348513e-09,8.010138330405425e-09
1876,2.237025387152869e-08,0.0
1877,8.040260901509555e-09,1.8554447978047506e-09
1878,5.4351798062235446e-09,2.4156354694326865e-09
1879,3.6655952717623563e-09,2.443730107160036e-09
1880,1.6686400705623328e-08,3.8507077526617195e-09
1881,8.367008974552448e-09,1.3945015142624584e-09
1882,4.658769592325029e-09,1.3310770263785798e-09
1883,1.2006744043446815e-08,3.791603475633565e-09
1884,7.922036360241691e-09,2.6406787867472303e-09
1885,8.379326343899152e-09,1.933690763067375e-09
1886,6.453463929911862e-09,0.0
1887,5.223139698529167e-09,6.528924623161458e-10
1888,1.1413106015822905e-08,1.9021844099853524e-09
1889,3.759081934617825e-09,0.0
1890,6.554386478008212e-09,0.0
1891,3.187110020341777e-09,1.9122659011827636e-09
1892,5.014809900671935e-09,1.8805537127519756e-09
1893,2.463366621796581e-09,6.158416554491453e-10
1894,6.93169299736951e-09,6.301539290376468e-10
1895,3.0093072478365457e-09,3.0093072478365457e-09
1896,4.7176231254830725e-09,1.415286948747152e-08
1897,2.913356778044829e-09,1.7480140668268973e-09
1898,5.6583546736987955e-09,0.0
1899,2.7637891975018647e-09,5.527578395003729e-10
1900,9.34389543516545e-09,0.0
1901,7.265360812969135e-09,3.353243460679778e-09
1902,3.437198692335386e-09,9.820567692386817e-10
1903,5.940242298052567e-09,0.0
1904,3.7622376325430196e-09,1.6123875568041512e-09
1905,8.257214578755168e-09,5.160759042333041e-10
