year,leurs_DET aides_NOUN,leurs_DET raids_NOUN
1800,1.760732146749433e-07,0.0
1801,5.2386017301842e-08,0.0
1802,6.042168365638645e-08,0.0
1803,7.411288893699464e-08,0.0
1804,2.9662211797898408e-08,0.0
1805,1.2224374756897305e-07,0.0
1806,6.339671898558663e-08,0.0
1807,9.679647394733593e-08,0.0
1808,6.345007363961486e-08,0.0
1809,1.4909601020463015e-07,0.0
1810,2.8081521108447305e-08,0.0
1811,1.780024518893697e-07,0.0
1812,9.335229123053068e-08,0.0
1813,8.91479885467561e-08,0.0
1814,1.0698702368472368e-07,0.0
1815,3.776112933451259e-08,0.0
1816,6.721051448721482e-08,0.0
1817,7.161617787687646e-08,0.0
1818,1.2755660350194375e-07,0.0
1819,1.0351050150347874e-07,0.0
1820,1.0561168295453172e-07,0.0
1821,4.437669787193954e-08,0.0
1822,3.5089655625597516e-08,0.0
1823,1.0772128755665022e-07,0.0
1824,1.364220301169894e-07,0.0
1825,1.1359021812040737e-07,0.0
1826,1.0129181760021311e-07,0.0
1827,7.742509211539073e-08,0.0
1828,5.319934714975716e-08,0.0
1829,8.31598108153031e-08,0.0
1830,1.033246732617954e-07,0.0
1831,9.978371906527173e-08,0.0
1832,9.470978590275791e-08,0.0
1833,1.5522062835060524e-07,0.0
1834,1.297499778729616e-07,0.0
1835,1.1344631900556124e-07,0.0
1836,1.1761312634916976e-07,0.0
1837,9.323574090558395e-08,0.0
1838,1.5654161078515472e-07,0.0
1839,1.0906701009005815e-07,0.0
1840,1.4586586871701002e-07,0.0
1841,1.2327453191574023e-07,0.0
1842,8.586579269831418e-08,0.0
1843,9.391988697871057e-08,0.0
1844,1.0153838303494922e-07,0.0
1845,9.207375806230544e-08,0.0
1846,1.1767547825058955e-07,0.0
1847,1.5262823183093133e-07,0.0
1848,1.3515972341338056e-07,0.0
1849,8.630797054820505e-08,0.0
1850,5.974316508172706e-08,0.0
1851,8.835730924694474e-08,0.0
1852,6.575650957074686e-08,0.0
1853,1.0868915900630327e-07,0.0
1854,9.6639361069073e-08,0.0
1855,1.1303775693249918e-07,0.0
1856,1.009551908737194e-07,0.0
1857,8.396195783078042e-08,0.0
1858,8.514996352460003e-08,4.893676019968041e-10
1859,1.0489877411146153e-07,0.0
1860,1.208376554373558e-07,4.577183909670879e-10
1861,1.3063220016817922e-07,0.0
1862,1.0481728199285278e-07,0.0
1863,1.4434453987632878e-07,0.0
1864,8.53461585847981e-08,4.794727948009836e-10
1865,8.754730629334517e-08,4.706844358715045e-10
1866,8.466166312448564e-08,0.0
1867,9.317397875463485e-08,4.85281148598915e-10
1868,7.607406360410351e-08,0.0
1869,9.034510384253736e-08,1.4650557433881772e-09
1870,1.2385545122839403e-07,0.0
1871,1.826842448426902e-07,0.0
1872,1.6267342184406175e-07,0.0
1873,1.2570609841944247e-07,0.0
1874,1.822255850103538e-07,0.0
1875,9.497734748675768e-08,0.0
1876,1.0278225026638665e-07,0.0
1877,1.0081250423343846e-07,1.2369631985365004e-09
1878,1.050801401447643e-07,0.0
1879,9.958200386517291e-08,0.0
1880,9.113341503663719e-08,5.134277003548959e-09
1881,1.401474063467134e-07,0.0
1882,9.650308796516072e-08,3.3276925659464496e-09
1883,7.520013522999136e-08,1.2638677882037541e-09
1884,1.472178468020502e-07,6.601696966868076e-10
1885,1.3020184042034089e-07,3.8673814151124475e-09
1886,1.3165066853337848e-07,0.0
1887,1.3776030982626253e-07,6.528924623161458e-10
1888,1.084245115912097e-07,6.340614699951175e-10
1889,1.7354429093785484e-07,0.0
1890,1.0290386553979403e-07,6.554386478008212e-10
1891,1.1091142937402765e-07,1.2748440081367107e-09
1892,1.1032581714864875e-07,6.268512375839919e-10
1893,1.884475440139255e-07,1.2316833108982905e-09
1894,1.4556556071632087e-07,1.2603078580752936e-09
1895,1.6190072504862485e-07,0.0
1896,1.3032434725834818e-07,7.076434549446731e-09
1897,1.6256531198965973e-07,6.4093846896540185e-09
1898,1.5164391697908286e-07,1.6975064687230201e-09
1899,1.497973762809579e-07,2.7637891975018647e-09
1900,1.136840636073444e-07,7.78657960331941e-09
1901,1.5648468854045916e-07,2.235495566438317e-09
1902,1.3847000063238468e-07,3.437198747846537e-09
1903,1.9926812933057647e-07,3.2401321625741275e-09
1904,9.136862644254506e-08,8.061937784020756e-09
1905,1.4243694579363364e-07,3.6125313851442797e-09
1906,1.6461390772715134e-07,6.173021205313489e-09
1907,1.6405670510977188e-07,5.657127544189677e-09
1908,1.699340612670852e-07,1.4734167219643268e-09
1909,1.6117882439825593e-07,5.5009836685826485e-09
1910,2.1430044394588066e-07,6.412980813053082e-09
