year,sans_ADP abattre_VERB,sans_ADP rabattre_VERB
1800,2.829747991484055e-08,3.144164484325529e-09
1801,1.904946067554647e-08,1.1905912700171939e-08
1802,6.713520406265161e-09,0.0
1803,1.0921899473714802e-07,0.0
1804,3.2134061411781545e-08,2.4718509461507665e-09
1805,8.528632911009026e-09,0.0
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,3.701041606518629e-08,0.0
1808,5.6651849433819734e-08,2.2660739951163578e-09
1809,2.710836710662079e-08,0.0
1810,3.7442028144596406e-08,0.0
1811,3.760615285841595e-08,2.5070767684098882e-09
1812,4.800974906515876e-08,0.0
1813,2.300593315851529e-08,8.627225156487839e-09
1814,3.776012391654149e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,3.9399267848239106e-08,0.0
1817,7.317304806520042e-08,6.227493631882908e-09
1818,3.933988534932098e-08,1.1921177378582115e-09
1819,3.726378139390363e-08,1.035105001712111e-09
1820,4.50926265216367e-08,3.5599443393152796e-09
1821,5.5224333550540905e-08,0.0
1822,6.115625694746996e-08,1.0025615893027862e-09
1823,5.237824041159911e-08,0.0
1824,6.315834610859383e-08,1.0947446504872005e-08
1825,2.0252519661312363e-08,4.4027217427355936e-09
1826,3.8755132436563144e-08,2.642395191543301e-09
1827,5.346018383534101e-08,9.217273055917019e-10
1828,5.4116576997387256e-08,3.668920500743411e-09
1829,4.715246859632316e-08,1.714635211591542e-09
1830,1.7742621594152297e-08,6.262101504006523e-09
1831,6.548306430431694e-08,1.5591206103948707e-09
1832,3.92369123858316e-08,1.3529969367098715e-09
1833,3.1275797063301525e-08,3.4750886612755494e-09
1834,3.733812548034621e-08,9.334530925997342e-10
1835,5.974839467626225e-08,0.0
1836,6.51912728244497e-08,1.747394939854985e-08
1837,4.6617870452791976e-08,5.566312633042969e-09
1838,6.817134590164642e-08,1.1361890983607736e-08
1839,3.705481788074394e-08,6.9914751765765e-10
1840,2.7389661649834807e-08,1.3376346252869098e-08
1841,2.3113974734201292e-08,6.420548537278137e-10
1842,5.9032732480091e-08,3.3541325272778977e-09
1843,3.36693943836508e-08,4.7255288571079745e-09
1844,6.915587391631561e-08,4.9397050894128824e-09
1845,5.7476347070650746e-08,5.022204985216661e-09
1846,3.4541559168488334e-08,7.025401593807601e-09
1847,4.314578827546711e-08,9.707802561820245e-09
1848,4.585776380849893e-08,2.413566457803995e-09
1849,6.033178823194874e-08,7.54147322368226e-09
1850,4.1412874907109654e-08,7.467895635215882e-09
1851,3.740674614505224e-08,1.3543821175687754e-08
1852,2.539112742283578e-08,1.4323200403509873e-08
1853,2.6276499198729653e-08,7.1663179834757784e-09
1854,3.8447918460082775e-08,1.0391328686409906e-08
1855,2.7065379271107304e-08,6.8990182455763716e-09
1856,3.36517302912398e-08,1.0354378410237786e-08
