year,veux_VERB établir_VERB,veux_VERB rétablir_VERB
1800,5.973912209356058e-08,0.0
1801,8.096020565062645e-08,0.0
1802,2.6854081625060644e-08,4.475680270843441e-09
1803,4.290746247193056e-08,1.950339223455444e-09
1804,7.168367943677367e-08,1.4831105232815389e-08
1805,1.7057265822018053e-08,5.685755422035754e-09
1806,3.458002950651462e-08,2.881669125542885e-09
1807,7.971474502710407e-08,5.693910232196231e-09
1808,2.2660739062985158e-08,1.1330369531492579e-08
1809,2.4849335034105025e-08,0.0
1810,4.680253340438867e-08,0.0
1811,3.259199843341776e-08,0.0
1812,3.467370746079723e-08,0.0
1813,1.7254450312975678e-08,2.8757416448144113e-09
1814,5.034683425719777e-08,0.0
1815,6.74305908887618e-08,0.0
1816,7.416332437060191e-08,0.0
1817,3.7364962679475866e-08,3.113746815941454e-09
1818,8.464036227451288e-08,4.768470951432846e-09
1819,5.693077653745604e-08,0.0
1820,5.93324074316115e-08,1.3053129244156025e-08
1821,9.072569184809254e-08,0.0
1822,6.917674966189225e-08,0.0
1823,6.423746157224741e-08,0.0
1824,2.6947560627377243e-08,4.210556348027694e-09
1825,5.987701001686219e-08,8.805443041381977e-10
1826,4.7563116112314674e-08,0.0
1827,2.5808365222701468e-08,9.217273055917019e-10
1828,9.264024214417077e-08,0.0
1829,5.744027831156018e-08,5.143905745796928e-09
1830,3.339787468803479e-08,2.0873671680021744e-09
1831,4.5214498811674275e-08,1.5591206103948707e-09
1832,5.953186388296672e-08,1.2176972319366541e-08
1833,3.4750886612755494e-08,1.1583628500844156e-09
1834,7.187588835222414e-08,0.0
1835,9.832014313815307e-08,7.563087933704082e-10
1836,7.930485423912614e-08,0.0
1837,6.470838798122713e-08,0.0
1838,7.637716237240966e-08,3.1560809521380406e-09
1839,8.249940464111205e-08,2.0974426639952526e-09
1840,6.242294858793684e-08,7.64362617644565e-09
1841,4.6227949468402585e-08,1.2841097074556274e-09
1842,1.0531976357697204e-07,0.0
1843,1.0100817604552503e-07,0.0
1844,5.927646284931143e-08,2.195424508855126e-09
1845,8.649353588907616e-08,4.464182357111213e-09
1846,1.1884637984849178e-07,4.6836010625384006e-09
1847,4.314578916364553e-08,2.6966118227278457e-09
1848,1.1504666730388635e-07,5.63165514222419e-09
1849,1.0641856817983353e-07,1.4245005175439474e-08
1850,7.943125268639051e-08,6.1100964288129944e-09
1851,8.835731080125697e-08,7.094382858952031e-09
1852,4.7526981461487594e-08,4.557382027314816e-09
1853,1.0331442013011838e-07,7.763511611358354e-09
1854,1.0495242008801142e-07,3.63696517347023e-09
1855,5.7845614520601885e-08,5.306937111981824e-09
1856,8.231730674879145e-08,3.1063134287023786e-09
1857,6.345961622855611e-08,5.857811125054013e-09
1858,5.676664116549546e-08,8.31924928945682e-09
1859,6.823512421760825e-08,9.165912473463322e-09
1860,7.323494344291248e-08,5.492620580582752e-09
1861,1.1129674248877564e-07,2.357981809808507e-09
1862,8.042015764431198e-08,2.2589932147099034e-09
1863,1.0938219929812476e-07,6.99246927027275e-09
1864,8.486668434670719e-08,7.1920918109924514e-09
1865,9.931441269372954e-08,8.001635798393636e-09
1866,6.033359767343427e-08,3.8924903300596725e-09
1867,9.608567097529885e-08,1.261730986357179e-08
1868,4.791677810089823e-08,5.9278488784286765e-09
1869,6.690421372468336e-08,1.12320943657096e-08
1870,7.282241654138488e-08,6.880858549607183e-09
1871,1.072738911034321e-07,4.248470908407853e-09
1872,5.805445724149649e-08,3.0236697590169115e-09
1873,7.48250528204153e-08,2.9930022904522957e-09
1874,4.361464789326419e-08,2.9873046258899194e-09
1875,4.806082642971887e-08,2.8607636259891933e-09
1876,3.567148709748835e-08,4.836811839936672e-09
1877,5.690030846494665e-08,1.2369631985365004e-09
1878,4.589707458535486e-08,1.8117265465633636e-09
1879,4.032154521382836e-08,6.10932526790009e-10
1880,7.444701566328149e-08,5.776061406947974e-09
1881,7.181682804002776e-08,7.669758161910067e-09
1882,4.3925542314582344e-08,1.9966155395678697e-09
1883,6.824885900869049e-08,1.8958017378167824e-09
1884,5.479408571318345e-08,5.281357573494461e-09
1885,4.060750313783501e-08,6.445635580831777e-09
1886,5.6145136539953455e-08,1.936039106809062e-09
1887,7.377684596576728e-08,4.570247291724172e-09
1888,4.628648753168818e-08,1.268122939990235e-09
1889,3.00726554769426e-08,8.771191772893872e-09
1890,4.5880703680722945e-08,4.5880703680722945e-09
1891,4.5894385181100006e-08,1.2748440081367107e-09
1892,4.0745330665004076e-08,7.522214851007902e-09
1893,7.574852389780062e-08,5.542574843531156e-09
1894,5.041231432301174e-08,2.520615716150587e-09
1895,4.092657945875544e-08,7.824199066419624e-09
1896,4.1279204054944785e-08,1.179405795248556e-09
1897,3.379494017963225e-08,2.9133566670225264e-09
1898,4.5266837389590364e-08,5.6583546736987955e-09
