year,leurs_DET arts_NOUN,leurs_DET rares_ADJ
1800,6.697070524808169e-07,3.144164395507687e-08
1801,5.810085745849847e-07,3.095537337571841e-08
1802,5.885519556159124e-07,5.147032311469957e-08
1803,4.797834440850579e-07,7.996391104825307e-08
1804,6.451530942808148e-07,6.179627121127851e-08
1805,7.078765733581349e-07,1.7057265822018053e-08
1806,5.648071566000112e-07,2.305335300434308e-08
1807,7.430552741993779e-07,5.693910054560547e-08
1808,7.387401268488247e-07,5.211970233176544e-08
1809,4.721373887406344e-07,7.90660692473466e-08
1810,3.9314130306777884e-07,4.680253340438867e-08
1811,6.117267474792243e-07,7.019814773912003e-08
1812,6.107906767027771e-07,2.9339290108509886e-08
1813,5.780240712738305e-07,5.751483289628823e-09
1814,4.310947678831667e-07,4.72001566720337e-08
1815,4.234641099998271e-07,2.4275012222574333e-08
1816,4.403447402268057e-07,7.416332437060191e-08
1817,6.04066890730337e-07,7.161617787687646e-08
1818,3.3379297725844026e-07,3.814776761146277e-08
1819,5.247982581835231e-07,3.519356894798875e-08
1820,6.111237560446625e-07,2.610625848831205e-08
1821,4.4080853101036155e-07,1.8736827200882544e-08
1822,4.661911532366503e-07,4.6117833107928163e-08
1823,3.251403942750031e-07,2.7671523739059012e-08
1824,4.244240940920463e-07,2.189489300974401e-08
1825,5.820398083500322e-07,2.993850500843109e-08
1826,5.443334156751689e-07,4.932471142637951e-08
1827,5.281497443831995e-07,3.410390903013649e-08
1828,4.356843135155941e-07,6.420611003976617e-08
1829,6.575626281812852e-07,4.200856196234781e-08
1830,4.769634003309875e-07,3.444155893816969e-08
1831,3.788663036630169e-07,5.14509785887185e-08
1832,5.114328511801602e-07,7.712082350508354e-08
1833,5.479056355284229e-07,3.70676112027013e-08
1834,4.6579308410343856e-07,5.414027981487379e-08
1835,3.5697774336540533e-07,8.31939672707449e-08
1836,3.884593628988853e-07,5.107770206791429e-08
1837,4.606123740202861e-07,6.609996183737366e-08
1838,3.017213447975564e-07,4.41851348842448e-08
