year,devons_VERB appeler_VERB,devons_VERB rappeler_VERB
1800,4.087413785214267e-08,5.65949598296811e-08
1801,6.905429472681135e-08,3.5717739876872656e-08
1802,6.713520406265161e-09,4.699464284385613e-08
1803,1.950339267864365e-08,5.265916058760922e-08
1804,2.9662210465630778e-08,9.88740396223875e-08
1805,8.528632911009026e-09,5.685755510853596e-08
1806,8.645007376628655e-09,9.797675204481493e-08
1807,5.693910232196231e-09,8.256169792275614e-08
1808,9.064295980465431e-09,1.0197332755979005e-07
1809,3.840352036377226e-08,3.840352036377226e-08
1810,7.020380277111826e-09,7.254392642153107e-08
1811,7.521229861140455e-09,5.515568801683912e-08
1812,1.3336041604361526e-08,2.1604387256957125e-07
1813,4.888760685162197e-08,1.0352670187785407e-07
1814,6.293354282149721e-09,5.97868634599763e-08
1815,5.394447111228828e-09,1.1328339155625144e-07
1816,4.8669683394564345e-08,1.274682119856152e-07
1817,6.227493631882908e-09,8.251429051142622e-08
1818,2.98029441125891e-08,8.464036227451288e-08
1819,2.898294049202832e-08,1.1593176196811328e-07
1820,5.814575843032799e-08,1.5545090548130247e-07
1821,2.859831660373402e-08,1.4595002539863344e-07
1822,1.804610860745015e-08,1.5539704634193185e-07
1823,1.8777104315859106e-08,9.685032864581444e-08
1824,1.1789557774477544e-08,2.054751462310378e-07
1825,2.7296874094417944e-08,1.4528980329941987e-07
1826,2.290075862276808e-08,1.761596877258853e-07
1827,1.474763688946723e-08,1.6683264902894734e-07
1828,2.109629271274116e-08,2.1463185362335935e-07
1829,4.029392641768936e-08,2.151867164457144e-07
1830,3.339787468803479e-08,1.7325147894098336e-07
1831,7.016042502527853e-08,1.387617345471881e-07
1832,3.6530916958099624e-08,1.7453660916544322e-07
1833,1.0772774317047151e-07,2.1313876175099722e-07
1834,4.667265329771908e-08,1.941582468134584e-07
1835,6.050470346963266e-08,1.8983351424139983e-07
1836,3.696412420595152e-08,2.2648927711088618e-07
1837,9.393152566872232e-08,1.7603464641524624e-07
1838,5.3653376852480505e-08,1.9630823544503073e-07
1839,5.663094881924735e-08,1.922655741282142e-07
1840,6.751869818799605e-08,2.2739789073966676e-07
1841,1.0208672307499e-07,2.6773687977765803e-07
1842,5.2995293486901573e-08,3.0589689004045795e-07
1843,7.383638944702398e-08,1.896118391186974e-07
1844,1.108689389184292e-07,2.8869831680822244e-07
1845,6.584669165476953e-08,2.723151339978358e-07
1846,7.669396495657566e-08,2.8160150122857885e-07
1847,9.923531507638472e-08,2.3298726148368587e-07
1848,6.677534258869855e-08,3.1135007816374127e-07
1849,1.1563592750007956e-07,3.787495472806768e-07
1850,9.233034603539636e-08,3.116149116522138e-07
1851,7.932809609201286e-08,2.5475281972831e-07
1852,6.640756566866912e-08,3.0794879535278596e-07
1853,5.792773905000104e-08,2.573902690983232e-07
1854,5.455447649183043e-08,3.2317032605533313e-07
1855,4.351688431825096e-08,2.3881216293375473e-07
1856,8.128186834710505e-08,2.8681628805315995e-07
1857,6.59003731584562e-08,2.2406126731766562e-07
1858,8.906490478466367e-08,2.6572661226964556e-07
1859,1.1202781280417184e-07,2.4187824010368786e-07
1860,8.284703056915532e-08,3.780753843329876e-07
1861,6.130753149591328e-08,2.980489171022782e-07
1862,7.499857446191527e-08,3.2845758823896176e-07
1863,9.140156009834755e-08,2.9518210453716165e-07
1864,5.8495679411407764e-08,2.3014693795175845e-07
1865,1.0213852164042692e-07,2.3722495257061382e-07
1866,9.147352386662533e-08,2.3208973232158314e-07
1867,1.0045319953633225e-07,2.824336320372822e-07
1868,1.33870585727891e-07,3.225737827960984e-07
1869,9.815873625029781e-08,2.617566394746973e-07
1870,7.626285025708057e-08,3.388822733541019e-07
1871,1.0302542108320267e-07,2.942066146260913e-07
1872,1.1852785064547788e-07,3.108332293777494e-07
1873,1.0355788049309922e-07,2.8553242259476974e-07
1874,8.304706966555386e-08,3.3637050478318997e-07
1875,8.52507540116676e-08,2.8550419983730535e-07
1876,9.310862481015647e-08,2.714660638503119e-07
1877,7.421779457672528e-08,3.3892791861944715e-07
1878,8.273551799220513e-08,3.0437007580985664e-07
1879,6.720257772485638e-08,2.9752413865935523e-07
1880,9.04916319655058e-08,3.009969873346563e-07
1881,8.2972839265949e-08,3.0469857392745325e-07
1882,9.650308641084848e-08,3.1080648454917537e-07
1883,6.19295192905156e-08,2.4898196215872304e-07
1884,6.073561564789998e-08,2.8387296424625674e-07
1885,6.574548194748786e-08,3.0358944513864117e-07
1886,6.25986018576441e-08,2.839524029241147e-07
1887,7.181817096579834e-08,3.0947103368816897e-07
1888,4.9456794215529953e-08,2.6313551870771335e-07
1889,4.009687515349469e-08,2.0674951883847825e-07
1890,7.865263995654459e-08,2.1498387070550962e-07
1891,6.246735750892185e-08,2.753663181920274e-07
1892,3.8864776286118285e-08,2.2566644020116655e-07
1893,4.002970754868329e-08,2.2355051498834655e-07
1894,3.213785149114301e-08,1.9660802763610263e-07
1895,5.717683748684976e-08,2.1667011651516077e-07
1896,4.8945342001616154e-08,2.759809660801693e-07
1897,4.952706689209663e-08,2.3423388029186754e-07
1898,7.016360115130738e-08,2.376509087298473e-07
1899,3.924580482816964e-08,2.393441320691636e-07
1900,5.4506056557102056e-08,2.3826933670534345e-07
1901,5.756401222356544e-08,1.9840022957851033e-07
1902,4.713872669981356e-08,1.9248312810304924e-07
1903,4.050165358648883e-08,2.3598963139193074e-07
1904,3.708491291831706e-08,2.0853545379395655e-07
1905,2.9932401446330914e-08,2.2862163007175695e-07
1906,4.0639058340730116e-08,2.1091156554575718e-07
1907,3.857132568896304e-08,2.2011369082974852e-07
1908,4.125566732682273e-08,2.1806567929161247e-07
1909,2.8605114721358404e-08,1.9968570086348336e-07
1910,2.3514262537105424e-08,1.60324518105881e-07
1911,3.2454281040372734e-08,1.7610437907933374e-07
1912,3.64659484830554e-08,1.7295278098572453e-07
1913,2.969674284258872e-08,1.935591313895202e-07
1914,2.4108278040557707e-08,2.122867783782567e-07
1915,2.4739600590351074e-08,1.9202641965421208e-07
1916,4.394984642885902e-08,2.0876177586615086e-07
1917,5.04455535121906e-08,1.6997957175135525e-07
1918,1.033773866510046e-08,2.3087616796146904e-07
1919,3.775218004875569e-08,1.8231540366286936e-07
1920,2.1202248845497706e-08,1.4538684922627e-07
1921,2.8019165654313838e-08,1.537267735329806e-07
1922,2.0658220023506146e-08,2.028932328812516e-07
1923,1.3800733000834953e-08,1.5180805235104344e-07
1924,3.0939897754933554e-08,1.8177190952428646e-07
1925,5.49908882874206e-08,1.4957521443648147e-07
1926,1.7833821530643945e-08,1.3152443045783002e-07
1927,2.2298449309232637e-08,1.438250052387957e-07
1928,2.170947865920425e-08,1.9310009236050973e-07
1929,1.7824650200282122e-08,1.8381670940925687e-07
1930,1.8906487042613662e-08,1.5020152943634457e-07
1931,1.710803587684495e-08,1.6651820544666407e-07
1932,2.082311922890767e-08,1.90695942592356e-07
1933,1.3764794637438627e-08,1.3305968593613215e-07
1934,2.036868629318178e-08,1.8212001862139005e-07
1935,2.0346082152400413e-08,1.4242257861951657e-07
1936,3.15242587589637e-08,1.7823330722421815e-07
1937,1.7627565185307503e-08,1.6368453259474336e-07
1938,1.2965214457594243e-09,1.5558256905023882e-07
1939,1.2235240376412548e-08,1.5294050115244318e-07
1940,1.5214697057785997e-08,1.0903866609623947e-07
1941,3.246652724442356e-08,1.2986610897769424e-07
1942,1.517105907566929e-08,9.102635090130207e-08
1943,5.806470415592457e-09,8.709705667797607e-08
1944,1.927911696952833e-08,1.0282195717081777e-07
1945,1.9606536838523425e-08,8.496165548876888e-08
1946,2.645009899993056e-08,1.3085838190818322e-07
1947,1.6689218895749036e-08,1.3589793468327116e-07
1948,1.848220954059343e-08,1.0980606646171509e-07
1949,2.0615717133409817e-08,1.1682239886567913e-07
1950,1.2762433776458693e-08,9.997239658332546e-08
1951,2.0256663901818683e-08,1.130108557845233e-07
1952,2.5307528517259925e-08,1.370824520563474e-07
1953,2.477980309834038e-08,1.088156551531938e-07
1954,1.07497895029951e-08,1.0652064474925282e-07
1955,1.783265446420046e-08,1.1450441661509103e-07
1956,1.831439710997529e-08,1.159911846571049e-07
1957,1.0602045463770082e-08,1.3605958315565658e-07
1958,1.4062814024384807e-08,1.2160198537003453e-07
1959,1.3176271629333769e-08,1.1781136777244683e-07
1960,1.9378333604436193e-08,9.965999936412118e-08
1961,1.945484662257968e-08,1.2784613545591128e-07
1962,1.3952304200870458e-08,1.3635205675655016e-07
1963,1.8104948651398445e-08,1.0927630000878708e-07
1964,2.251068309533366e-08,1.2046257324982435e-07
1965,4.1587529864273165e-08,1.061576426764077e-07
1966,1.163205709531212e-08,8.53017496638131e-08
1967,1.232583901611406e-08,9.466243966471666e-08
1968,1.4372530721118437e-08,1.0509913295209117e-07
1969,2.497966811176866e-08,1.0128120209174085e-07
1970,1.6555409487750694e-08,1.126687649843916e-07
1971,8.735275613958038e-09,9.300499215214586e-08
1972,1.4364410994005539e-08,8.413440610866019e-08
1973,1.1577728109557484e-08,8.435201692691408e-08
1974,1.6314157136321228e-08,7.988311523376979e-08
1975,1.4849848462006321e-08,8.567220532995634e-08
1976,1.199840671262109e-08,8.170343335223151e-08
1977,2.11564152863275e-08,8.109959281910051e-08
1978,1.4257419245211622e-08,8.257421768576023e-08
1979,1.462993370893173e-08,9.304637416107653e-08
1980,1.762396628635088e-08,6.196814439363152e-08
1981,8.855769451088236e-09,6.072527725109467e-08
1982,1.0552754226011984e-08,6.517877437772768e-08
1983,1.2630632539867293e-08,6.44162270191373e-08
1984,9.278413592994639e-09,5.741018327398706e-08
1985,7.218669662023558e-09,5.0530687190075696e-08
1986,4.196139880008332e-09,6.29420995323926e-08
1987,7.944062296871834e-09,5.071978037562985e-08
1988,1.199310784016916e-08,5.936588109989316e-08
1989,1.4269117443177493e-08,5.707646977270997e-08
1990,9.262707045820662e-09,4.35892069106103e-08
1991,7.6199047072123e-09,4.278869525364826e-08
1992,8.264915862810085e-09,5.3997453619558655e-08
1993,8.308811416668505e-09,4.3759737167192725e-08
1994,8.967375286772494e-09,4.747434090290881e-08
1995,8.675921314704738e-09,5.1513282528503623e-08
1996,1.4946657245218375e-08,5.017806614660003e-08
1997,1.2946214766884623e-08,5.5620777317244574e-08
1998,9.059445638115449e-09,5.864798779953162e-08
1999,5.0272213059088244e-09,6.032665567090589e-08
2000,1.2812291672048559e-08,4.5063920595111995e-08
2001,7.448059946568719e-09,6.221321058319518e-08
2002,1.0076809608960957e-08,5.783212486676348e-08
2003,1.2917460878725251e-08,7.167107440864129e-08
