year,ses_DET aides_NOUN,ses_DET raids_NOUN
1800,7.011486573560433e-07,0.0
1801,7.476913097548277e-07,0.0
1802,6.668763319339632e-07,0.0
1803,5.792507540292036e-07,0.0
1804,5.092013051211097e-07,0.0
1805,6.197473529923059e-07,0.0
1806,7.434706503772759e-07,0.0
1807,6.491057717994408e-07,0.0
1808,5.030684397944185e-07,0.0
1809,9.962324476475715e-07,0.0
1810,3.954814329354406e-07,0.0
1811,4.5378089907899266e-07,0.0
1812,4.640942314892982e-07,0.0
1813,3.795979068854649e-07,0.0
1814,1.4443247664530645e-06,0.0
1815,1.0734950204316362e-06,0.0
1816,8.459254399184601e-07,0.0
1817,8.08017318831844e-07,0.0
1818,1.0049552559010522e-06,0.0
1819,7.287139194289693e-07,0.0
1820,1.4536439323364903e-06,1.1866481131050932e-09
1821,1.0847637526012477e-06,0.0
1822,8.331286807106153e-07,0.0
1823,1.5683824106105249e-06,0.0
1824,1.086323482724083e-06,0.0
1825,1.3472328284080959e-06,0.0
1826,8.596592921961133e-07,0.0
1827,1.0249607598211696e-06,0.0
1828,1.2079920566065994e-06,0.0
1829,1.1959580152876015e-06,0.0
1830,1.1626635192385493e-06,0.0
1831,1.3751444338794272e-06,0.0
1832,8.929779919952807e-07,0.0
1833,9.20898485468058e-07,0.0
1834,1.0043954752347872e-06,0.0
1835,7.192496553898309e-07,0.0
1836,7.621330770923862e-07,0.0
1837,7.542353506195809e-07,0.0
1838,7.296859116934229e-07,0.0
1839,7.459903863527018e-07,0.0
1840,9.000370271294855e-07,0.0
1841,7.101126566766425e-07,0.0
1842,8.65366182267735e-07,0.0
1843,7.938888209046979e-07,0.0
1844,7.766314347179559e-07,0.0
1845,9.235277280694731e-07,0.0
1846,7.763068978761112e-07,0.0
1847,1.017162027494578e-06,0.0
1848,9.276140566782942e-07,0.0
1849,1.0666994647579031e-06,0.0
1850,8.778172073675705e-07,0.0
1851,9.570967403060848e-07,0.0
1852,7.272279489711764e-07,0.0
1853,9.692445370745872e-07,0.0
1854,9.424935463187012e-07,0.0
1855,8.926268186826292e-07,0.0
1856,8.050529123337924e-07,0.0
1857,1.0553822111791789e-06,0.0
1858,8.192013911667573e-07,0.0
1859,8.64651011678319e-07,0.0
1860,9.71736177746152e-07,0.0
1861,1.122399355679704e-06,0.0
1862,1.0038965791991927e-06,0.0
1863,1.0328875328369236e-06,0.0
1864,6.707824367069293e-07,0.0
1865,7.935739594344682e-07,0.0
1866,8.631597068209373e-07,0.0
1867,7.963463879434585e-07,0.0
1868,7.44933027263528e-07,0.0
1869,7.442483234143538e-07,0.0
1870,9.122871489353201e-07,5.734048791339319e-10
1871,1.1630189327149765e-06,0.0
1872,8.756547131838488e-07,0.0
