year,pas_ADV établi_VERB,pas_ADV etabli_VERB,pas_ADV rétabli_VERB
1800,5.407962930803478e-07,0.0,3.772997558826319e-08
1801,5.333848775990191e-07,0.0,2.2383116515811707e-07
1802,5.840762469233596e-07,2.2378401354217203e-09,1.096541666356643e-07
1803,3.1400460898112215e-07,1.950339223455444e-09,7.80135707145746e-08
1804,5.56166469323216e-07,2.4718509461507665e-09,6.426812149129546e-08
1805,5.742613211623393e-07,0.0,8.812921237222326e-08
1806,5.215821374804364e-07,2.881669125542885e-09,1.930718269704812e-07
1807,1.1558637424968765e-06,0.0,1.366538526781369e-07
1808,5.09866652009805e-07,4.5321479902327155e-09,1.2916622438297054e-07
1809,6.551188675985031e-07,4.518061036407062e-09,1.6716825257390155e-07
1810,7.160787731663731e-07,4.680253518074551e-09,1.661489932303084e-07
1811,5.139507379681163e-07,2.5070767684098882e-09,1.780024518893697e-07
1812,6.721364798067953e-07,2.6672082320544632e-09,4.267533171287141e-08
1813,6.039057325324393e-07,1.4378708002027452e-08,1.2653262615458516e-07
1814,5.632551847156719e-07,0.0,6.293354459785405e-08
1815,6.095725098020921e-07,8.091670444798638e-09,5.3944472000466703e-08
1816,5.214608904680063e-07,2.3176038865813098e-09,1.668674798338543e-07
1817,5.480194431584096e-07,3.113746815941454e-09,8.407116069975018e-08
1818,6.783150183764519e-07,0.0,1.740491910595665e-07
1819,6.013959819028969e-07,3.1053151161586356e-09,1.1282644862831148e-07
1820,4.900856538370135e-07,4.746592452420373e-09,1.6731738128328288e-07
1821,5.394234108280216e-07,0.0,7.297501269931672e-08
1822,6.185804863889643e-07,0.0,9.825103575167304e-08
1823,6.305154442998173e-07,9.882686891060644e-10,1.2946320282480883e-07
1824,5.524249786503788e-07,3.3684450784221553e-09,1.1621135342920752e-07
1825,6.128588552201109e-07,8.805443041381977e-10,5.987701001686219e-08
1826,6.914267487445613e-07,1.0569580766173203e-08,1.7087489823097712e-07
1827,6.378352850333613e-07,1.013900075008678e-08,1.649891885335819e-07
1828,8.869615157891531e-07,2.7516904310687096e-09,1.155709981048858e-07
1829,8.333126970683224e-07,1.714635211591542e-09,1.4574399642697244e-07
1830,7.681510965085181e-07,4.174734336004349e-09,1.3359149875213916e-07
1831,1.041492623699014e-06,3.1182412207897414e-09,1.4343909526814969e-07
1832,9.03801947060856e-07,1.3529969367098715e-09,1.5559464827674674e-07
1833,7.401938546536257e-07,1.1583628500844156e-09,1.5753734317058843e-07
1834,8.755790190662083e-07,1.8669061851994684e-09,1.586870297387577e-07
1835,8.85637575720466e-07,7.563087933704082e-10,8.773182003096736e-08
1836,7.507077839363774e-07,6.720750067579218e-10,9.946710122221702e-08
1837,6.589122563127603e-07,1.3915781860163179e-09,1.071515214334795e-07
1838,6.217479722181452e-07,6.312161904276081e-09,1.4076121601647174e-07
1839,8.298881084556342e-07,2.0974426639952526e-09,1.0557127438914904e-07
1840,7.216857511593844e-07,6.369688665408546e-10,1.484137470697533e-07
