year,devions_VERB ajouter_VERB
1800,1.2576657937302116e-08
1801,0.0
1802,5.147032311469957e-08
1803,0.0
1804,4.943701892301533e-09
1805,0.0
1806,8.645007376628655e-09
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,2.3807414706311647e-08
1820,0.0
1821,0.0
1822,0.0
1823,3.9530747564242574e-09
1824,8.421112696055388e-10
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,3.668920500743411e-09
1829,1.714635211591542e-09
1830,4.174734336004349e-09
1831,1.5591206103948707e-09
1832,2.705993873419743e-09
1833,6.950177322551099e-09
1834,9.334530925997342e-10
1835,1.5126175867408165e-09
1836,1.008112526790228e-08
1837,0.0
1838,6.312161904276081e-10
1839,6.9914751765765e-10
1840,3.1848443882154243e-09
1841,4.494383976094696e-09
1842,8.049918065466954e-09
1843,2.3627644285539873e-09
1844,3.2931368743049916e-09
1845,1.0044410636567136e-08
1846,1.1709002656346001e-09
1847,3.775256551818984e-09
1848,0.0
1849,8.379414495607307e-09
1850,1.1541293254424545e-08
1851,3.8696632564949596e-09
1852,0.0
1853,4.180352064508952e-09
1854,5.195664343204953e-09
1855,1.539011762474729e-08
1856,3.6240324075009767e-09
1857,2.9289055625270066e-09
1858,9.297984604472731e-09
1859,4.582956236731661e-09
1860,4.119465657481669e-09
1861,1.4147891747029462e-09
1862,1.2198563048571032e-08
1863,5.9935452156878455e-09
1864,9.589455896019672e-10
1865,1.3649848362717876e-08
1866,2.432806400776144e-09
1867,5.82337378318698e-09
1868,2.4699371437009177e-09
1869,2.9301114867763545e-09
1870,1.1468097582678638e-09
1871,4.248470908407853e-09
1872,6.047339295989218e-10
1873,1.6760813181804224e-08
1874,7.766991494406739e-09
1875,2.2886108563824337e-09
1876,1.0278225381910033e-08
1877,9.27722432209066e-09
1878,0.0
1879,3.665595160740054e-09
1880,4.492492600149944e-09
1881,4.8807553554297556e-09
1882,4.6587693702804245e-09
1883,2.5277355764075082e-09
1884,3.300848483434038e-09
1885,1.933690763067375e-09
1886,5.808117542471791e-09
1887,3.9173548849191775e-09
1888,4.4384300679212174e-09
1889,6.265136853755848e-09
1890,1.2453334363726754e-08
1891,1.9122659011827636e-09
1892,6.268512375839919e-09
1893,6.158416554491453e-10
1894,1.3863386882917439e-08
1895,1.8055843487019274e-09
1896,0.0
1897,5.826713556089658e-10
1898,1.6975064687230201e-09
1899,1.6582735185011188e-09
1900,1.5573159428683425e-09
1901,8.38310842965484e-09
1902,4.910283735171106e-09
1903,5.400220270956879e-09
1904,3.7622376325430196e-09
1905,2.0643036169332163e-09
1906,5.144184522798412e-10
1907,6.1714118260169926e-09
1908,1.4734167219643268e-09
1909,1.6502950117569526e-09
1910,6.412980813053082e-09
1911,3.1922244847493175e-09
1912,5.209421227725386e-10
1913,3.71209285532359e-09
1914,0.0
1915,1.1780761921542648e-09
1916,5.493730803607377e-09
1917,6.57985488317081e-09
1918,0.0
1919,9.207848372660976e-10
