year,pouvions_VERB avoir_VERB
1800,1.760732146749433e-07
1801,1.5953922627431893e-07
1802,4.923248297927785e-08
1803,6.436119548425268e-08
1804,6.921182915675672e-08
1805,5.1171799242411e-08
1806,1.9019016406218725e-07
1807,1.9359295322374237e-07
1808,5.6651849433819734e-08
1809,7.454800510231507e-08
1810,5.148278958699848e-08
1811,1.0780430415024966e-07
1812,6.934741492159446e-08
1813,4.026038169513413e-08
1814,1.258670891957081e-07
1815,9.440282155992463e-08
1816,4.4034472068688046e-08
1817,1.370048607896024e-07
1818,1.1563542301473717e-07
1819,7.24573467891787e-08
1820,5.814575843032799e-08
1821,1.1636556251914953e-07
1822,1.7544827812798758e-07
1823,3.0932810091144347e-07
1824,1.6673803315825353e-07
1825,1.4969252504215547e-07
1826,1.0745741008122422e-07
1827,6.452091128039683e-08
1828,1.9078386515047896e-07
1829,8.916103411138465e-08
1830,1.356788601469816e-07
1831,2.0424479885150504e-07
1832,1.420646782435142e-07
1833,1.8997150164068444e-07
1834,8.867804268675172e-08
1835,1.3613558280667348e-07
1836,1.290383977448073e-07
1837,9.253994903701823e-08
1838,1.420236372950967e-07
1839,1.566090475080273e-07
1840,1.1274349276391149e-07
1841,1.373997378095737e-07
1842,1.1269885646925104e-07
1843,9.864541539172933e-08
1844,1.2074835353814706e-07
1845,9.430585379277545e-08
1846,9.542836920672926e-08
1847,9.492073616002017e-08
1848,7.723412664972784e-08
1849,5.9493846293889874e-08
1850,1.0862393651223101e-07
1851,1.1415506406819986e-07
1852,8.528814277042329e-08
1853,8.420423824873069e-08
1854,1.1378504893855279e-07
1855,1.2524371584277105e-07
1856,1.1441588299021532e-07
1857,1.3717040303617978e-07
1858,9.444794812907276e-08
1859,1.2221215683894116e-07
1860,1.0893698032532484e-07
1861,1.61285953481638e-07
1862,1.4005757975610322e-07
1863,1.1587520276634677e-07
1864,1.0020981733305234e-07
1865,9.272483225686301e-08
1866,1.8148736558032397e-07
1867,1.111293812527947e-07
1868,1.2794274084626522e-07
1869,1.157394038386883e-07
1870,1.3016290267842123e-07
1871,2.3472802013202454e-07
1872,2.443125026729831e-07
1873,1.6102352162761235e-07
1874,1.3741600923822261e-07
1875,1.350280456335895e-07
1876,1.1850188741391321e-07
1877,1.1503757946229598e-07
1878,1.1172313918450527e-07
1879,1.5090033400610992e-07
1880,1.1552123169167317e-07
1881,1.1365187191358928e-07
1882,1.124760089510346e-07
1883,1.308103207975364e-07
1884,9.704494630113913e-08
1885,1.205333859388702e-07
1886,9.873799911019887e-08
1887,1.2404956351019791e-07
1888,1.369572828480159e-07
1889,1.108929197357611e-07
1890,1.2322246334406373e-07
1891,1.1091142937402765e-07
1892,9.716194426800939e-08
1893,9.730297989563041e-08
1894,1.2098955437522818e-07
1895,1.0773320013868215e-07
1896,1.409389938089589e-07
1897,1.479985201058298e-07
1898,1.1769378005510589e-07
1899,1.321091218642323e-07
1900,1.1887511419672592e-07
1901,1.2071676280811516e-07
1902,1.0949933226811481e-07
1903,1.301453096402838e-07
1904,8.276922613958959e-08
1905,8.670075146710587e-08
1906,9.362415909208721e-08
1907,1.0645685932786364e-07
1908,1.159087830160388e-07
1909,1.36974492193076e-07
1910,1.0688301443906312e-07
1911,1.1119581699858827e-07
1912,9.481146889811498e-08
1913,1.1878697137035488e-07
1914,1.0312985665450469e-07
1915,1.5197183245163615e-07
1916,1.2525707404620334e-07
1917,1.217273108977679e-07
1918,1.7459291257182485e-07
1919,1.445632165086863e-07
1920,8.556622077549036e-08
1921,9.163024117242458e-08
1922,9.443757420513066e-08
1923,9.235874642854469e-08
1924,9.797634703545555e-08
1925,9.458432970177455e-08
1926,9.585679094925581e-08
1927,1.3267577969600097e-07
1928,8.798051709391075e-08
1929,8.689517017046455e-08
1930,8.823027286553042e-08
1931,9.124285327288817e-08
1932,1.249387224788734e-07
1933,7.685343916818965e-08
1934,7.308764082836205e-08
1935,7.77938495843955e-08
1936,8.366053094732706e-08
1937,1.0198805711070236e-07
1938,8.168085230408906e-08
1939,6.882322622914216e-08
1940,7.60734906180005e-08
1941,1.1806010036252701e-07
1942,7.888950648293758e-08
1943,9.580676163523094e-08
1944,1.2210107058763242e-07
1945,1.3942425880486553e-07
1946,6.12528623378239e-08
1947,1.1801662225252585e-07
1948,6.740570768215548e-08
1949,7.951776836989666e-08
1950,1.201795782890258e-07
1951,8.422507136174318e-08
1952,1.0228459501604448e-07
1953,8.403585383121026e-08
1954,7.915754451914836e-08
1955,8.07162265914485e-08
1956,6.192010459926678e-08
1957,8.393286066166183e-08
1958,8.934022588391599e-08
1959,6.89816559429346e-08
1960,8.097374859517004e-08
1961,7.017640513140577e-08
1962,7.039571414679813e-08
1963,8.082566438361027e-08
1964,9.369311015916537e-08
1965,6.566452270817535e-08
1966,8.087049252480938e-08
1967,6.705256083705535e-08
1968,8.533690021295115e-08
1969,9.991867244707464e-08
1970,8.553628561003279e-08
1971,6.782684636164049e-08
1972,7.849124727954404e-08
1973,7.663353329689926e-08
1974,8.550868813017587e-08
1975,6.453972645203976e-08
1976,7.541855495674099e-08
1977,8.403797835399018e-08
1978,5.405938097169383e-08
1979,7.95868402292399e-08
1980,6.48107203460313e-08
1981,6.70508271127801e-08
1982,5.897127053344775e-08
1983,6.125856799599205e-08
1984,8.872483192590153e-08
1985,4.932757491360462e-08
1986,5.514926471050785e-08
1987,6.233032934233051e-08
1988,5.756691479064102e-08
1989,6.585746348264365e-08
1990,6.265948826467138e-08
1991,6.50622666853451e-08
1992,6.667032437235321e-08
1993,6.370088811991081e-08
1994,8.59813056308667e-08
1995,6.398492047310356e-08
1996,6.405710450962943e-08
1997,7.096443965792787e-08
1998,6.532336982445486e-08
1999,6.672493668702373e-08
2000,7.289752090855472e-08
2001,6.659441709189196e-08
2002,6.133710428457562e-08
2003,7.083769304472298e-08
2004,7.091713882800832e-08
2005,6.035024568973313e-08
2006,6.01211951334335e-08
2007,8.827799291566407e-08
2008,6.215861958480673e-08
2009,6.341696234812844e-08
2010,6.093692661579553e-08
2011,8.450977873053489e-08
2012,7.931908641012342e-08
2013,8.925199779241666e-08
2014,7.925529388330688e-08
2015,8.755473146493387e-08
2016,1.1330229909845002e-07
2017,8.704014931026904e-08
2018,9.293280101019263e-08
2019,8.724378375291053e-08
