year,pouvez_VERB apporter_VERB,pouvez_VERB rapporter_VERB
1800,2.5153315874604232e-08,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,3.900678446910888e-09
1804,4.943701892301533e-09,1.2359254952798437e-08
1805,1.9900143755080535e-08,0.0
1806,1.152667650217154e-08,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,1.504245972228091e-08,2.0056614147279106e-08
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,2.1577788444915313e-08
1816,2.3176038865813098e-08,6.952811659743929e-09
1817,4.670620334934483e-09,4.670620334934483e-09
1818,3.5763532135746345e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,4.746592452420373e-09,0.0
1821,8.875339574387908e-09,7.88919063410276e-09
1822,7.017931125119503e-09,1.1028177482330648e-08
1823,9.882686891060644e-10,0.0
1824,3.3684450784221553e-09,0.0
1825,2.641632912414593e-09,1.7610886082763955e-09
1826,3.082794464148719e-08,7.0463874735082754e-09
1827,1.8434546111834038e-09,0.0
1828,5.503380862137419e-09,2.7516904310687096e-09
1829,8.57317605795771e-10,4.286587973467704e-09
1830,3.1310507520032616e-09,1.1480519646056564e-08
1831,7.795603274018958e-09,0.0
1832,5.411987746839486e-09,6.764984572527055e-09
1833,1.3900354645102198e-08,1.1583628500844156e-09
1834,8.401078055442213e-09,1.0267983796552471e-08
1835,1.3613558280667348e-08,3.781543966852041e-09
1836,1.4785650037651976e-08,6.720750067579218e-10
1837,4.87052354003481e-09,1.3915781860163179e-09
1838,6.943378316748294e-09,6.312161904276081e-10
1839,1.2584655095793096e-08,2.7965900706306e-09
1840,7.0066574764382494e-09,5.095750932326837e-09
1841,1.0272877659645019e-08,6.420548537278137e-10
1842,7.379091560011375e-09,5.366612043644636e-09
1843,1.1813822142769936e-09,4.134837805480629e-09
1844,1.1525978393933656e-08,1.6465684371524958e-09
1845,9.48638767539478e-09,1.674068439427856e-09
1846,7.610851504580296e-09,0.0
1847,5.9325460100012606e-09,7.011190739092399e-09
1848,2.413566591030758e-08,0.0
1849,1.6758828991214614e-08,1.1731181359664333e-08
1850,2.0366988096043315e-09,1.0183494048021657e-08
1851,4.514607354622058e-09,5.159551008659946e-09
1852,1.1067927019325907e-08,2.6042181744401205e-09
1853,1.7915795513800958e-09,2.9859659189668264e-09
1854,1.1950028522278444e-08,1.0391328908454511e-09
1855,9.021793090369101e-09,1.5920811335945473e-09
1856,4.141751386299575e-09,6.73034605824796e-09
1857,1.9526036343364694e-09,2.9289055625270066e-09
1858,8.808616946964776e-09,8.31924928945682e-09
1859,5.092173349652285e-09,6.110608019582742e-09
1860,1.6020143434047895e-08,2.288591982591015e-09
1861,9.903524222920623e-09,7.073945429425521e-09
1862,1.1746764450037972e-08,4.066187830886747e-09
1863,6.493007020935693e-09,4.495158911765884e-09
1864,5.753673537611803e-09,8.63051052846231e-09
1865,9.413688495385486e-09,4.23615986733239e-09
1866,6.3252967308358166e-09,1.4596839292835284e-09
1867,9.220341823379385e-09,4.85281148598915e-09
1868,8.89177353968762e-09,4.44588676984381e-09
