year,aviez_VERB envoyé_VERB,aviez_VERB renvoyé_VERB
1800,6.288328968651058e-09,0.0
1801,1.4287095950749062e-08,4.7623651688866175e-09
1802,4.0281122437590966e-08,4.475680270843441e-09
1803,1.755305234496518e-08,1.950339223455444e-09
1804,5.6852570651244605e-08,4.943701892301533e-09
1805,4.5486043376286034e-08,2.842877711017877e-09
1806,2.881669125542885e-08,5.76333825108577e-09
1807,0.0,2.8469550272802735e-08
1808,1.8128591960930862e-08,4.5321479902327155e-09
1809,0.0,6.7770917766551975e-09
1810,1.4040760554223652e-08,2.574139479349924e-08
1811,1.504245972228091e-08,0.0
1812,0.0,8.00162425207418e-09
1813,1.1502966579257645e-08,0.0
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,8.091670444798638e-09,0.0
1816,1.8540831092650478e-08,0.0
1817,2.3353100786493997e-08,9.341240669868967e-09
1818,1.5497530370112145e-08,9.536941902865692e-09
1819,3.9333990287104825e-08,1.449147024601416e-08
1820,1.2697134366135288e-07,5.933240565525466e-09
1821,1.0058717947458717e-07,2.9584463767662328e-09
1822,5.1130641054442094e-08,3.0076847679083585e-09
1823,1.8777104315859106e-08,9.882686891060644e-10
1824,5.136878655775945e-08,4.210556348027694e-09
1825,5.195211372210906e-08,9.68598712347557e-09
1826,2.3781558056157337e-08,6.1655889282974385e-09
1827,3.3182182335167454e-08,9.217273166939322e-09
1828,5.77854990524429e-08,1.559291185060374e-08
1829,1.7146351893870815e-08,7.715858174606183e-09
1830,7.201416707403041e-08,1.0436835395921662e-08
1831,4.8332740476553226e-08,1.7150327380477393e-08
1832,4.7354891563600177e-08,1.3529969367098715e-09
1833,2.20088942626262e-08,5.791814139399776e-09
1834,3.267085801894609e-08,9.334530925997342e-10
1835,2.949604294144592e-08,4.5378527602224494e-09
1836,3.965242711956307e-08,1.6129799718100912e-08
1837,1.0784730619661786e-07,9.74104708006962e-09
1838,4.039783618736692e-08,9.468243078458727e-09
1839,7.131304613494649e-08,6.9914749545318955e-09
1840,7.643626531717018e-08,3.9492068282243054e-08
1841,4.55858959469424e-08,8.988767952189392e-09
1842,3.890793820460203e-08,3.7566284305512454e-08
1843,2.2446261738195972e-08,3.5441467538532834e-09
1844,4.50062032086862e-08,5.488561161115513e-09
1845,4.408380149811819e-08,6.696273757711424e-09
1846,4.4494210982293225e-08,2.6345256642912318e-08
1847,1.9954928376364478e-08,2.0494249852731627e-08
1848,3.781254065415851e-08,4.82713291560799e-09
1849,3.351765798242923e-08,1.508294644736452e-08
1850,1.765138968323754e-08,6.788996032014438e-09
1851,4.385618268543112e-08,3.2247193804124663e-09
1852,4.817803755940986e-08,6.510545436100301e-09
1853,3.941475057445132e-08,2.388772735173461e-09
