year,mais_CONJ ouvrir_VERB,mais_CONJ rouvrir_VERB
1800,3.144164484325529e-09,0.0
1801,2.6193008650921e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,1.3652374120098898e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,5.0141535368197765e-09,0.0
1812,3.467370746079723e-08,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,4.5852800667489646e-08,0.0
1816,9.270415546325239e-09,0.0
1817,7.784366928831332e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,1.676452932031225e-08,0.0
1822,3.208197085768916e-08,0.0
1823,2.1741911049311113e-08,0.0
1824,9.263223965660927e-09,0.0
1825,1.6730341556581152e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,3.318218411152429e-08,0.0
1828,1.1006761502230233e-08,0.0
1829,1.7146351893870815e-08,0.0
1830,5.218417920005436e-09,0.0
1831,0.0,0.0
1832,2.1647950987357945e-08,0.0
1833,6.950177322551099e-09,0.0
1834,1.0267984462686286e-08,0.0
1835,1.285724948729694e-08,0.0
1836,2.016225009171535e-08,0.0
1837,7.653679912067446e-09,0.0
1838,8.205810475558906e-09,0.0
1839,1.0487212875887053e-08,0.0
1840,3.821813254756279e-09,0.0
1841,3.2102742686390684e-09,0.0
1842,2.683306021822318e-09,0.0
1843,4.134837805480629e-09,0.0
1844,7.683985947526395e-09,0.0
1845,5.5802281129224696e-09,0.0
1846,8.196302303531411e-09,0.0
1847,5.9325460100012606e-09,1.6179670936367074e-09
1848,4.8271330266302925e-09,0.0
1849,1.5920887719289567e-08,0.0
1850,7.467895635215882e-09,0.0
1851,1.2253933423522767e-08,0.0
1852,7.161600201754936e-09,0.0
1853,1.6721408258035808e-08,5.971931837933653e-10
1854,5.195664454227256e-09,1.5586993362681767e-09
1855,1.8574279891936385e-08,5.306937111981824e-10
1856,1.1907535124588975e-08,0.0
1857,7.81041464836818e-09,0.0
1858,1.6149131365494895e-08,0.0
1859,1.9350258062544867e-08,5.092173349652285e-10
1860,2.1055046151019496e-08,0.0
1861,7.545541969022906e-09,6.6023493339173456e-09
1862,1.1746764450037972e-08,2.2589932147099034e-09
1863,1.3485476735297652e-08,9.989241656072068e-10
1864,1.582260222843246e-08,0.0
1865,1.4120532743078229e-08,0.0
1866,1.265059373922739e-08,0.0
1867,1.455843445796745e-08,4.85281148598915e-10
1868,1.1855697756857353e-08,0.0
1869,9.767038733343725e-09,0.0
1870,7.454262984651905e-09,0.0
1871,1.1683295220166201e-08,0.0
1872,7.256807155187062e-09,0.0
1873,1.1373407993175988e-08,5.986004469882289e-10
1874,2.3898436563030145e-09,0.0
1875,6.8658326801696035e-09,0.0
1876,9.06902175579205e-09,0.0
1877,9.277224100046055e-09,0.0
1878,3.6234530931267273e-09,0.0
1879,1.8327976469834084e-08,0.0
1880,7.701415505323439e-09,0.0
1881,1.5339516823420496e-08,0.0
1882,6.655385131892899e-09,6.655385131892899e-10
1883,8.847074461915128e-09,0.0
1884,1.1222884843675729e-08,6.601696966868076e-10
1885,1.2891271605752763e-08,0.0
1886,7.744156815814307e-09,0.0
1887,6.528924512139156e-09,0.0
1888,1.141310668195672e-08,0.0
1889,6.891650361495749e-09,0.0
1890,1.5730527991308918e-08,6.554386478008212e-09
1891,9.561330394092238e-09,0.0
1892,8.149066310636499e-09,1.8805537127519756e-09
1893,6.7742580989182954e-09,6.158416554491453e-10
1894,7.561847370496366e-09,0.0
1895,7.824198844375019e-09,0.0
1896,1.1794057730440954e-08,0.0
1897,2.155884004650943e-08,0.0
1898,1.0185039034382726e-08,0.0
1899,1.1607914629507832e-08,0.0
1900,1.0901211489056095e-08,0.0
1901,3.353243460679778e-09,1.1177477832191585e-09
