year,peux_VERB entrer_VERB,peux_VERB rentrer_VERB
1800,3.144164395507687e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,8.951360541686881e-09,2.2378401354217203e-09
1803,7.801356893821776e-09,0.0
1804,1.2359254952798437e-08,1.2359254952798437e-08
1805,1.421438877713399e-08,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,1.1387820464392462e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.25903047379461e-08,0.0
1810,5.148278958699848e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,9.440030979135372e-09,0.0
1815,8.091670444798638e-09,0.0
1816,1.8540831092650478e-08,0.0
1817,1.0898113522728181e-08,3.113746815941454e-09
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,2.3807414706311647e-08,2.070210003424222e-09
1820,1.898636980968149e-08,7.119888678630559e-09
1821,6.212737702071536e-08,0.0
1822,1.1028177482330648e-08,1.1028177482330648e-08
1823,2.3718449426723964e-08,1.087095569118901e-08
1824,2.189489300974401e-08,8.421112696055388e-10
1825,1.1447076175841175e-08,0.0
1826,4.403992281964975e-09,0.0
1827,1.1060727445055818e-08,9.217273055917019e-10
1828,2.2930752408001354e-08,0.0
1829,8.573175946935407e-09,0.0
1830,1.982998831806526e-08,1.0436835840010872e-09
1831,3.1182412207897414e-09,0.0
1832,4.7354891563600177e-08,1.3529969367098715e-09
1833,1.1583628500844156e-09,0.0
1834,1.120143711119681e-08,0.0
1835,1.2100940693926532e-08,6.806779140333674e-09
1836,1.008112526790228e-08,1.3441500135158435e-09
1837,2.852735292435682e-08,6.957891152126194e-09
1838,3.787297142565649e-09,0.0
1839,6.9914749545318955e-09,6.9914749545318955e-09
1840,3.248541347034006e-08,7.64362617644565e-09
1841,3.852329122366882e-09,6.420548537278137e-10
1842,1.8112315203211438e-08,7.379091560011375e-09
1843,1.0041748765843295e-08,1.1813822142769936e-09
1844,2.360081374774836e-08,3.2931368743049916e-09
1845,1.2276501593078137e-08,1.674068439427856e-09
1846,7.610851504580296e-09,2.9272506640865004e-09
1847,9.707802561820245e-09,3.775256551818984e-09
1848,6.43617736884039e-09,4.02261068899179e-09
1849,6.703531951757213e-09,6.703531951757213e-09
1850,2.7155984128057753e-09,4.073397619208663e-09
1851,1.3543821175687754e-08,1.2898877521649865e-09
1852,2.148479971708639e-08,6.510545436100301e-10
1853,3.881755716861335e-08,5.971931837933653e-10
1854,1.4028294081924741e-08,2.5978321716024766e-09
1855,1.4859423913549108e-08,4.2455496895854594e-09
1856,9.318940286107136e-09,1.0872097000458325e-08
1857,1.3668225662399891e-08,7.810414537345878e-09
1858,1.2723557318849998e-08,1.9574704079872163e-09
1859,1.3748867822016564e-08,6.110608019582742e-09
1860,1.6020143434047895e-08,1.373155145145688e-09
1861,1.4619487842537637e-08,5.659156698811785e-09
1862,9.035972858839614e-09,4.9697850279528666e-09
1863,2.0477944673302773e-08,4.994620828036034e-10
1864,1.6302074357099627e-08,1.9178911792039344e-09
1865,3.765475486972036e-09,9.41368871743009e-10
1866,4.865612801552288e-09,1.9462451650298362e-09
1867,2.232293283555009e-08,9.7056229719783e-10
1868,2.5687345583946808e-08,2.4699371437009177e-09
1869,2.7347706321734222e-08,8.790334682373668e-09
1870,2.1789386295267832e-08,8.027668307875047e-09
1871,1.3807530230280918e-08,4.248470908407853e-09
