year,avez_VERB assuré_VERB,avez_VERB rassuré_VERB
1800,3.772997558826319e-08,6.288328968651058e-09
1801,1.0000967165524344e-07,1.1905912700171939e-08
1802,7.608656460433849e-08,8.951360541686881e-09
1803,5.460949736857401e-08,3.900678446910888e-09
1804,1.0628959046243835e-07,1.4831105232815389e-08
1805,9.381496113292087e-08,1.421438877713399e-08
1806,6.339671898558663e-08,5.76333825108577e-09
1807,7.686778502602465e-08,2.8469551160981155e-09
1808,3.3991110370834576e-08,2.2660739951163578e-09
1809,3.388545621874073e-08,2.259030518203531e-09
1810,4.914266327205041e-08,9.360507036149102e-09
1811,2.0056614147279106e-08,0.0
1812,5.601137331723294e-08,0.0
1813,2.300593315851529e-08,0.0
1814,4.72001566720337e-08,0.0
1815,5.664169577812572e-08,0.0
1816,2.7811246638975717e-08,1.622322720606917e-08
1817,4.670620157298799e-08,7.784366928831332e-09
1818,6.318224166079744e-08,7.152706427149269e-09
1819,5.072014630513877e-08,1.3456364911235141e-08
1820,7.357218123615894e-08,1.1866481131050932e-09
1821,1.4693617345074017e-07,1.2819934447350079e-08
1822,6.416394171537831e-08,3.0076847679083585e-09
1823,6.324919610278812e-08,9.882686891060644e-10
1824,3.621078548121659e-08,8.421112696055388e-10
1825,4.9310479255382234e-08,0.0
1826,4.4039921931471326e-08,3.5231937367541377e-09
1827,7.373818533551457e-08,0.0
1828,4.586150481600271e-08,0.0
1829,3.6864655328372464e-08,3.429270423183084e-09
1830,6.053365098068753e-08,0.0
1831,7.171954763407484e-08,1.5591206103948707e-09
1832,4.329590197471589e-08,0.0
1833,3.8225973497674204e-08,0.0
1834,7.374279675786966e-08,4.667265685043276e-09
1835,4.0840674842002045e-08,7.563087933704082e-10
1836,3.36037508930076e-08,3.36037508930076e-09
1837,2.852735292435682e-08,0.0
1838,4.292270006089893e-08,0.0
1839,1.6080392128969834e-08,2.7965900706306e-09
1840,4.1402977046800515e-08,4.458782232319436e-09
1841,6.099521243640993e-08,3.852329122366882e-09
