year,pourrions_VERB aller_VERB
1800,3.144164484325529e-09
1801,1.904946067554647e-08
1802,4.475680270843441e-09
1803,2.5354410126965377e-08
1804,1.4831105232815389e-08
1805,4.264316544322355e-08
1806,3.1698359492793315e-08
1807,3.131650672116848e-08
1808,4.5321479902327155e-09
1809,6.7770917766551975e-09
1810,1.1700633351097167e-08
1811,6.518399686683551e-08
1812,1.8670457180292033e-08
1813,3.4508900625951355e-08
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,0.0
1817,2.1796227045456362e-08
1818,1.0729059418679299e-08
1819,2.898294049202832e-08
1820,2.3732962262101864e-08
1821,5.325203744632745e-08
1822,6.215881853677274e-08
1823,4.249555374258307e-08
1824,1.431589158329416e-08
1825,4.490776106536032e-08
1826,2.2019960965735663e-08
1827,1.1982455028203276e-08
1828,2.7516904310687096e-08
1829,1.0287811491593857e-08
1830,3.444155893816969e-08
1831,4.677361786775691e-08
1832,1.352996914505411e-08
1833,2.20088942626262e-08
1834,2.42697808516823e-08
1835,6.655517381659593e-08
1836,5.511014933290426e-08
1837,1.3915782304252389e-08
1838,5.491580878924651e-08
1839,2.3771015378315496e-08
1840,3.567025785855549e-08
1841,4.494383887276854e-08
1842,3.085801836277824e-08
1843,3.485077471054865e-08
1844,3.732221642849254e-08
1845,2.511102614732863e-08
1846,2.4588905134237393e-08
1847,1.941560512364049e-08
1848,1.126331028444838e-08
1849,3.5193544078993e-08
1850,3.733947906425783e-08
1851,2.8377531435808123e-08
1852,1.1067927019325907e-08
1853,5.4344578614973216e-08
1854,2.8576154775805662e-08
1855,2.9188154115900034e-08
1856,2.174419400091665e-08
1857,4.78387889302212e-08
1858,2.495774786837046e-08
1859,3.3099126994784456e-08
1860,3.753290656050012e-08
1861,3.7256114637784776e-08
1862,2.981871105589562e-08
1863,2.7470415275843152e-08
1864,3.643993196078554e-08
1865,3.671338433264282e-08
1866,2.1408697037372804e-08
1867,2.9602150064533816e-08
1868,4.00129813726835e-08
1869,4.0533208789383934e-08
1870,3.7844721134661086e-08
1871,2.8677177965619194e-08
1872,2.7817760539505798e-08
1873,2.9331422624068182e-08
1874,5.138164027584935e-08
1875,4.1194994082616176e-08
1876,2.7811667635546655e-08
1877,2.783167118991514e-08
1878,2.4760263173106978e-08
1879,5.498392852132383e-08
1880,4.941741593711413e-08
1881,2.022027167924989e-08
1882,2.1962771157291172e-08
1883,4.423537092179686e-08
1884,2.2445769687351458e-08
1885,2.4493415295978593e-08
1886,2.0651084398082276e-08
1887,3.525619263200497e-08
1888,2.53624587998047e-08
1889,1.8795409673089125e-08
1890,3.6704562944578356e-08
1891,2.039750413018737e-08
1892,2.820830502514582e-08
1893,2.3401982574000613e-08
1894,2.3945849747519787e-08
1895,2.347259631108045e-08
1896,4.3048309805726603e-08
1897,3.6708296846654775e-08
1898,3.621347133275776e-08
1899,2.266307141951529e-08
1900,1.972600216504361e-08
1901,2.2913829056392387e-08
1902,2.356936334990678e-08
1903,4.3741785304973746e-08
1904,3.0635362691100454e-08
1905,3.6641388589941926e-08
1906,4.166789580040131e-08
1907,2.5199932807140613e-08
1908,4.322022562064376e-08
1909,3.685659066832159e-08
1910,4.542528131423751e-08
1911,2.8197982615552064e-08
1912,4.323819524643113e-08
1913,2.227255713194154e-08
1914,2.0759905794420774e-08
1915,1.8849219074468238e-08
1916,2.966614687238689e-08
1917,2.631941953268324e-08
1918,4.479686666059024e-08
1919,2.2098836538475553e-08
1920,3.256059599721084e-08
1921,5.5281056177136634e-08
1922,2.5822775029382683e-08
1923,2.0170300985000722e-08
1924,3.738571052736006e-08
1925,3.629398648286042e-08
1926,2.452150482668003e-08
1927,4.1252132376712325e-08
1928,4.1133748851507335e-08
1929,6.350031611646045e-08
1930,2.520864939015155e-08
1931,3.877821086462063e-08
1932,4.383814555808385e-08
1933,4.932384811695556e-08
1934,3.9539216345474415e-08
1935,3.351119559624749e-08
1936,4.4861444337129797e-08
1937,5.0364473480613015e-08
1938,3.630260181353151e-08
1939,3.6705721129237645e-08
1940,3.296517903095264e-08
1941,5.60785480274717e-08
1942,6.978687139280737e-08
1943,6.096794180621146e-08
1944,1.927911696952833e-08
1945,3.703456741277478e-08
1946,6.960551957035932e-08
1947,6.675687558299614e-08
1948,5.6533817627268945e-08
1949,3.6322930441201606e-08
1950,5.7430952438153327e-08
1951,5.970385075215745e-08
1952,3.4797853487589236e-08
1953,6.8952495269059e-08
1954,5.374894840315392e-08
1955,4.786659957289885e-08
1956,3.750090726839517e-08
1957,5.742774433770137e-08
1958,5.2942358053087446e-08
1959,5.658045765244424e-08
1960,5.536666591865469e-08
1961,4.863711566827078e-08
1962,5.200404373795209e-08
1963,5.560805860227447e-08
1964,3.467862086381501e-08
1965,5.2531618166540284e-08
1966,4.0989153404780154e-08
1967,5.1768523690043367e-08
1968,5.838840522187638e-08
1969,4.405504938631566e-08
1970,4.8746485958872654e-08
1971,4.213486093362917e-08
1972,3.33459553303328e-08
1973,4.2451670623222526e-08
1974,5.456804430536977e-08
1975,4.740528680713396e-08
1976,3.370981005446083e-08
1977,5.582942819160053e-08
1978,4.099008066305032e-08
1979,4.388979846225993e-08
1980,4.43441763309238e-08
1981,4.680906684484398e-08
1982,3.662426451001011e-08
1983,5.115406054301275e-08
1984,4.465236713713239e-08
1985,5.173379946654677e-08
1986,4.91547815784088e-08
1987,3.849814689260711e-08
1988,4.257553243292023e-08
1989,4.50026007570159e-08
1990,5.5031375012504213e-08
1991,5.0408601737217396e-08
1992,3.4712648755430564e-08
1993,5.206855036021807e-08
1994,3.9034457444131476e-08
1995,4.175286960617086e-08
1996,3.683283722466513e-08
1997,3.6441196726855196e-08
1998,4.052909829965756e-08
1999,4.25028723327614e-08
2000,4.285490717848006e-08
2001,3.767842216007011e-08
2002,3.198291764761052e-08
2003,6.167046251448483e-08
2004,4.052407831522942e-08
2005,5.4495369994356224e-08
2006,5.5591513614672294e-08
2007,1.1943492950194923e-07
2008,1.328321133087229e-07
2009,1.5305897704820381e-07
2010,2.0359547647785803e-07
2011,1.9808175011348794e-07
2012,2.539572392379341e-07
2013,2.554838545165694e-07
2014,2.5075854637179873e-07
2015,2.582310401066934e-07
2016,2.6451013468431483e-07
2017,2.8426407538972853e-07
2018,2.8137986873844056e-07
2019,2.3060928810991754e-07
