year,tes_DET ans_NOUN,tes_DET rangs_NOUN
1800,3.45858084394024e-08,0.0
1801,5.0004833385131064e-08,0.0
1802,2.0140561218795483e-08,2.2378401354217203e-09
1803,2.7304748684287006e-08,3.900678446910888e-09
1804,6.92118238276862e-08,3.707776485839531e-08
1805,5.685755510853596e-08,0.0
1806,1.498467980809437e-07,2.881669125542885e-09
1807,1.1387820464392462e-08,8.540865348294346e-09
1808,6.798221985349073e-09,9.064295980465431e-09
1809,3.6144488291256494e-08,1.581321384946932e-08
1810,3.978215445954447e-08,0.0
1811,3.760615285841595e-08,0.0
1812,7.20146218213813e-08,2.6672082320544632e-09
1813,4.6011867427253605e-08,5.751483289628823e-09
1814,5.97868634599763e-08,6.293354282149721e-09
1815,4.8550024445148665e-08,8.091670444798638e-09
1816,3.708166040894412e-08,6.952811659743929e-09
1817,5.449056961204235e-08,3.113746815941454e-09
1818,2.8610826152686286e-08,3.5763532135746345e-09
1819,7.659776724011635e-08,5.175524897538253e-09
1820,1.0561168295453172e-07,4.746592452420373e-09
1821,3.8459806006585495e-08,9.86148829262845e-10
1822,3.709477880420309e-08,1.2030739071633434e-08
1823,3.557767347395213e-08,1.9765373782121287e-09
1824,6.989523360090288e-08,9.263223965660927e-09
1825,3.698286188402733e-08,6.163809906922779e-09
1826,3.8755132436563144e-08,1.4973573381205085e-08
1827,3.2260455640198415e-08,6.452091305675367e-09
1828,4.402704451011985e-08,3.668920500743411e-09
1829,3.257806824308318e-08,5.143905579263475e-09
1830,1.1480518979922749e-08,3.1310507520032616e-09
1831,1.7150327380477393e-08,7.795603274018958e-09
1832,4.735489356200162e-08,1.2176972430388844e-08
1833,6.023486831541192e-08,2.4325620628928846e-08
1834,3.080395205579123e-08,4.667265685043276e-09
1835,3.1764969321557146e-08,1.285724948729694e-08
1836,3.22596004909137e-08,1.4113575363960962e-08
1837,3.1310509740478665e-08,6.262101726051128e-09
1838,3.3454458758797045e-08,1.7674052887883818e-08
1839,2.7965900262216792e-08,2.7965900706306e-09
1840,2.930056863803543e-08,5.732719632334238e-09
1841,2.760835826620678e-08,6.420548537278137e-09
1842,3.4212152222323766e-08,5.366612043644636e-09
1843,1.5357968674578615e-08,5.31621990873532e-09
1844,1.701454005464953e-08,7.135129487245706e-09
1845,2.17628883802945e-08,6.138250630005615e-09
1846,2.2247105713191218e-08,1.2294452567118697e-08
1847,1.887628275909492e-08,1.0786447290911383e-08
1848,1.2067832455553429e-08,1.689496542667257e-08
1849,2.262441967104678e-08,1.1731181359664333e-08
1850,1.6972489191857676e-08,1.0862393651223101e-08
1851,1.3543821397732358e-08,1.676854055610022e-08
1852,2.539112786692499e-08,8.463708844885787e-09
