year,as_VERB emporté_VERB,as_VERB remporté_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,4.2518962573012686e-08
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,2.4849335034105025e-08
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,0.0,7.521229861140455e-09
1812,0.0,1.3336041604361526e-08
1813,5.751483289628823e-09,1.1502966579257645e-08
1814,0.0,0.0
1815,8.091670444798638e-09,8.091670444798638e-09
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,1.2454987263765815e-08
1818,1.1921177378582115e-09,3.5763532135746345e-09
1819,2.070210003424222e-09,7.24573512300708e-09
1820,0.0,3.5599443393152796e-09
1821,4.930744257336528e-09,2.9584463767662328e-09
1822,6.015369535816717e-09,2.0051231786055723e-09
1823,2.9648061783404955e-09,4.941343334508019e-09
1824,5.052667617633233e-09,1.0105335235266466e-08
1825,3.522177216552791e-09,2.8177417732422327e-08
1826,2.642395191543301e-09,4.403992281964975e-09
1827,0.0,0.0
1828,2.109629271274116e-08,4.586150570418113e-09
1829,2.571952872898464e-09,3.429270423183084e-09
1830,1.0436835840010872e-09,5.218417697960831e-09
1831,0.0,7.795603274018958e-09
1832,5.411987746839486e-09,2.705993873419743e-09
1833,6.950177322551099e-09,2.3167257001688313e-09
1834,3.733812370398937e-09,9.334530925997342e-10
1835,5.294161553592858e-09,7.563087933704082e-10
1836,2.016224964762614e-09,5.376600054063374e-09
1837,5.5663127440652715e-09,6.957890930081589e-10
1838,3.1560809521380406e-09,2.5248647617104325e-09
1839,1.0487212875887053e-08,2.0974426639952526e-09
1840,6.3696887764308485e-09,6.369688665408546e-10
1841,2.5682194149112547e-09,3.852329122366882e-09
1842,1.341653010911159e-09,8.720745015011744e-09
1843,3.5441467538532834e-09,5.906910960362666e-09
