year,ces_DET oies_NOUN,ces_DET rois_NOUN
1800,1.6978488659447066e-07,1.3425582707782269e-06
1801,1.2620267497709392e-07,1.7263573255377196e-06
1802,8.727576528144709e-08,1.8283154474829644e-06
1803,7.411289004721766e-08,1.5719734065555713e-06
1804,1.1617699158250616e-07,1.2161506646179987e-06
1805,2.2743021688143017e-08,1.6801407412003755e-06
1806,2.305335300434308e-08,1.4148995362006644e-06
1807,6.547996900252429e-08,1.2014150314598737e-06
1808,1.3823051503436545e-07,1.8649789410574158e-06
1809,3.6144488291256494e-08,1.2198765091397945e-06
1810,1.6380887757350138e-08,1.886142229068355e-06
1811,5.515568934910675e-08,2.2739185965292563e-06
1812,2.6672082320544632e-09,1.1468994998153903e-06
1813,2.8757416448144113e-09,1.3746044587037431e-06
1814,0.0,2.407208043564424e-06
1815,1.8880564667256294e-08,2.1308066493475053e-06
1816,1.622322720606917e-08,1.5481594317634517e-06
1817,4.203558356952186e-08,1.7016625832866339e-06
1818,2.2650237241350624e-07,1.4639206113997716e-06
1819,3.1053151161586356e-09,2.147842927513466e-06
1820,1.1866481131050932e-08,1.5936683723793976e-06
1821,1.9722976807301507e-08,1.788874008923358e-06
1822,4.0102463572111446e-08,1.7835570673696566e-06
1823,1.2847493069401139e-08,1.628666844055715e-06
1824,4.210556348027694e-09,2.0210670328424385e-06
1825,6.516027784009282e-08,2.2594766448946757e-06
1826,2.906634755106552e-08,1.9606573467001454e-06
1827,1.474763688946723e-08,1.7245518009190164e-06
1828,1.3024667566696735e-07,1.4859128185662485e-06
1829,6.858540846366168e-09,1.5225961149667455e-06
1830,6.992679768558219e-08,1.661544253295233e-06
1831,4.365537531469954e-08,1.9644919362349356e-06
1832,1.3529969367098715e-09,1.5153565637859856e-06
1833,8.108540172635514e-09,1.4966047992004405e-06
1834,4.387229601832132e-08,2.0638647804105403e-06
1835,6.882410019670715e-08,1.8711079832200994e-06
1836,2.9571300075303952e-08,1.9436408678075168e-06
1837,2.435261814426326e-08,1.3707045285471509e-06
1838,5.680945602826171e-08,1.8974358226842014e-06
1839,5.523265411699896e-08,1.5842682543620867e-06
1840,1.9109066218270243e-08,1.5981549239540982e-06
1841,2.6966304744746594e-08,1.2192621596796016e-06
1842,9.391571076378114e-09,1.2980493213632371e-06
1843,1.063243981747064e-08,1.4891322344112723e-06
1844,1.756339607084101e-08,1.4874001230680278e-06
1845,2.2320911785556063e-08,1.439140799419647e-06
1846,2.3418005756781213e-08,1.721223398476468e-06
1847,4.314578827546711e-08,1.3763506938602177e-06
1848,4.1835152453373325e-08,1.6476613566851483e-06
1849,1.256912218750017e-08,1.251884645725454e-06
1850,2.4440385715251978e-08,1.1969000190958923e-06
1851,7.094382636907426e-09,1.4279057065635925e-06
1852,3.776116352938175e-08,1.2825774113878197e-06
1853,3.5234398509942366e-08,1.1501940662128618e-06
1854,4.78001130344019e-08,1.0765417197688976e-06
1855,4.2455496895854594e-08,1.2115737604290189e-06
1856,3.313401081284084e-08,1.2886023714742123e-06
1857,2.3919394687155204e-08,1.2677279173090028e-06
1858,1.5170395550878624e-08,1.180844053649821e-06
1859,2.2405563404603868e-08,1.3529904308029472e-06
1860,2.1512764458719857e-08,1.3726974561478755e-06
1861,1.4147891413962554e-08,1.2162469946730425e-06
1862,2.48489247234307e-08,1.2962102733382608e-06
1863,1.548332484446746e-08,1.2421621544689287e-06
1864,1.7261020501813107e-08,1.2442319246019906e-06
1865,1.6473956032658776e-08,1.2035401582011218e-06
1866,2.8707117127879656e-08,1.1288221584138114e-06
1867,2.135237053835226e-08,1.127308159709628e-06
1868,3.062721931623713e-08,1.1761840603696783e-06
1869,2.5882651910613674e-08,1.0802344281302112e-06
1870,1.834895568819661e-08,1.0349958117217284e-06
1871,1.0621176826930423e-08,8.709365282300041e-07
1872,1.5118347462816928e-08,1.0074867322629188e-06
1873,2.2148216927142528e-08,9.386055310756092e-07
1874,2.8080662239915455e-08,9.404034777560355e-07
1875,1.4303817685856757e-08,8.673835010242215e-07
1876,1.8138044621807126e-08,8.422098822791213e-07
1877,1.1751150386096754e-08,1.0959494023410343e-06
1878,1.932508364443919e-08,9.100906730452607e-07
1879,2.5659166347224982e-08,9.304502359697153e-07
1880,2.695495404658743e-08,1.0307061053538291e-06
1881,1.4642266288333872e-08,6.819112625677803e-07
1882,1.7304001120876933e-08,7.760179112636933e-07
1883,2.4013488364449387e-08,7.924451317364856e-07
1884,3.1027976632458376e-08,8.192706069110045e-07
1885,1.5469525438405185e-08,6.993514878317342e-07
1886,2.2587123282846733e-08,6.066255897607675e-07
1887,3.852065377785152e-08,6.313470075625105e-07
1888,3.360525724360741e-08,7.735550191512175e-07
1889,2.255449160770695e-08,7.41165672835109e-07
1890,1.7696843102044113e-08,6.233221290230517e-07
1891,4.0157585701194876e-08,7.126377896682357e-07
