year,pourrons_VERB entrer_VERB,pourrons_VERB rentrer_VERB
1800,9.432493897065797e-09,0.0
1801,3.333655484993869e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,1.7057265822018053e-08
1806,1.152667650217154e-08,0.0
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,2.697223555614414e-09
1816,2.0858434979231788e-08,6.952811659743929e-09
1817,2.6466848268569265e-08,3.113746815941454e-09
1818,8.344824387052086e-09,0.0
1819,1.6561680027393777e-08,1.035105001712111e-09
1820,2.0173018810965004e-08,0.0
1821,9.86148829262845e-10,9.86148829262845e-10
1822,1.7043547018147365e-08,1.0025615893027862e-09
1823,7.906149512848515e-09,0.0
1824,5.052667617633233e-09,0.0
1825,2.0252519661312363e-08,0.0
1826,7.927186018719112e-09,4.403992281964975e-09
1827,6.452091305675367e-09,0.0
1828,3.210305266065916e-08,1.8344602503717056e-09
1829,2.4004892296147773e-08,1.2859763920403111e-08
1830,1.0436835395921662e-08,1.0436835840010872e-09
1831,7.795603274018958e-09,3.1182412207897414e-09
1832,1.352996914505411e-08,2.705993873419743e-09
1833,1.1583628278799551e-08,0.0
1834,3.173740381612333e-08,9.334530925997342e-10
1835,3.100866052818674e-08,1.285724948729694e-08
1836,1.1425274948351216e-08,2.016224964762614e-09
1837,1.2524203896191466e-08,0.0
1838,1.830527018853445e-08,1.2624323808552163e-09
1839,6.9914749545318955e-09,3.4957374772659477e-09
1840,9.554533164646273e-09,2.5478754661634184e-09
1841,2.6966304744746594e-08,3.852329122366882e-09
1842,1.609983613093391e-08,6.708265054555795e-10
1843,2.3036953678001737e-08,1.1813822142769936e-09
1844,1.1525978393933656e-08,5.488561272137815e-10
1845,1.7298706467272496e-08,3.348136878855712e-09
1846,1.0538101946622191e-08,1.1709002656346001e-09
1847,2.0494249852731627e-08,0.0
1848,1.528592186161859e-08,8.045221711050488e-10
1849,2.0948537127196687e-08,1.0893239199560867e-08
1850,4.752297222410107e-09,6.788996032014438e-10
1851,1.483370937194195e-08,6.449438760824933e-09
1852,9.114764054629632e-09,1.3021090872200602e-09
1853,8.957897534855874e-09,0.0
1854,1.2469595134234623e-08,5.195664454227256e-10
1855,1.4328730202350926e-08,2.1227748447927297e-09
1856,1.1389816201301528e-08,0.0
1857,6.345961978126979e-09,1.4644527812635033e-09
1858,8.808616946964776e-09,9.787352039936081e-10
1859,1.8331824946926645e-08,1.018434669930457e-09
1860,3.158256944857385e-08,0.0
1861,5.659156698811785e-09,3.3011746669586728e-09
1862,9.939570055905733e-09,6.776979422085105e-09
1863,1.5982786649715308e-08,2.9967726078439227e-09
1864,2.2535221688713136e-08,1.9178911792039344e-09
1865,8.001635798393636e-09,1.4120533631256649e-09
1866,8.271541673821048e-09,6.3252967308358166e-09
1867,1.552899675516528e-08,3.88224918879132e-09
1868,1.778354707937524e-08,1.975949626142892e-09
1869,1.2697149998075474e-08,1.953407657850903e-09
1870,1.4335121534259088e-08,8.027668307875047e-09
1871,3.292564798584863e-08,3.18635318130589e-09
1872,2.6003558417642125e-08,4.23313739617015e-09
1873,1.0774807712721213e-08,5.387403856360606e-09
1874,7.169530746864439e-09,4.182226565063729e-09
1875,8.010138330405425e-09,4.005069165202713e-09
1876,2.0556450763820067e-08,3.02300739996042e-09
1877,1.5462040536817767e-08,1.8554447978047506e-09
1878,1.5701630218245555e-08,3.0195443923020093e-09
1879,1.2829582729523281e-08,4.27652757650776e-09
1880,1.2193908105473383e-08,2.5671385017744797e-09
1881,6.2752567586699115e-09,1.045876096839038e-08
1882,1.3310770263785798e-09,2.6621540527571597e-09
1883,2.5277355764075082e-09,6.319338941018771e-10
1884,2.442627788923346e-08,6.601696966868076e-10
1885,8.379326565943757e-09,6.445635691854079e-10
1886,1.677900662855336e-08,5.162771099520569e-09
1887,1.2404957061562527e-08,6.528924623161458e-10
1888,8.876860135842435e-09,2.53624587998047e-09
1889,1.1277245803853475e-08,1.8795409673089125e-09
1890,7.865263995654459e-09,1.3108772956016423e-09
1891,8.92390783491237e-09,1.2748440081367107e-09
1892,2.0686091062316336e-08,1.8805537127519756e-09
1893,5.542574843531156e-09,6.158416554491453e-10
1894,5.671385139294216e-09,3.150769645188234e-09
1895,1.0833506536300774e-08,1.0833506536300774e-08
1896,1.0614652268259306e-08,5.89702897624278e-10
1897,1.8645483379486905e-08,4.661370844871726e-09
1898,1.5277558773618694e-08,5.6583548957434e-10
1899,7.185851913504848e-09,0.0
1900,1.661137005726232e-08,3.633737311048435e-09
1901,7.265360757457984e-09,3.353243460679778e-09
1902,5.892340837476695e-09,1.4730852093691738e-09
1903,1.0260418292773466e-08,3.2401321625741275e-09
1904,1.3436562973367927e-08,0.0
1905,7.741138396966107e-09,3.096455536422127e-09
1906,1.4918134283448126e-08,5.144184522798412e-10
1907,1.5428529565042481e-09,0.0
1908,6.384805573134145e-09,6.875944702500192e-09
1909,1.7053048750881317e-08,1.6502950117569526e-09
1910,7.481810726517324e-09,2.67207544979442e-09
1911,6.916486494645824e-09,4.25629931299909e-09
1912,1.510732161591477e-08,5.730363294986773e-09
1913,1.6439267724877027e-08,1.590896969716482e-09
1914,9.37544086809794e-09,6.027069510139427e-09
1915,9.424609537234119e-09,5.890381071793627e-09
1916,6.592477230782379e-09,1.0987462051303964e-09
1917,2.1932848426331475e-08,1.4256351654751143e-08
1918,1.4932290071101306e-08,1.6080926812378493e-08
1919,3.6831393490643904e-09,6.4454939163738345e-09
1920,5.300562211374427e-09,1.514446346106979e-09
1921,7.572747762196741e-09,2.2718242842501013e-09
1922,1.0329110011753073e-08,7.377935484775833e-10
1923,1.9108707505210987e-08,2.1231896241147297e-09
1924,1.1602462102189293e-08,0.0
1925,3.299453377181294e-09,1.0998177923937646e-09
1926,2.229227691330493e-09,8.916910765321973e-09
