year,voudrais_VERB acheter_VERB,voudrais_VERB racheter_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,2.8469551160981155e-09,0.0
1808,0.0,4.5321479902327155e-09
1809,1.3554183553310395e-08,2.259030518203531e-09
1810,0.0,1.6380887757350138e-08
1811,0.0,0.0
1812,3.467370746079723e-08,8.00162425207418e-09
1813,1.7254450312975678e-08,8.627225156487839e-09
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,1.622322720606917e-08
1817,1.0898113522728181e-08,1.5568733857662664e-08
1818,1.1921176934492905e-08,1.1921177378582115e-09
1819,1.3456364911235141e-08,6.210630232317271e-09
1820,1.1866481131050932e-09,2.0173018810965004e-08
1821,6.903041693817613e-09,1.97229765852569e-09
1822,1.0025615893027862e-08,1.0025615893027862e-09
1823,1.9765373782121287e-09,3.9530747564242574e-09
1824,5.052667617633233e-09,3.3684450784221553e-09
1825,2.641632912414593e-09,1.7610886082763955e-09
1826,8.80798456392995e-09,6.1655889282974385e-09
1827,8.295545583791863e-09,0.0
1828,5.503380862137419e-09,4.586150570418113e-09
1829,9.430493719264632e-09,1.3717081692732336e-08
1830,1.2524203008013046e-08,5.218417697960831e-09
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,5.411987746839486e-09,4.058990921151917e-09
1833,2.3167257001688313e-09,1.50587169400751e-08
1834,5.600718555598405e-09,8.401078055442213e-09
1835,6.806779140333674e-09,1.3613558280667348e-08
1836,7.392825018825988e-09,4.704525213838906e-09
1837,5.5663127440652715e-09,2.0873671680021744e-09
1838,6.943378316748294e-09,5.049729523420865e-09
1839,3.4957374772659477e-09,3.4957374772659477e-09
1840,6.3696887764308485e-09,1.0191501864653674e-08
1841,1.2841097074556274e-08,1.1556987367100646e-08
1842,1.6770663080478698e-08,1.0733224087289273e-08
1843,8.269675610961258e-09,1.5357969118667825e-08
1844,1.2074834465636286e-08,4.9397050894128824e-09
1845,6.696273757711424e-09,5.022205318283568e-09
1846,5.854501328173001e-09,2.3418005312692003e-09
1847,4.314578916364553e-09,4.853901280910122e-09
1848,1.126331028444838e-08,1.689496542667257e-08
1849,0.0,7.54147322368226e-09
1850,8.146795238417326e-09,3.394498016007219e-09
1851,9.674158363282004e-09,7.739326512989919e-09
1852,2.278690836021724e-08,2.6042181744401205e-09
