year,aurez_VERB ajouté_VERB
1800,1.2576657937302116e-08
1801,1.6668277424969347e-08
1802,4.475680270843441e-09
1803,4.8758479920252285e-08
1804,4.943701892301533e-09
1805,0.0
1806,8.645007376628655e-09
1807,5.693910232196231e-09
1808,9.064295980465431e-09
1809,1.3554183553310395e-08
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,2.1577788444915313e-08
1816,2.0858434979231788e-08
1817,1.0898113522728181e-08
1818,2.1458118837358597e-08
1819,3.1053151161586356e-09
1820,2.0173018810965004e-08
1821,8.875339574387908e-09
1822,3.0076847679083585e-09
1823,2.174191138237802e-08
1824,0.0
1825,4.4027217427355936e-09
1826,3.5231937367541377e-09
1827,1.013900075008678e-08
1828,2.0179061976932644e-08
1829,9.430493719264632e-09
1830,5.218417697960831e-09
1831,3.1182412207897414e-09
1832,4.7354891563600177e-08
1833,1.0425265983826648e-08
1834,2.9870498963191494e-08
1835,7.563087933704082e-10
1836,2.6210924986003192e-08
1837,9.045257876039159e-09
1838,1.199310784016916e-08
1839,2.3771015378315496e-08
1840,2.356784811752277e-08
1841,8.346713542550788e-09
1842,2.683306021822318e-09
1843,1.5357969118667825e-08
1844,1.3172547497219966e-08
1845,2.0646844234306627e-08
1846,1.5221703009160592e-08
1847,2.426950729272903e-08
1848,6.43617736884039e-09
1849,2.011059585527164e-08
1850,1.0862393651223101e-08
1851,1.5478653025979838e-08
1852,1.6927417689771573e-08
1853,1.0152284346531815e-08
1854,1.1430461910322265e-08
1855,4.2455496895854594e-09
1856,1.501384794266869e-08
1857,1.513267733344037e-08
1858,2.7893953813418193e-08
1859,1.782260738991681e-08
1860,1.0985241161165504e-08
1861,1.9807048445841247e-08
1862,1.536115412648087e-08
1863,1.39849385405455e-08
1864,2.0137857603685916e-08
1865,8.943004559114343e-09
1866,1.0704348518686402e-08
1867,1.552899675516528e-08
1868,6.915823469455518e-09
1869,7.325278605918584e-09
1870,6.307453670473251e-09
1871,1.0621177271019633e-09
1872,1.3908880269752899e-08
1873,3.112722168907567e-08
1874,1.3144139998644278e-08
1875,1.8881038954532414e-08
1876,2.418405919968336e-08
1877,4.9478527941460015e-09
1878,4.831270938865373e-09
1879,4.27652757650776e-09
1880,8.343199908722454e-09
1881,6.2752567586699115e-09
1882,5.989846840748214e-09
1883,9.479008689083912e-09
1884,9.242375753615306e-09
1885,7.7347630522695e-09
1886,7.098810428374236e-09
1887,7.1818169189441505e-09
1888,4.4384300679212174e-09
1889,7.51816386923565e-09
1890,1.0487018364813139e-08
1891,1.5935549768641977e-08
1892,5.641661360300532e-09
1893,1.4780200174868696e-08
1894,5.671385139294216e-09
1895,1.3842813118003505e-08
1896,1.0024948871034667e-08
1897,6.409385022720926e-09
1898,6.7900258748920805e-09
1899,7.738609753005221e-09
1900,8.824790675987515e-09
1901,7.824234593556412e-09
1902,6.874397495693074e-09
1903,1.5660639007819555e-08
1904,9.13686282189019e-09
1905,6.708986699521802e-09
1906,1.0288369267641428e-08
1907,4.114274698707732e-09
1908,7.858222517143076e-09
1909,4.400786846048277e-09
1910,1.0153886620400954e-08
1911,8.51259862599818e-09
1912,6.251305251225858e-09
1913,1.0605979205990934e-08
