year,pas_ADV acheté_VERB,pas_ADV racheté_VERB
1800,1.1633408547595536e-07,1.8864987794131594e-08
1801,1.500145003774378e-07,1.1905912700171939e-08
1802,1.5888664961494214e-07,2.0140561218795483e-08
1803,1.560271414291492e-07,3.510610468993036e-08
1804,2.966221188671625e-07,9.887403784603066e-09
1805,1.9900143399809167e-07,8.528632911009026e-09
1806,1.498467980809437e-07,1.729001475325731e-08
1807,1.7935816742919997e-07,3.131650672116848e-08
1808,1.4956088989492855e-07,2.2660739951163578e-09
1809,1.987946802728402e-07,2.259030518203531e-09
1810,2.106114038724627e-07,3.510190182964834e-08
1811,1.6045291317823285e-07,2.5070768572277302e-08
1812,1.7603574065105931e-07,2.6672082320544632e-09
1813,1.4091133948568313e-07,2.8757416448144113e-09
1814,2.0138733702879108e-07,2.8320094713762956e-08
1815,2.211723284517575e-07,5.394447111228828e-09
1816,6.952811304472561e-08,2.3176038865813098e-09
1817,9.185553295765203e-08,3.113746771532533e-08
1818,1.0252212234718172e-07,1.9073883805731384e-08
1819,1.6975721450762649e-07,4.968504185853817e-08
1820,1.9105034709809843e-07,3.441279616822612e-08
1821,1.9131287842810707e-07,5.325203744632745e-08
1822,1.3534581455587613e-07,3.208197085768916e-08
1823,1.087095569118901e-07,3.5577674140085946e-08
1824,1.440010208852982e-07,2.0210670470532932e-08
1825,1.320816522820678e-07,1.3208164340028361e-08
1826,1.6559010873606894e-07,1.5854372037438225e-08
1827,2.3319701369928225e-07,9.217273166939322e-09
1828,1.5684635457091645e-07,3.760643352279658e-08
1829,2.5976723350140674e-07,2.2290258527846163e-08
1830,1.628146435450617e-07,3.235419043789989e-08
1831,1.8709447147102765e-07,4.053713453799901e-08
1832,2.110675154654018e-07,5.682587200794842e-08
1833,2.710569049213518e-07,3.1275796175123105e-08
1834,2.4083090011117747e-07,1.0267983796552471e-08
1835,2.3672464521951042e-07,2.949604294144592e-08
1836,2.3321003084220138e-07,2.755507466645213e-08
1837,2.2056514126234106e-07,2.99189295560609e-08
1838,1.7674052799065976e-07,2.4617431648721322e-08
1839,1.7408773089755414e-07,5.033862038317238e-08
