year,grands_ADJ ans_NOUN,grands_ADJ rangs_NOUN
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,0.0,1.5602713787643552e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,0.0,0.0
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,2.384235475716423e-09
1819,0.0,1.035105001712111e-09
1820,0.0,2.0173018810965004e-08
1821,0.0,0.0
1822,0.0,4.010246357211145e-09
1823,0.0,7.906149512848515e-09
1824,0.0,0.0
1825,8.805443041381977e-10,8.805443041381977e-10
1826,0.0,8.80798456392995e-09
1827,9.217273055917019e-10,0.0
1828,9.172301251858528e-10,0.0
1829,0.0,1.457439946506156e-08
1830,0.0,2.0873671680021744e-09
1831,0.0,1.4032085715598441e-08
1832,0.0,0.0
1833,1.1583628500844156e-09,2.3167257001688313e-09
1834,0.0,0.0
1835,0.0,3.781543966852041e-09
1836,0.0,2.016224964762614e-09
1837,0.0,1.3219993100221927e-08
1838,0.0,4.418513555037862e-09
1839,0.0,0.0
1840,0.0,6.3696887764308485e-09
1841,6.420548537278137e-10,9.630822361827995e-09
1842,0.0,6.708265054555795e-10
1843,0.0,5.31621990873532e-09
1844,1.097712254427563e-09,1.6465684371524958e-09
1845,0.0,1.674068439427856e-09
1846,0.0,1.1709002656346001e-09
1847,1.0786447290911383e-09,1.0786447290911383e-09
1848,1.6090443422100975e-09,8.045221711050488e-10
1849,8.379414939696517e-10,8.379414939696517e-10
1850,0.0,2.0366988096043315e-09
1851,3.2247193804124663e-09,6.449438760824933e-10
1852,1.3021090872200602e-09,2.6042181744401205e-09
