year,pourrions_VERB avoir_VERB,pourrions_VERB ravoir_VERB
1800,1.4463157071986643e-07,0.0
1801,1.8096987730586989e-07,0.0
1802,1.5888664961494214e-07,0.0
1803,1.1507001573818343e-07,0.0
1804,2.0516363008482585e-07,0.0
1805,1.051864728651708e-07,0.0
1806,1.4696512096179504e-07,0.0
1807,7.971474502710407e-08,0.0
1808,1.1330369886763947e-07,0.0
1809,1.1521055398588942e-07,0.0
1810,1.591286178381779e-07,0.0
1811,1.42903374467096e-07,0.0
1812,8.535066342574282e-08,0.0
1813,1.6391727797326894e-07,0.0
1814,7.866692897096073e-08,0.0
1815,8.90083740046066e-08,0.0
1816,1.3442102897442965e-07,0.0
1817,2.740097215792048e-07,0.0
1818,1.7047283051851991e-07,1.1921177378582115e-09
1819,2.0598589856035687e-07,0.0
1820,3.393813585716998e-07,0.0
1821,2.2188348225427035e-07,0.0
1822,2.095353721642823e-07,0.0
1823,1.877710502640184e-07,0.0
1824,2.0126459787661588e-07,0.0
1825,2.1133062944045378e-07,0.0
1826,2.0346443818652915e-07,0.0
1827,2.166059118735575e-07,0.0
1828,1.9353555558154767e-07,0.0
1829,1.6546229630876041e-07,0.0
1830,1.5237780814914004e-07,0.0
1831,7.483778574624012e-08,0.0
1832,1.3665268738805025e-07,0.0
1833,1.633291617508803e-07,0.0
1834,1.4655213931291655e-07,0.0
1835,2.5563235794834327e-07,0.0
1836,1.98262128492388e-07,0.0
1837,1.5794412888681109e-07,0.0
1838,1.8936485446374718e-07,5.049729523420865e-09
1839,1.4542268900186173e-07,0.0
1840,1.726185558936777e-07,6.369688665408546e-10
1841,1.3868384485249408e-07,0.0
1842,1.0800306426972384e-07,0.0
1843,1.5712383572008548e-07,0.0
1844,2.0143019696661213e-07,0.0
1845,1.5010813569915626e-07,4.464182357111213e-09
1846,1.5221704074974696e-07,0.0
1847,1.2134752580550412e-07,0.0
1848,1.504456434986423e-07,0.0
1849,1.6339859598701878e-07,0.0
1850,2.3693596062912547e-07,0.0
1851,1.92838214729818e-07,0.0
1852,1.2695564066689258e-07,0.0
1853,1.4272917780999705e-07,0.0
1854,2.1354181001242978e-07,0.0
1855,1.1834470114990836e-07,0.0
1856,8.335274515047786e-08,0.0
1857,1.1959697587826668e-07,0.0
1858,1.6344877451501816e-07,0.0
1859,1.492006731496076e-07,0.0
1860,1.327383358784573e-07,0.0
1861,1.7449065126129426e-07,0.0
1862,1.4186477415023546e-07,0.0
1863,1.823036654968746e-07,0.0
1864,1.4144447391117865e-07,0.0
1865,1.3885190242035605e-07,0.0
1866,1.7856798706361587e-07,0.0
1867,1.747012134956094e-07,0.0
1868,1.3189463743401575e-07,0.0
1869,2.0168934611319855e-07,0.0
1870,1.8922361277873279e-07,0.0
1871,2.442870652430429e-07,0.0
1872,1.8444384863869345e-07,0.0
1873,1.472557045190115e-07,0.0
1874,1.7864081769403128e-07,0.0
1875,1.922433057188755e-07,0.0
1876,1.6263780366898573e-07,0.0
1877,1.1689301970818633e-07,0.0
1878,1.600358530140511e-07,0.0
1879,1.3073956495190941e-07,0.0
1880,1.200137234036447e-07,0.0
1881,1.5827592392270162e-07,0.0
1882,1.6039477657159296e-07,0.0
1883,1.59879277816799e-07,0.0
1884,1.6900344235182274e-07,0.0
1885,1.3149096389497572e-07,0.0
1886,1.4649363322405407e-07,0.0
1887,2.043553450903346e-07,0.0
